,Consecutive_Par_5_Birdies_RANK THIS WEEK,Consecutive_Par_5_Birdies_RANK LAST WEEK,Consecutive_Par_5_Birdies_PLAYER NAME,Consecutive_Par_5_Birdies_EVENTS,Consecutive_Par_5_Birdies_NUMBER OF HOLES
0,1,1,Brooks Koepka,13,16
1,2,2,Gary Woodland,17,15
2,3,3,Harris English,21,12
3,T4,T4,Matt Every,12,11
4,T4,T4,Ian Poulter,13,11
5,T4,T4,Brandt Snedeker,18,11
6,T7,T7,Bud Cauley,19,10
7,T7,T7,Roberto Díaz,16,10
8,T7,T7,Adam Hadwin,18,10
9,T7,T7,Sung Kang,20,10
10,T7,T7,Justin Thomas,13,10
11,T12,T12,Patrick Cantlay,14,9
12,T12,T12,Joel Dahmen,22,9
13,T12,T12,Matthew Fitzpatrick,11,9
14,T12,T12,Lucas Glover,17,9
15,T12,T12,Russell Henley,18,9
16,T12,T12,Hank Lebioda,16,9
17,T12,T12,Davis Love III,9,9
18,T12,T12,Chez Reavie,19,9
19,T12,T12,Seth Reeves,18,9
20,T12,T12,Justin Rose,11,9
21,T12,T12,Xander Schauffele,15,9
22,T12,T12,J.J. Spaun,20,9
23,T12,T26,Adam Svensson,18,9
24,T12,T12,Martin Trainer,19,9
25,T12,T12,Jhonattan Vegas,18,9
26,T27,T26,Ryan Blaum,21,8
27,T27,T26,Jason Day,14,8
28,T27,T26,Branden Grace,18,8
29,T27,T26,Ben Griffin,2,8
30,T27,T26,Si Woo Kim,20,8
31,T27,T26,David Lipsky,4,8
32,T27,T26,Shane Lowry,10,8
33,T27,T26,Rory McIlroy,13,8
34,T27,T26,Phil Mickelson,13,8
35,T27,T26,Sebastián Muñoz,18,8
36,T27,T26,Thorbjørn Olesen,8,8
37,T27,T26,Sanghyun Park,4,8
38,T27,T26,Patrick Reed,15,8
39,T27,T26,Sam Ryder,16,8
40,T27,T26,Adam Schenk,24,8
41,T27,T26,Adam Scott,12,8
42,T27,T26,Jordan Spieth,16,8
43,T44,T44,Byeong Hun An,15,7
44,T44,T44,Sangmoon Bae,16,7
45,T44,T44,Cameron Champ,19,7
46,T44,T44,Cameron Davis,18,7
47,T44,T44,Bryson DeChambeau,13,7
