,Front_9_Par_4_Scoring_Average_RANK THIS WEEK,Front_9_Par_4_Scoring_Average_RANK LAST WEEK,Front_9_Par_4_Scoring_Average_PLAYER NAME,Front_9_Par_4_Scoring_Average_ROUNDS,Front_9_Par_4_Scoring_Average_AVG,Front_9_Par_4_Scoring_Average_TOTAL STROKES,Front_9_Par_4_Scoring_Average_TOTAL HOLES
133,T134,T133,Sam Burns,66,4.05,1389,343
134,T134,T133,Alex Cejka,41,4.05,794,196
135,T134,T133,Cameron Champ,58,4.05,1239,306
136,T134,T144,Adam Hadwin,66,4.05,1353,334
137,T134,T144,Tom Hoge,70,4.05,1439,355
138,T134,T133,Max Homa,61,4.05,1312,324
139,T134,T158,Mackenzie Hughes,58,4.05,1183,292
140,T134,T133,Jim Knous,55,4.05,1105,273
141,T134,T116,Martin Laird,60,4.05,1222,302
142,T134,T158,Hank Lebioda,55,4.05,1111,274
143,T134,T133,Carlos Ortiz,60,4.05,1268,313
144,T134,T133,"Ted Potter, Jr.",56,4.05,1170,289
145,T134,T116,Brady Schnell,38,4.05,809,200
146,T134,T116,Sepp Straka,48,4.05,975,241
147,T148,T144,Bronson Burgoon,37,4.06,820,202
148,T148,T144,Paul Casey,51,4.06,1030,254
149,T148,T158,Ben Crane,41,4.06,894,220
150,T148,T144,Fabián Gómez,44,4.06,946,233
151,T148,T144,Bill Haas,58,4.06,1182,291
152,T148,T144,James Hahn,34,4.06,730,180
153,T148,T158,Danny Lee,66,4.06,1430,352
154,T148,T144,Pat Perez,52,4.06,1076,265
155,T148,T158,Hudson Swafford,59,4.06,1246,307
156,T148,T144,Vaughn Taylor,69,4.06,1460,360
157,T148,999,Tyrone Van Aswegen,30,4.06,645,159
158,T148,T144,Jhonattan Vegas,60,4.06,1276,314
159,T148,T133,Chase Wright,53,4.06,1129,278
160,T161,T172,Roberto Díaz,51,4.07,1014,249
161,T161,T158,Joel Dahmen,78,4.07,1615,397
162,T161,T158,Branden Grace,62,4.07,1164,286
163,T161,T158,Tyrrell Hatton,46,4.07,927,228
164,T161,T180,Stephan Jaeger,59,4.07,1209,297
165,T161,T158,Patton Kizzire,58,4.07,1216,299
166,T161,T158,Satoshi Kodaira,51,4.07,1058,260
167,T161,999,Shane Lowry,30,4.07,558,137
168,T161,T158,Francesco Molinari,41,4.07,740,182
169,T161,T144,Seth Reeves,52,4.07,1087,267
170,T161,T158,Chris Stroud,54,4.07,1090,268
171,T172,T144,Anders Albertson,48,4.08,1007,247
172,T172,T172,Jason Dufner,56,4.08,1188,291
173,T172,T172,Matthew Fitzpatrick,42,4.08,845,207
174,T172,T172,Brandon Harkins,67,4.08,1378,338
175,T172,T144,J.J. Henry,42,4.08,836,205
176,T172,T185,Kyle Jones,49,4.08,1037,254
177,T172,T172,Whee Kim,57,4.08,1154,283
178,T172,T172,Anirban Lahiri,54,4.08,1094,268
179,T172,T158,Scott Langley,60,4.08,1276,313
180,T172,999,Martin Piller,30,4.08,641,157
181,T172,T172,Ian Poulter,49,4.08,913,224
182,T172,T172,Roger Sloan,62,4.08,1357,333
183,T172,T180,Josh Teater,47,4.08,978,240
184,T172,T158,Bubba Watson,47,4.08,897,220
185,T186,T180,Ryan Blaum,67,4.09,1387,339
186,T186,T180,Freddie Jacobson,37,4.09,786,192
187,T186,T200,Wes Roach,45,4.09,950,232
188,T186,T195,Ben Silverman,54,4.09,1183,289
189,T186,T180,Kyle Stanley,53,4.09,1063,260
190,T186,T185,Martin Trainer,51,4.09,1101,269
191,T186,T185,Jimmy Walker,61,4.09,1370,335
192,T193,T185,Lucas Bjerregaard,37,4.1,672,164
193,T193,T185,Tyler Duncan,66,4.1,1401,342
