,Late_Par_3_Scoring_Average_RANK THIS WEEK,Late_Par_3_Scoring_Average_RANK LAST WEEK,Late_Par_3_Scoring_Average_PLAYER NAME,Late_Par_3_Scoring_Average_ROUNDS,Late_Par_3_Scoring_Average_AVG,Late_Par_3_Scoring_Average_TOTAL STROKES,Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,T1,Wes Roach,45,2.91,201,69
1,T2,T1,Cameron Smith,55,2.92,245,84
2,T2,T1,Tiger Woods,31,2.92,140,48
3,T4,T1,Alex Cejka,41,2.94,197,67
4,T4,T8,Rory McIlroy,50,2.94,353,120
5,T4,T5,Scott Piercy,70,2.94,379,129
6,T4,7,Jordan Spieth,57,2.94,353,120
7,T8,T8,Cameron Champ,58,2.95,333,113
8,T8,T8,Marc Leishman,52,2.95,286,97
9,T8,T8,Andrew Putnam,57,2.95,310,105
10,T11,T13,Anders Albertson,48,2.96,287,97
11,T11,T13,Kelly Kraft,67,2.96,385,130
12,T13,T19,Roberto Castro,54,2.97,282,95
13,T13,T8,Zach Johnson,50,2.97,264,89
14,T13,T19,Webb Simpson,53,2.97,291,98
15,T16,T16,Jason Day,45,2.98,256,86
16,T16,T16,Billy Horschel,73,2.98,426,143
17,T16,T19,Aaron Wise,52,2.98,247,83
18,T19,T19,Abraham Ancer,69,2.99,335,112
19,T19,T19,Aaron Baddeley,51,2.99,311,104
20,T19,T19,Matt Every,38,2.99,254,85
21,T19,T19,Max Homa,61,2.99,281,94
22,T19,T19,Francesco Molinari,41,2.99,212,71
23,T19,T19,Jon Rahm,51,2.99,332,111
24,T19,T19,Patrick Rodgers,44,2.99,242,81
25,T19,T19,Justin Rose,42,2.99,299,100
26,T19,T13,Peter Uihlein,65,2.99,362,121
27,T28,T30,Justin Harding,31,3.0,108,36
28,T28,T30,Martin Kaymer,38,3.0,264,88
29,T28,T30,Jason Kokrak,68,3.0,393,131
30,T28,T40,Danny Lee,66,3.0,363,121
31,T28,T30,Kevin Na,54,3.0,288,96
32,T28,T30,Rory Sabbatini,71,3.0,417,139
33,T28,T30,Xander Schauffele,55,3.0,339,113
34,T28,T30,Vaughn Taylor,69,3.0,414,138
35,T36,T30,Corey Conners,62,3.01,316,105
36,T36,T40,Joel Dahmen,78,3.01,452,150
37,T36,T40,Hideki Matsuyama,59,3.01,301,100
38,T36,T30,Denny McCarthy,63,3.01,331,110
39,T36,T40,Ryan Moore,54,3.01,304,101
40,T36,T46,Ollie Schniederjans,63,3.01,340,113
41,T36,T16,Hudson Swafford,59,3.01,376,125
42,T36,T40,Gary Woodland,63,3.01,391,130
43,T44,T46,Bryson DeChambeau,45,3.02,266,88
44,T44,T46,Lucas Glover,62,3.02,411,136
45,T44,T46,James Hahn,34,3.02,160,53
46,T44,T40,Stephan Jaeger,59,3.02,341,113
47,T44,T62,Matt Kuchar,65,3.02,375,124
48,T44,T30,Hank Lebioda,55,3.02,269,89
49,T44,T46,Peter Malnati,64,3.02,369,122
50,T44,T46,Shawn Stefani,57,3.02,369,122
51,T44,T52,Josh Teater,47,3.02,254,84
52,T53,T52,Rickie Fowler,54,3.03,363,120
53,T53,T52,Dylan Frittelli,55,3.03,324,107
54,T53,T52,J.B. Holmes,54,3.03,303,100
55,T53,T52,Sebastián Muñoz,58,3.03,345,114
56,T53,T52,Pat Perez,52,3.03,315,104
57,T53,T52,J.T. Poston,76,3.03,391,129
58,T53,T52,Brian Stuard,76,3.03,433,143
59,T53,T52,Kevin Tway,62,3.03,333,110
60,T61,T62,Dominic Bozzelli,53,3.04,319,105
61,T61,T71,Julián Etulain,55,3.04,274,90
62,T61,T62,Emiliano Grillo,65,3.04,413,136
63,T61,T62,Mackenzie Hughes,58,3.04,322,106
64,T61,T62,Patton Kizzire,58,3.04,277,91
65,T61,T62,Andrew Landry,56,3.04,243,80
66,T61,T52,Adam Schenk,80,3.04,489,161
67,T68,T62,Ryan Armour,66,3.05,384,126
68,T68,T71,Ryan Blaum,67,3.05,409,134
69,T68,T71,Beau Hossler,66,3.05,348,114
70,T68,T81,Dustin Johnson,47,3.05,326,107
71,T68,T62,Jim Knous,55,3.05,308,101
72,T68,T71,Troy Merritt,42,3.05,241,79
73,T68,T71,D.A. Points,33,3.05,174,57
74,T68,T71,Sam Ryder,52,3.05,247,81
75,T68,T71,Adam Scott,41,3.05,281,92
76,T77,T94,Daniel Berger,48,3.06,294,96
77,T77,T81,Sam Burns,66,3.06,373,122
78,T77,T71,Bud Cauley,61,3.06,333,109
79,T77,T81,Ernie Els,43,3.06,248,81
80,T77,T81,Tony Finau,61,3.06,383,125
81,T77,T81,Charles Howell III,64,3.06,388,127
82,T77,T94,Sungjae Im,88,3.06,539,176
83,T77,T81,Phil Mickelson,41,3.06,208,68
84,T77,T94,Alex Noren,49,3.06,245,80
85,T77,T81,Ian Poulter,49,3.06,300,98
86,T77,T81,Kyle Stanley,53,3.06,245,80
87,T77,T94,Justin Thomas,49,3.06,269,88
88,T77,T81,Michael Thompson,56,3.06,346,113
89,T77,T71,D.J. Trahan,33,3.06,199,65
90,T77,T81,Johnson Wagner,45,3.06,260,85
91,T77,T62,Chase Wright,53,3.06,324,106
92,T93,T94,Byeong Hun An,54,3.07,270,88
93,T93,T108,Wyndham Clark,61,3.07,375,122
94,T93,T71,Austin Cook,50,3.07,292,95
95,T93,T94,Tyler Duncan,66,3.07,372,121
96,T93,T94,Brice Garnett,63,3.07,347,113
97,T93,T81,Talor Gooch,37,3.07,221,72
98,T93,T94,Tom Hoge,70,3.07,421,137
99,T93,T94,Freddie Jacobson,37,3.07,187,61
100,T93,T94,Kyoung-Hoon Lee,72,3.07,420,137
