,Tenth_Tee_Late_Round_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_3_Scoring_Average_AVG,Tenth_Tee_Late_Round_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Patrick Rodgers,61.0,61,1
1,2,2,Patton Kizzire,63.0,63,1
2,T3,T3,Aaron Baddeley,65.0,65,1
3,T3,T3,Grayson Murray,65.0,65,1
4,T3,T3,Webb Simpson,65.0,65,1
5,6,6,J.T. Poston,65.5,131,2
6,T7,T7,Beau Hossler,66.0,66,1
7,T7,T7,Ian Poulter,66.0,66,1
8,T7,T7,Aaron Wise,66.0,66,1
9,10,10,Kelly Kraft,66.5,133,2
10,11,11,Kevin Kisner,66.67,200,3
11,T12,T12,Byeong Hun An,67.0,134,2
12,T12,T12,Rafa Cabrera Bello,67.0,67,1
13,T12,T12,Emiliano Grillo,67.0,268,4
14,T12,T12,Troy Merritt,67.0,67,1
15,T12,999,Martin Piller,67.0,67,1
16,T12,T12,Nick Taylor,67.0,201,3
17,T18,T17,Sam Burns,67.5,135,2
18,T18,T17,Joel Dahmen,67.5,135,2
19,T18,T17,Harris English,67.5,135,2
20,T18,T17,Andrew Putnam,67.5,135,2
21,22,21,Peter Uihlein,67.67,203,3
22,T23,T22,Dominic Bozzelli,68.0,68,1
23,T23,T22,Matthew Fitzpatrick,68.0,68,1
24,T23,T22,Brice Garnett,68.0,68,1
25,T23,T22,Brandon Harkins,68.0,136,2
26,T23,T22,Si Woo Kim,68.0,68,1
27,T23,T22,Michael Kim,68.0,68,1
28,T23,T22,Chris Kirk,68.0,136,2
29,T23,T22,Anirban Lahiri,68.0,68,1
30,T23,T22,Andrew Landry,68.0,68,1
31,T23,T22,Pat Perez,68.0,68,1
32,T23,T22,Sepp Straka,68.0,68,1
33,T34,T33,Jason Kokrak,68.33,205,3
34,T34,T33,Nate Lashley,68.33,205,3
35,T34,T33,Kyoung-Hoon Lee,68.33,205,3
36,T34,T33,Denny McCarthy,68.33,205,3
37,T34,T33,Trey Mullinax,68.33,205,3
38,T39,T38,Dylan Frittelli,68.5,274,4
39,T39,T38,Max Homa,68.5,137,2
40,T39,T38,Sung Kang,68.5,137,2
41,T39,T38,Hunter Mahan,68.5,137,2
42,43,42,Alex Prugh,68.75,275,4
43,T44,T43,Abraham Ancer,69.0,69,1
44,T44,T43,Daniel Berger,69.0,69,1
45,T44,T43,Roberto Díaz,69.0,138,2
46,T44,T43,Julián Etulain,69.0,69,1
47,T44,T43,Sergio Garcia,69.0,69,1
48,T44,T43,Brian Harman,69.0,69,1
49,T44,T43,Whee Kim,69.0,69,1
50,T44,T43,Martin Laird,69.0,69,1
51,T44,T43,Alex Noren,69.0,69,1
52,T44,T43,Jon Rahm,69.0,69,1
53,T44,T43,Wes Roach,69.0,138,2
54,T44,T43,Sam Ryder,69.0,69,1
55,T44,T43,Rory Sabbatini,69.0,138,2
56,T44,T43,Xander Schauffele,69.0,138,2
57,T44,T43,J.J. Spaun,69.0,69,1
58,T44,T43,Scott Stallings,69.0,69,1
59,T44,999,Tyrone Van Aswegen,69.0,69,1
60,T44,T43,Johnson Wagner,69.0,138,2
61,T44,T43,Jimmy Walker,69.0,276,4
62,T44,T43,Danny Willett,69.0,69,1
63,T64,T62,Hudson Swafford,69.25,277,4
64,T64,T62,Richy Werenski,69.25,277,4
65,66,64,Russell Henley,69.33,208,3
66,T67,T65,Wyndham Clark,69.5,139,2
67,T67,T65,James Hahn,69.5,139,2
68,T67,T65,Charles Howell III,69.5,139,2
69,T67,T65,Marc Leishman,69.5,139,2
70,T67,T65,Brandt Snedeker,69.5,278,4
71,T67,T65,Cameron Tringale,69.5,139,2
72,73,71,Stephan Jaeger,69.75,279,4
73,74,72,Tyler Duncan,69.8,349,5
74,T75,T73,Roberto Castro,70.0,70,1
75,T75,T73,John Chin,70.0,70,1
76,T75,T73,Ben Crane,70.0,70,1
77,T75,T73,Tony Finau,70.0,70,1
78,T75,T73,Lucas Glover,70.0,70,1
79,T75,T73,Adam Hadwin,70.0,70,1
80,T75,T73,Billy Horschel,70.0,140,2
81,T75,T73,Martin Kaymer,70.0,70,1
82,T75,T73,Jim Knous,70.0,70,1
83,T75,T73,Matt Kuchar,70.0,70,1
84,T75,T73,Carlos Ortiz,70.0,70,1
85,T75,T73,Chris Thompson,70.0,140,2
86,T75,T73,Jhonattan Vegas,70.0,70,1
87,T88,T86,Charley Hoffman,70.5,141,2
88,T88,T86,Sebastián Muñoz,70.5,141,2
89,T88,T86,C.T. Pan,70.5,141,2
90,T88,T86,Josh Teater,70.5,141,2
91,T88,T86,Gary Woodland,70.5,141,2
92,T93,T91,Matt Jones,70.67,212,3
93,T93,T91,Rod Pampling,70.67,212,3
94,T95,T93,Bill Haas,71.0,71,1
95,T95,T93,J.B. Holmes,71.0,71,1
96,T95,T93,Hank Lebioda,71.0,71,1
97,T95,T93,Seth Reeves,71.0,284,4
98,T95,T93,Ben Silverman,71.0,213,3
99,T95,T93,Henrik Stenson,71.0,71,1
100,T95,T93,Chris Stroud,71.0,71,1
