,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
0,1,1,Justin Thomas,49,59.46,88,148
1,2,2,Adam Scott,41,58.82,80,136
2,3,3,Gary Woodland,63,58.79,117,199
3,4,4,Bryson DeChambeau,45,57.97,80,138
4,5,5,Brooks Koepka,49,56.62,77,136
5,6,6,Martin Kaymer,38,56.45,70,124
6,7,9,Matt Kuchar,65,55.98,103,184
7,8,12,Rory McIlroy,50,55.77,87,156
8,9,7,Luke List,52,55.56,90,162
9,10,13,Bubba Watson,47,55.3,73,132
10,11,8,Si Woo Kim,65,55.19,117,212
11,12,10,Ian Poulter,49,55.0,77,140
12,13,11,Paul Casey,51,54.94,89,162
13,14,14,D.J. Trahan,33,53.64,59,110
14,15,24,Talor Gooch,37,53.45,62,116
15,16,21,Dustin Johnson,47,53.38,79,148
16,17,15,Cameron Champ,58,53.37,95,178
17,18,16,Xander Schauffele,55,53.33,96,180
18,19,18,Jon Rahm,51,52.56,82,156
19,20,17,Wyndham Clark,61,52.55,103,196
20,21,19,Adam Hadwin,66,52.45,107,204
21,22,20,Troy Merritt,42,52.38,66,126
22,23,25,Sungjae Im,88,52.35,145,277
23,24,22,Hideki Matsuyama,59,52.13,98,188
24,25,23,Cody Gribble,52,51.95,80,154
25,26,26,Sam Ryder,52,51.61,96,186
26,27,28,Trey Mullinax,67,51.49,104,202
27,28,29,Patrick Cantlay,49,51.32,78,152
28,29,30,Rickie Fowler,54,51.14,90,176
29,30,27,Bud Cauley,61,51.0,102,200
30,31,31,Keith Mitchell,64,50.99,103,202
31,32,32,Marc Leishman,52,50.6,85,168
32,33,34,Tony Finau,61,50.54,94,186
33,34,36,Nick Watney,67,50.48,106,210
34,35,37,Matt Jones,67,50.47,108,214
35,T36,47,Dominic Bozzelli,53,50.0,81,162
36,T36,T38,Jason Day,45,50.0,74,148
37,T36,49,Matt Every,38,50.0,56,112
38,T36,T38,Dylan Frittelli,55,50.0,88,176
39,T36,T38,Sergio Garcia,39,50.0,46,92
40,T36,T38,Sung Kang,67,50.0,108,216
41,T36,35,Denny McCarthy,63,50.0,97,194
42,T36,T38,Seth Reeves,52,50.0,83,166
43,T36,T38,Tiger Woods,31,50.0,46,92
44,45,45,Byeong Hun An,54,49.71,85,171
45,46,46,Jhonattan Vegas,60,49.48,96,194
46,T47,51,Sebastián Muñoz,58,49.45,90,182
47,T47,33,Hudson Swafford,59,49.45,90,182
48,49,48,Justin Rose,42,49.24,65,132
49,50,50,Max Homa,61,48.95,93,190
50,51,T58,Julián Etulain,55,48.85,85,174
51,52,52,Grayson Murray,36,48.82,62,127
52,53,63,Hank Lebioda,55,48.81,82,168
53,54,60,Aaron Wise,52,48.77,79,162
54,55,53,Rory Sabbatini,71,48.66,109,224
55,56,56,Emiliano Grillo,65,48.53,99,204
56,57,57,James Hahn,34,48.33,58,120
57,58,T58,Stephan Jaeger,59,48.31,86,178
58,59,62,Brandon Harkins,67,48.08,100,208
59,60,61,Kiradech Aphibarnrat,49,48.05,74,154
60,61,55,Bill Haas,58,48.0,84,175
61,62,54,Brandt Snedeker,68,47.73,105,220
