,First_Tee_Early_Round_3_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_3_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_3_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_3_Scoring_Average_AVG,First_Tee_Early_Round_3_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_3_Scoring_Average_TOTAL ROUNDS
138,T134,T133,Adam Svensson,71.5,286,4
139,T134,T133,Nick Taylor,71.5,286,4
140,T141,T139,J.J. Henry,71.6,358,5
141,T141,T139,Kevin Na,71.6,358,5
142,143,141,Graeme McDowell,71.63,573,8
143,T144,T142,Keegan Bradley,71.67,430,6
144,T144,T142,Brian Harman,71.67,215,3
145,T144,T142,Francesco Molinari,71.67,215,3
146,T144,T142,Ryan Moore,71.67,215,3
147,T144,T142,Seamus Power,71.67,215,3
148,149,147,Joel Dahmen,71.75,287,4
149,150,T166,Wes Roach,71.8,359,5
150,T151,T148,Bryson DeChambeau,72.0,216,3
151,T151,T148,Ernie Els,72.0,144,2
152,T151,T148,Beau Hossler,72.0,360,5
153,T151,T148,Stephan Jaeger,72.0,216,3
154,T151,T148,Hunter Mahan,72.0,288,4
155,T151,T148,Ian Poulter,72.0,72,1
156,T151,T148,Patrick Rodgers,72.0,216,3
157,T151,T148,Ben Silverman,72.0,72,1
158,T151,T148,Kyle Stanley,72.0,144,2
159,T151,T148,Matt Wallace,72.0,144,2
160,T151,T148,Danny Willett,72.0,144,2
161,T162,T160,Branden Grace,72.2,361,5
162,T162,T160,Kevin Kisner,72.2,361,5
163,T164,T171,Jim Knous,72.25,289,4
164,T164,T162,Brian Stuard,72.25,289,4
165,166,T162,Alex Noren,72.4,362,5
166,T167,T166,Abraham Ancer,72.5,290,4
167,T167,T166,Cameron Champ,72.5,145,2
168,T167,T166,D.A. Points,72.5,290,4
169,T170,T162,Tyler Duncan,72.6,363,5
170,T170,170,Patton Kizzire,72.6,363,5
171,T172,T171,Jason Dufner,72.67,218,3
172,T172,T171,Whee Kim,72.67,218,3
173,174,165,Kevin Tway,72.75,291,4
174,T175,T174,Roberto Díaz,73.0,146,2
175,T175,T174,Justin Harding,73.0,146,2
176,T175,T174,Freddie Jacobson,73.0,73,1
177,T175,T174,Brooks Koepka,73.0,146,2
178,T175,T174,Trey Mullinax,73.0,292,4
179,T175,T174,Jordan Spieth,73.0,146,2
180,T175,T174,Hudson Swafford,73.0,219,3
181,T175,T174,Chris Thompson,73.0,73,1
