,Lowest_Round_RANK THIS WEEK,Lowest_Round_RANK LAST WEEK,Lowest_Round_PLAYER NAME,Lowest_Round_ROUNDS,Lowest_Round_VALUE,Lowest_Round_TOURN/COURSE,Lowest_Round_ROUND
70,T57,T53,Jim Furyk,53,64,THE PLAYERS/TPC,2
71,T57,T53,Joey Garber,44,64,Desert Classic/,2
72,T57,T53,Brice Garnett,63,64,The RSM Classic,4
73,T57,T53,Talor Gooch,37,64,Desert Classic/,4
74,T57,T53,Branden Grace,62,64,Phoenix Open/TP,2
75,T57,T53,Adam Hadwin,66,64,THE CJ CUP/Nine,4
76,T57,T53,Justin Harding,31,64,Byron Nelson/Tr,3
77,T57,T53,Brandon Harkins,67,64,Shriners/TPC Su,4
78,T57,T53,Brian Harman,67,64,The RSM Classic,4
79,T57,T53,Kramer Hickok,59,64,Mayakoba/El Cam,1
80,T57,T53,Tom Hoge,70,64,Byron Nelson/Tr,1
81,T57,T53,Charles Howell III,64,64,Sony Open/Waial,3
82,T57,T53,Sungjae Im,88,64,RBC Canadian/Ha,4
83,T57,T120,Stephan Jaeger,59,64,RBC Canadian/Ha,2
84,T57,T53,Zach Johnson,50,64,Desert Classic/,3
85,T57,T53,Dustin Johnson,47,64,WGC-Mexico/Club,1
86,T57,T53,Russell Knox,65,64,Desert Classic/,3
87,T57,T53,Satoshi Kodaira,51,64,WGC-Mexico/Club,4
88,T57,T53,Kelly Kraft,67,64,Mayakoba/El Cam,2
89,T57,T53,Scott Langley,60,64,Pebble Beach/Mo,1
90,T57,T53,Danny Lee,66,64,PGA Champ/Bethp,1
