,Early_Round_2_Scoring_Average_RANK THIS WEEK,Early_Round_2_Scoring_Average_RANK LAST WEEK,Early_Round_2_Scoring_Average_PLAYER NAME,Early_Round_2_Scoring_Average_AVG,Early_Round_2_Scoring_Average_TOTAL STROKES,Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Tommy Fleetwood,67.5,135,2
1,T2,T10,Henrik Stenson,68.0,272,4
2,T2,T2,Gary Woodland,68.0,476,7
3,4,4,Jordan Spieth,68.14,477,7
4,5,5,Sangmoon Bae,68.25,273,4
5,T6,T6,Charles Howell III,68.4,684,10
6,T6,T6,Adam Scott,68.4,342,5
7,8,8,Martin Trainer,68.57,480,7
8,9,9,Johnson Wagner,68.63,549,8
9,T10,T10,Dustin Johnson,68.67,412,6
10,T10,T10,Martin Laird,68.67,618,9
11,T10,18,Graeme McDowell,68.67,618,9
12,13,13,Daniel Berger,68.71,481,7
13,T14,52,Ben Silverman,68.75,550,8
14,T14,T59,Justin Thomas,68.75,275,4
15,16,14,Lucas Glover,68.78,619,9
16,17,15,Sungjae Im,68.79,963,14
17,18,T2,Julián Etulain,68.8,344,5
18,T19,T16,Stewart Cink,68.83,413,6
19,T19,T16,Troy Merritt,68.83,413,6
20,21,19,Keith Mitchell,68.9,689,10
21,T22,T20,Rickie Fowler,69.0,483,7
22,T22,T20,Jim Furyk,69.0,414,6
23,T22,T20,Patrick Reed,69.0,414,6
24,T22,T20,Justin Rose,69.0,207,3
25,T22,T20,Sam Ryder,69.0,345,5
26,T22,T20,Tiger Woods,69.0,207,3
27,28,26,Roger Sloan,69.11,622,9
28,T29,27,Beau Hossler,69.17,415,6
29,T29,39,Bubba Watson,69.17,415,6
30,31,T89,Brandt Snedeker,69.22,623,9
31,T32,T28,Luke List,69.29,485,7
32,T32,T28,Curtis Luck,69.29,485,7
33,34,30,Tony Finau,69.3,693,10
34,35,T31,Emiliano Grillo,69.33,624,9
35,36,33,Denny McCarthy,69.4,694,10
36,37,34,Kyoung-Hoon Lee,69.42,833,12
37,38,T31,Richy Werenski,69.43,486,7
38,39,40,Peter Malnati,69.44,625,9
39,40,35,Michael Thompson,69.45,764,11
40,41,36,Nick Watney,69.5,556,8
41,42,T37,Jason Kokrak,69.57,487,7
42,43,T37,J.J. Spaun,69.63,557,8
43,T44,T41,Sergio Garcia,69.67,209,3
44,T44,T41,Hideki Matsuyama,69.67,627,9
45,T44,T100,Sepp Straka,69.67,418,6
46,47,T41,Adam Svensson,69.7,697,10
47,T48,T44,Jonas Blixt,69.71,488,7
48,T48,T44,Jhonattan Vegas,69.71,488,7
49,50,46,Paul Casey,69.73,767,11
50,T51,T47,Kevin Kisner,69.75,558,8
51,T51,T47,Marc Leishman,69.75,558,8
52,53,T69,Austin Cook,69.78,628,9
53,54,49,Brian Stuard,69.8,698,10
54,T55,T50,Patrick Cantlay,69.83,419,6
55,T55,T59,Jim Knous,69.83,419,6
56,T55,T50,Ian Poulter,69.83,419,6
57,T58,T53,Kiradech Aphibarnrat,69.88,559,8
58,T58,T81,Zach Johnson,69.88,559,8
59,T58,T53,Danny Willett,69.88,559,8
60,T61,T55,Keegan Bradley,69.89,629,9
61,T61,T55,Xander Schauffele,69.89,629,9
62,63,57,Nick Taylor,69.91,769,11
63,64,58,Brian Gay,69.92,909,13
64,T65,T59,Byeong Hun An,70.0,420,6
65,T65,T69,Harris English,70.0,630,9
66,T65,T59,Matt Kuchar,70.0,560,8
67,T65,T59,Anirban Lahiri,70.0,490,7
68,T65,T59,Webb Simpson,70.0,490,7
69,70,66,Sung Kang,70.08,841,12
70,71,67,Vaughn Taylor,70.1,701,10
71,72,68,Chris Kirk,70.11,631,9
72,T73,T71,Aaron Baddeley,70.17,421,6
73,T73,T71,Ben Crane,70.17,421,6
74,T73,T71,Dylan Frittelli,70.17,421,6
75,T73,T75,Talor Gooch,70.17,421,6
76,T73,80,Brandon Harkins,70.17,842,12
77,T78,T92,Brice Garnett,70.18,772,11
78,T78,74,Kevin Streelman,70.18,772,11
79,T80,T75,Ernie Els,70.2,351,5
80,T80,T152,Brooks Koepka,70.2,351,5
81,82,77,J.T. Poston,70.23,913,13
82,T83,T78,Dominic Bozzelli,70.25,562,8
83,T83,T78,Martin Kaymer,70.25,562,8
84,85,T59,Chase Wright,70.27,773,11
85,T86,T83,Jason Day,70.33,422,6
86,T86,T83,Matt Every,70.33,422,6
87,T86,T83,Adam Hadwin,70.33,633,9
88,T86,T83,José de Jesús Rodríguez,70.33,422,6
89,T86,T83,Aaron Wise,70.33,422,6
90,T91,T81,John Chin,70.38,563,8
91,T91,T89,Joel Dahmen,70.38,915,13
92,T91,T89,Fabián Gómez,70.38,563,8
93,T94,T83,Alex Prugh,70.4,704,10
94,T94,T92,John Senden,70.4,352,5
95,96,94,Ryan Blaum,70.42,845,12
96,97,95,Patton Kizzire,70.43,493,7
97,T98,97,Bronson Burgoon,70.5,564,8
98,T98,119,Wyndham Clark,70.5,564,8
99,T98,96,Cameron Davis,70.5,705,10
100,T98,T145,Mackenzie Hughes,70.5,564,8
101,T98,T130,D.J. Trahan,70.5,423,6
102,103,T100,Whee Kim,70.55,776,11
103,T104,T107,Kelly Kraft,70.56,635,9
104,T104,98,Kevin Na,70.56,635,9
105,106,99,Max Homa,70.57,494,7
106,107,120,Robert Streb,70.58,847,12
107,T108,T100,Scott Brown,70.6,706,10
108,T108,T100,Rafa Cabrera Bello,70.6,706,10
109,T108,T100,Matt Jones,70.6,706,10
110,T108,T100,Rory McIlroy,70.6,353,5
111,T108,T100,Francesco Molinari,70.6,353,5
112,T108,T117,Joaquin Niemann,70.6,706,10
113,114,T130,Tom Hoge,70.62,918,13
114,T115,T107,Jonathan Byrd,70.63,565,8
115,T115,T107,Jason Dufner,70.63,565,8
116,T115,T107,Andrew Landry,70.63,565,8
117,T115,T107,Sebastián Muñoz,70.63,565,8
118,T115,T107,Wes Roach,70.63,565,8
119,T115,T107,Patrick Rodgers,70.63,565,8
120,T121,T115,C.T. Pan,70.64,777,11
121,T121,T115,Adam Schenk,70.64,777,11
122,T123,T126,Scott Piercy,70.67,424,6
123,T123,T117,Josh Teater,70.67,424,6
124,125,144,Hank Lebioda,70.7,707,10
125,126,T158,Stephan Jaeger,70.73,778,11
126,T127,156,Lucas Bjerregaard,70.75,283,4
127,T127,T121,Matthew Fitzpatrick,70.75,566,8
128,T127,T121,Hunter Mahan,70.75,566,8
129,T127,T121,Chez Reavie,70.75,566,8
130,131,124,Bud Cauley,70.77,920,13
131,132,125,Cameron Champ,70.78,637,9
132,T133,T126,Abraham Ancer,70.8,708,10
133,T133,T130,Ryan Palmer,70.8,708,10
134,135,T130,Kramer Hickok,70.82,779,11
135,T136,T126,Nate Lashley,70.83,425,6
136,T136,129,Pat Perez,70.83,425,6
137,138,T166,Chris Thompson,70.86,496,7
138,T139,T150,Ryan Armour,71.0,852,12
139,T139,T130,Corey Conners,71.0,710,10
140,T139,T130,Branden Grace,71.0,710,10
141,T139,T130,James Hahn,71.0,355,5
142,T139,T130,Tyrrell Hatton,71.0,284,4
143,T139,T107,Russell Henley,71.0,639,9
144,T139,T130,Si Woo Kim,71.0,639,9
145,T139,T130,Louis Oosthuizen,71.0,355,5
146,T139,T130,Rory Sabbatini,71.0,568,8
147,T139,T130,Shawn Stefani,71.0,497,7
148,T139,143,Harold Varner III,71.0,781,11
149,150,T145,Charley Hoffman,71.14,498,7
150,T151,T147,Chesson Hadley,71.17,854,12
151,T151,T147,Cameron Smith,71.17,427,6
152,T151,T147,Cameron Tringale,71.17,427,6
153,154,T150,Ollie Schniederjans,71.18,783,11
154,T155,164,Alex Cejka,71.25,570,8
155,T155,T152,Sam Saunders,71.25,570,8
156,157,154,Freddie Jacobson,71.29,499,7
157,158,155,Andrew Putnam,71.3,713,10
158,T159,999,Martin Piller,71.33,428,6
159,T159,999,Tyrone Van Aswegen,71.33,428,6
160,T161,157,Ryan Moore,71.38,571,8
161,T161,142,Scott Stallings,71.38,928,13
162,T163,176,Scott Langley,71.4,714,10
163,T163,T158,Adam Long,71.4,714,10
164,T165,T184,Cody Gribble,71.5,429,6
165,T165,T160,Jon Rahm,71.5,286,4
166,T165,T160,Charl Schwartzel,71.5,286,4
167,T165,T166,Kevin Tway,71.5,715,10
168,T169,165,Carlos Ortiz,71.55,787,11
169,T169,T160,Jimmy Walker,71.55,787,11
170,171,163,Seamus Power,71.56,644,9
171,172,T166,Peter Uihlein,71.6,716,10
172,T173,T166,Sam Burns,71.67,645,9
173,T173,T173,Roberto Castro,71.67,645,9
174,175,170,Hudson Swafford,71.7,717,10
175,T176,T171,J.B. Holmes,71.71,502,7
176,T176,T171,Russell Knox,71.71,502,7
177,178,T173,Danny Lee,71.78,646,9
178,179,183,Tyler Duncan,71.86,1006,14
179,T180,T177,Roberto Díaz,71.88,575,8
180,T180,T177,John Huh,71.88,575,8
181,182,179,Trey Mullinax,71.89,647,9
182,T183,T180,Haotong Li,72.0,288,4
183,T183,T180,"Ted Potter, Jr.",72.0,504,7
184,T183,T180,Seth Reeves,72.0,504,7
185,186,T184,Kyle Jones,72.09,793,11
186,187,T184,Anders Albertson,72.2,722,10
187,188,187,Phil Mickelson,72.22,650,9
188,189,188,Brian Harman,72.27,795,11
189,190,189,J.J. Henry,72.29,506,7
190,191,190,Bill Haas,72.4,724,10
191,192,191,D.A. Points,72.43,507,7
192,193,192,Justin Harding,72.5,145,2
193,194,193,Satoshi Kodaira,72.56,653,9
194,195,194,David Hearn,72.57,508,7
195,196,195,Billy Horschel,72.63,581,8
196,T197,T196,Brady Schnell,72.67,436,6
197,T197,T196,Kyle Stanley,72.67,436,6
198,199,198,Michael Kim,72.88,583,8
199,T200,T199,Bryson DeChambeau,73.0,365,5
200,T200,T199,Jim Herman,73.0,438,6
201,T202,T201,Alex Noren,73.2,366,5
202,T202,T201,Matt Wallace,73.2,366,5
203,204,203,Brendan Steele,73.25,586,8
204,205,204,Chris Stroud,73.33,660,9
205,206,206,Rod Pampling,73.43,514,7
206,T207,207,Joey Garber,74.0,444,6
207,T207,205,Grayson Murray,74.0,296,4
208,209,999,Shane Lowry,75.0,150,2
