,Par_5_Scoring_Average_RANK THIS WEEK,Par_5_Scoring_Average_RANK LAST WEEK,Par_5_Scoring_Average_PLAYER NAME,Par_5_Scoring_Average_ROUNDS,Par_5_Scoring_Average_AVG,Par_5_Scoring_Average_TOTAL STROKES,Par_5_Scoring_Average_TOTAL HOLES
130,T126,T125,Kevin Streelman,63,4.66,969,208
131,T126,T132,Cameron Tringale,52,4.66,783,168
132,T133,T132,Matthew Fitzpatrick,42,4.67,616,132
133,T133,T132,Fabián Gómez,44,4.67,700,150
134,T133,T132,Beau Hossler,66,4.67,1047,224
135,T133,T142,Scott Langley,60,4.67,868,186
136,T133,T132,Pat Perez,52,4.67,794,170
137,T133,T132,D.A. Points,33,4.67,542,116
138,T133,T115,Alex Prugh,54,4.67,789,169
139,T133,T132,Brady Schnell,38,4.67,607,130
140,T133,T132,Vaughn Taylor,69,4.67,1036,222
141,T142,T132,Anders Albertson,48,4.68,721,154
142,T142,T142,Bronson Burgoon,37,4.68,561,120
143,T142,T152,John Chin,38,4.68,627,134
144,T142,T142,Austin Cook,50,4.68,711,152
145,T142,T142,Jason Dufner,56,4.68,815,174
146,T142,T142,Ernie Els,43,4.68,637,136
147,T142,T152,Danny Lee,66,4.68,917,196
148,T142,T152,Peter Malnati,64,4.68,894,191
149,T142,T142,Louis Oosthuizen,43,4.68,609,130
150,T142,T158,Ben Silverman,54,4.68,814,174
151,T142,T142,Peter Uihlein,65,4.68,988,211
152,T153,T158,Roberto Castro,54,4.69,779,166
153,T153,T158,Tyler Duncan,66,4.69,985,210
154,T153,T142,Kelly Kraft,67,4.69,947,202
155,T153,T166,José de Jesús Rodríguez,51,4.69,798,170
156,T153,T142,Sepp Straka,48,4.69,750,160
157,T153,T152,Harold Varner III,62,4.69,900,192
158,T153,T142,Jimmy Walker,61,4.69,909,194
159,T160,T152,Jonas Blixt,66,4.7,968,206
160,T160,T152,Brice Garnett,63,4.7,939,200
161,T160,T158,Justin Harding,31,4.7,385,82
162,T160,T158,Russell Henley,56,4.7,771,164
163,T160,T158,Billy Horschel,73,4.7,1053,224
164,T160,T158,Jason Kokrak,68,4.7,1033,220
165,T160,T158,Kyoung-Hoon Lee,72,4.7,1076,229
166,T160,T166,Robert Streb,60,4.7,883,188
167,T168,T166,Adam Long,52,4.71,810,172
168,T168,T176,Joaquin Niemann,68,4.71,999,212
169,T170,T171,Aaron Baddeley,51,4.72,859,182
170,T170,T166,David Hearn,41,4.72,595,126
171,T170,T171,Tom Hoge,70,4.72,1028,218
172,T170,999,Shane Lowry,30,4.72,359,76
173,T170,T171,Cameron Smith,55,4.72,783,166
174,T175,T185,Jonathan Byrd,43,4.73,671,142
175,T175,T176,Chesson Hadley,58,4.73,898,190
176,T175,T176,Tyrrell Hatton,46,4.73,672,142
177,T175,T185,Jim Herman,37,4.73,568,120
178,T175,T176,Charley Hoffman,58,4.73,889,188
179,T175,T176,Andrew Landry,56,4.73,842,178
180,T175,T176,Phil Mickelson,41,4.73,625,132
181,T175,T171,Sam Saunders,53,4.73,837,177
182,T175,T171,Chris Stroud,54,4.73,809,171
183,T175,T166,Josh Teater,47,4.73,700,148
184,T175,T176,Matt Wallace,31,4.73,426,90
185,T186,T183,Ryan Armour,66,4.74,1023,216
186,T186,T183,Ben Crane,41,4.74,630,133
187,T186,T193,Brian Harman,67,4.74,976,206
188,T186,T185,Whee Kim,57,4.74,839,177
189,T186,T185,Curtis Luck,51,4.74,787,166
190,T191,T193,Alex Cejka,41,4.75,617,130
191,T191,T185,Freddie Jacobson,37,4.75,542,114
192,T191,T185,Satoshi Kodaira,51,4.75,770,162
193,T191,T185,Brian Stuard,76,4.75,1150,242
