,Early_Par_4_Scoring_Average_RANK THIS WEEK,Early_Par_4_Scoring_Average_RANK LAST WEEK,Early_Par_4_Scoring_Average_PLAYER NAME,Early_Par_4_Scoring_Average_ROUNDS,Early_Par_4_Scoring_Average_AVG,Early_Par_4_Scoring_Average_TOTAL STROKES,Early_Par_4_Scoring_Average_TOTAL HOLES
0,1,T2,Justin Thomas,49,3.91,966,247
1,2,T2,Jim Furyk,53,3.92,969,247
2,T3,4,Lucas Glover,62,3.93,1026,261
3,T3,1,Dustin Johnson,47,3.93,703,179
4,T3,T5,Webb Simpson,53,3.93,1085,276
5,T6,T11,Daniel Berger,48,3.94,1033,262
6,T6,T5,Patrick Cantlay,49,3.94,749,190
7,T6,T5,Charles Howell III,64,3.94,1218,309
8,T6,T11,Sungjae Im,88,3.94,1737,441
9,T6,T5,Ryan Palmer,56,3.94,1359,345
10,T6,T5,Patrick Reed,53,3.94,994,252
11,T6,T5,Gary Woodland,63,3.94,1142,290
12,T13,T16,Jonathan Byrd,43,3.95,880,223
13,T13,T11,Rafa Cabrera Bello,57,3.95,1145,290
14,T13,T11,Rickie Fowler,54,3.95,1010,256
15,T13,T11,Keith Mitchell,64,3.95,1209,306
16,T17,T16,Jason Day,45,3.96,732,185
17,T17,T16,Matt Jones,67,3.96,1246,315
18,T17,T16,Brooks Koepka,49,3.96,811,205
19,T17,T16,Troy Merritt,42,3.96,781,197
20,T17,T16,Xander Schauffele,55,3.96,967,244
21,T17,T16,Adam Scott,41,3.96,657,166
22,T23,T23,Aaron Baddeley,51,3.97,1041,262
23,T23,T23,Dominic Bozzelli,53,3.97,1081,272
24,T23,T23,Keegan Bradley,65,3.97,1360,343
25,T23,T23,Bud Cauley,61,3.97,1448,365
26,T23,T23,Ben Crane,41,3.97,934,235
27,T23,T23,Tyrrell Hatton,46,3.97,949,239
28,T23,T23,Matt Kuchar,65,3.97,1155,291
29,T23,T23,Scott Piercy,70,3.97,1469,370
30,T23,T23,Kevin Streelman,63,3.97,1387,349
31,T23,T23,Brian Stuard,76,3.97,1561,393
32,T23,T23,Cameron Tringale,52,3.97,1029,259
33,T34,T43,Austin Cook,50,3.98,972,244
34,T34,T34,Si Woo Kim,65,3.98,1374,345
35,T34,T34,Nate Lashley,44,3.98,835,210
36,T34,T34,Luke List,52,3.98,1103,277
37,T34,T34,Joaquin Niemann,68,3.98,1579,397
38,T34,T34,C.T. Pan,64,3.98,1418,356
39,T34,T34,Alex Prugh,54,3.98,1047,263
40,T34,T34,Chez Reavie,67,3.98,1305,328
41,T34,T59,Brandt Snedeker,68,3.98,1438,361
42,T43,T43,Byeong Hun An,54,3.99,1238,310
43,T43,T43,Ryan Armour,66,3.99,1496,375
44,T43,T70,Jonas Blixt,66,3.99,1478,370
45,T43,T43,Paul Casey,51,3.99,809,203
46,T43,T43,Stewart Cink,33,3.99,723,181
47,T43,T43,Ernie Els,43,3.99,873,219
48,T43,T43,Harris English,72,3.99,1718,431
49,T43,T43,Tony Finau,61,3.99,1069,268
