,Tenth_Tee_Early_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_2_Scoring_Average_AVG,Tenth_Tee_Early_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Ryan Moore,65.0,65,1
1,2,T12,Ben Silverman,65.67,197,3
2,3,2,Tyrrell Hatton,66.0,66,1
3,4,3,Daniel Berger,66.67,200,3
4,5,4,Justin Rose,67.0,134,2
5,6,5,Gary Woodland,67.2,336,5
6,7,6,Jhonattan Vegas,67.25,269,4
7,8,7,Zach Johnson,67.33,202,3
8,9,8,Dustin Johnson,67.67,203,3
9,10,9,Cameron Champ,67.75,271,4
10,11,10,Jordan Spieth,67.8,339,5
11,12,11,Keith Mitchell,67.83,407,6
12,T13,T12,Paul Casey,68.0,408,6
13,T13,T12,José de Jesús Rodríguez,68.0,204,3
14,15,T17,Sangmoon Bae,68.25,273,4
15,T16,T17,Dominic Bozzelli,68.33,205,3
16,T16,T17,Charles Howell III,68.33,410,6
17,18,20,Adam Scott,68.4,342,5
18,T19,T12,Lucas Bjerregaard,68.5,137,2
19,T19,T21,Keegan Bradley,68.5,137,2
20,T19,T21,Martin Laird,68.5,411,6
21,T19,T12,Joaquin Niemann,68.5,274,4
22,T19,T21,Roger Sloan,68.5,137,2
23,T19,T21,Cameron Smith,68.5,137,2
24,T19,T68,Sepp Straka,68.5,274,4
25,26,25,Emiliano Grillo,68.6,343,5
26,T27,T26,Matthew Fitzpatrick,68.67,206,3
27,T27,T26,Max Homa,68.67,206,3
28,T27,31,Peter Malnati,68.67,412,6
29,T27,T26,Henrik Stenson,68.67,206,3
30,T27,T26,Kevin Streelman,68.67,206,3
31,32,T93,Brandt Snedeker,68.86,482,7
32,T33,T32,Kiradech Aphibarnrat,69.0,345,5
33,T33,T32,Rickie Fowler,69.0,483,7
34,T33,T26,Talor Gooch,69.0,276,4
35,T33,T32,Adam Hadwin,69.0,138,2
36,T33,T32,Sungjae Im,69.0,414,6
37,T33,T32,Matt Kuchar,69.0,345,5
38,T33,T32,Anirban Lahiri,69.0,207,3
39,T33,T68,Graeme McDowell,69.0,276,4
40,T33,T32,Rory McIlroy,69.0,276,4
41,T33,T32,Grayson Murray,69.0,69,1
42,T33,T32,Patrick Reed,69.0,414,6
43,T33,T130,Justin Thomas,69.0,207,3
44,T33,T32,Martin Trainer,69.0,207,3
45,T33,T32,Richy Werenski,69.0,138,2
46,T33,T32,Tiger Woods,69.0,207,3
47,T33,T32,Chase Wright,69.0,207,3
48,49,T32,Adam Svensson,69.13,553,8
49,50,49,Lucas Glover,69.14,484,7
50,T51,T32,J.J. Spaun,69.2,346,5
51,T51,50,Johnson Wagner,69.2,346,5
52,T53,51,Curtis Luck,69.25,277,4
53,T53,T77,Bubba Watson,69.25,277,4
54,55,52,Marc Leishman,69.29,485,7
55,T56,53,Roberto Castro,69.33,208,3
56,T56,T32,Scott Piercy,69.33,208,3
57,T58,T54,Joel Dahmen,69.4,347,5
58,T58,T54,Martin Kaymer,69.4,347,5
59,60,56,Hideki Matsuyama,69.43,486,7
60,T61,T57,Jonathan Byrd,69.5,417,6
61,T61,T57,Brice Garnett,69.5,139,2
62,T61,T57,Matt Jones,69.5,417,6
63,T61,T57,Kevin Kisner,69.5,278,4
64,T61,T57,Sam Ryder,69.5,278,4
65,T61,T57,John Senden,69.5,139,2
66,T61,T57,Josh Teater,69.5,278,4
67,T61,T57,D.J. Trahan,69.5,139,2
68,T61,T57,Danny Willett,69.5,139,2
69,70,66,Tony Finau,69.56,626,9
70,71,67,Kyoung-Hoon Lee,69.57,487,7
71,72,T68,Austin Cook,69.67,209,3
72,T73,T71,Ben Crane,69.75,279,4
73,T73,T71,Charley Hoffman,69.75,279,4
74,T73,T71,Ian Poulter,69.75,279,4
75,T76,74,Luke List,69.8,349,5
76,T76,T77,Ryan Palmer,69.8,349,5
77,T78,T75,Bud Cauley,69.83,419,6
78,T78,T75,C.T. Pan,69.83,419,6
79,T80,T77,Alex Cejka,70.0,280,4
80,T80,T77,Stewart Cink,70.0,70,1
81,T80,T77,Julián Etulain,70.0,70,1
82,T80,T77,Cody Gribble,70.0,70,1
83,T80,T77,Patton Kizzire,70.0,140,2
84,T80,T102,Jim Knous,70.0,210,3
85,T80,T77,Russell Knox,70.0,70,1
86,T80,T160,Brooks Koepka,70.0,210,3
87,T80,T77,Jason Kokrak,70.0,280,4
88,T80,T77,Francesco Molinari,70.0,140,2
89,T80,T32,Jimmy Walker,70.0,210,3
90,T91,T87,Chesson Hadley,70.14,491,7
91,T91,T87,Michael Thompson,70.14,491,7
92,93,89,Webb Simpson,70.17,421,6
93,T94,T90,Jim Furyk,70.25,281,4
94,T94,T90,Branden Grace,70.25,281,4
95,T94,156,Mackenzie Hughes,70.25,281,4
