,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Justin Thomas,49,27.54,228,828
1,2,2,Gary Woodland,63,26.67,288,1080
2,3,4,Tiger Woods,31,26.07,122,468
3,4,3,Brooks Koepka,49,25.79,195,756
4,5,12,Rory McIlroy,50,25.72,213,828
5,6,5,Jason Day,45,25.42,183,720
6,7,6,Bryson DeChambeau,45,25.26,191,756
7,8,7,Patrick Cantlay,49,25.25,200,792
8,9,8,Si Woo Kim,65,25.09,271,1080
9,10,11,Jon Rahm,51,24.62,195,792
10,11,13,Xander Schauffele,55,24.57,230,936
11,12,9,Matt Every,38,24.51,150,612
12,13,14,Adam Scott,41,24.5,172,702
13,14,16,Cameron Champ,58,24.4,246,1008
14,T15,17,Rickie Fowler,54,24.38,237,972
15,T15,10,Aaron Wise,52,24.38,215,882
16,17,18,Matt Kuchar,65,24.33,254,1044
17,18,19,Dustin Johnson,47,24.24,192,792
18,19,15,Ryan Palmer,56,24.15,226,936
19,20,T20,Marc Leishman,52,24.07,208,864
20,21,T22,Justin Rose,42,23.98,164,684
21,22,24,Jordan Spieth,57,23.97,233,972
22,23,25,Troy Merritt,42,23.83,163,684
23,24,26,Hideki Matsuyama,59,23.81,240,1008
24,25,T22,Wyndham Clark,61,23.73,252,1062
25,26,30,Phil Mickelson,41,23.68,162,684
26,27,31,Andrew Putnam,57,23.61,221,936
27,28,29,Talor Gooch,37,23.42,156,666
28,29,32,Sungjae Im,88,23.41,354,1512
29,30,27,Scott Piercy,70,23.4,278,1188
30,31,33,Keith Mitchell,64,23.32,256,1098
31,32,28,Dominic Bozzelli,53,23.31,214,918
32,33,34,Sam Ryder,52,23.08,216,936
33,34,35,Jason Kokrak,68,23.0,265,1152
34,T35,T36,Byeong Hun An,54,22.98,211,918
35,T35,39,Hank Lebioda,55,22.98,211,918
36,37,38,Rafa Cabrera Bello,57,22.94,223,972
37,38,40,Luke List,52,22.9,202,882
38,39,41,Rory Sabbatini,71,22.89,276,1206
39,40,42,Justin Harding,31,22.69,98,432
40,T41,T36,Bud Cauley,61,22.68,249,1098
41,T41,T43,Charles Howell III,64,22.68,249,1098
42,43,T43,Brandon Harkins,67,22.66,257,1134
43,44,45,Tony Finau,61,22.62,228,1008
44,T45,46,Adam Hadwin,66,22.58,252,1116
45,T45,T20,D.J. Trahan,33,22.58,126,558
46,47,47,Ian Poulter,49,22.49,170,756
47,48,48,Paul Casey,51,22.46,190,846
48,49,T54,Sebastián Muñoz,58,22.42,226,1008
49,50,T49,Abraham Ancer,69,22.4,258,1152
50,51,51,Jhonattan Vegas,60,22.32,233,1044
51,T52,52,Chez Reavie,67,22.31,241,1080
52,T52,T49,Nick Watney,67,22.31,253,1134
53,54,53,Joel Dahmen,78,22.3,297,1332
54,55,T54,Emiliano Grillo,65,22.22,248,1116
55,56,68,Webb Simpson,53,22.11,199,900
56,T57,60,Sung Kang,67,22.05,258,1170
57,T57,T63,Danny Lee,66,22.05,254,1152
58,59,T54,Denny McCarthy,63,22.03,234,1062
59,60,58,Austin Cook,50,21.98,182,828
60,61,61,Matt Jones,67,21.96,249,1134
61,62,66,Ryan Moore,54,21.91,213,972
62,63,67,Vaughn Taylor,69,21.89,264,1206
63,64,59,Sepp Straka,48,21.86,181,828
64,65,70,Beau Hossler,66,21.8,259,1188
65,66,57,Cameron Davis,54,21.79,204,936
66,67,71,Patrick Reed,53,21.76,188,864
67,68,T72,Michael Thompson,56,21.73,219,1008
68,69,74,Aaron Baddeley,51,21.68,199,918
69,70,75,Cameron Smith,55,21.67,195,900
70,71,65,Adam Schenk,80,21.65,304,1404
71,72,89,Cameron Tringale,52,21.64,187,864
72,73,77,Lucas Glover,62,21.55,225,1044
73,74,78,Jonas Blixt,66,21.53,248,1152
74,75,999,Martin Piller,30,21.48,116,540
75,76,62,Johnson Wagner,45,21.45,166,774
76,T77,T81,Tyrrell Hatton,46,21.43,162,756
77,T77,T63,Nate Lashley,44,21.43,162,756
78,79,76,J.B. Holmes,54,21.39,181,846
79,T80,T86,Kiradech Aphibarnrat,49,21.38,177,828
80,T80,T86,Stewart Cink,33,21.38,127,594
81,82,90,Grayson Murray,36,21.3,138,648
82,83,T72,Scott Stallings,63,21.28,226,1062
83,T84,92,Sam Burns,66,21.27,245,1152
84,T84,99,J.J. Spaun,68,21.27,245,1152
85,86,93,Kyoung-Hoon Lee,72,21.24,260,1224
86,87,79,Martin Laird,60,21.23,214,1008
87,88,94,Patrick Rodgers,44,21.21,168,792
88,89,96,Brandt Snedeker,68,21.2,248,1170
89,90,T84,Keegan Bradley,65,21.17,221,1044
90,91,88,Roger Sloan,62,21.15,236,1116
91,92,108,Jonathan Byrd,43,21.14,156,738
92,T93,T81,Sergio Garcia,39,21.11,114,540
93,T93,T97,Peter Malnati,64,21.11,228,1080
94,T93,80,Bubba Watson,47,21.11,152,720
95,96,T84,Trey Mullinax,67,21.08,239,1134
96,T97,91,Ollie Schniederjans,63,21.04,231,1098
97,T97,107,Nick Taylor,70,21.04,250,1188
98,99,83,Seth Reeves,52,21.0,189,900
99,100,100,Kevin Kisner,65,20.99,204,972
100,101,101,C.T. Pan,64,20.97,234,1116
101,102,T105,Pat Perez,52,20.89,188,900
102,103,T109,Corey Conners,62,20.88,218,1044
103,T104,113,Graeme McDowell,61,20.86,214,1026
104,T104,T115,Adam Svensson,51,20.86,184,882
105,T104,T103,Richy Werenski,63,20.86,229,1098
106,107,T109,Haotong Li,32,20.83,105,504
107,T108,111,Ryan Blaum,67,20.81,236,1134
108,T108,T103,Peter Uihlein,65,20.81,236,1134
109,110,112,Kevin Streelman,63,20.77,228,1098
110,111,T97,Harold Varner III,62,20.74,224,1080
111,112,95,Chase Wright,53,20.7,190,918
112,113,T115,Russell Knox,65,20.69,216,1044
113,114,117,Louis Oosthuizen,43,20.68,134,648
114,115,119,J.T. Poston,76,20.6,267,1296
115,T116,120,James Hahn,34,20.59,126,612
116,T116,122,José de Jesús Rodríguez,51,20.59,189,918
117,118,121,Jason Dufner,56,20.58,200,972
118,T119,T127,Curtis Luck,51,20.57,174,846
119,T119,102,Hudson Swafford,59,20.57,211,1026
120,121,T105,Brian Gay,79,20.52,277,1350
121,122,124,Patton Kizzire,58,20.44,206,1008
122,123,T125,Kevin Na,54,20.41,180,882
123,T124,T136,Daniel Berger,48,20.37,176,864
124,T124,T127,Charley Hoffman,58,20.37,198,972
125,126,135,Scott Brown,66,20.34,227,1116
126,127,132,Brice Garnett,63,20.31,223,1098
127,128,129,Jim Knous,55,20.26,186,918
128,129,T130,Brendan Steele,50,20.25,175,864
129,130,T133,Tommy Fleetwood,43,20.22,131,648
130,131,T130,Roberto Díaz,51,20.21,171,846
131,132,T140,"Ted Potter, Jr.",56,20.16,196,972
132,133,T125,Julián Etulain,55,20.15,185,918
133,134,123,Shawn Stefani,57,20.13,192,954
134,135,143,Hunter Mahan,45,20.12,163,810
135,136,142,Stephan Jaeger,59,20.1,199,990
136,137,144,Matthew Fitzpatrick,42,20.09,141,702
137,T138,T138,Kramer Hickok,59,20.06,213,1062
138,T138,145,Brian Stuard,76,20.06,260,1296
139,T140,T133,John Chin,38,20.03,137,684
140,T140,T146,Martin Kaymer,38,20.03,137,684
141,T142,T136,Jim Furyk,53,20.02,173,864
142,T142,118,Kelly Kraft,67,20.02,227,1134
143,T142,T140,Kevin Tway,62,20.02,209,1044
144,T145,999,Shane Lowry,30,20.0,90,450
145,T145,114,Josh Teater,47,20.0,162,810
146,147,T149,Chesson Hadley,58,19.94,201,1008
147,148,T138,Martin Trainer,51,19.93,183,918
148,149,T146,Harris English,72,19.92,251,1260
149,150,T151,Matt Wallace,31,19.84,100,504
150,151,T154,Bronson Burgoon,37,19.82,132,666
151,T152,T154,Anders Albertson,48,19.81,164,828
152,T152,T151,Dylan Frittelli,55,19.81,189,954
153,T152,153,Whee Kim,57,19.81,189,954
154,155,148,Cody Gribble,52,19.79,171,864
155,156,156,Chris Kirk,47,19.75,160,810
156,157,172,Danny Willett,47,19.74,167,846
157,158,158,Anirban Lahiri,54,19.67,177,900
158,159,159,Roberto Castro,54,19.56,176,900
159,160,166,Ben Silverman,54,19.55,190,972
160,T161,163,Scott Langley,60,19.54,204,1044
161,T161,T149,Carlos Ortiz,60,19.54,204,1044
162,163,165,Max Homa,61,19.49,207,1062
163,T164,177,Sangmoon Bae,42,19.44,140,720
164,T164,T160,Mackenzie Hughes,58,19.44,189,972
165,T166,167,David Hearn,41,19.37,129,666
166,T166,157,Jim Herman,37,19.37,129,666
167,168,168,Billy Horschel,73,19.36,230,1188
168,T169,T169,Branden Grace,62,19.34,188,972
169,T169,T169,Andrew Landry,56,19.34,181,936
170,171,164,Tyler Duncan,66,19.27,222,1152
171,172,T179,Ben Crane,41,19.24,142,738
172,173,T160,Alex Prugh,54,19.22,173,900
173,174,T174,Ryan Armour,66,19.19,228,1188
174,T175,173,Russell Henley,56,19.12,179,936
175,T175,189,Wes Roach,45,19.12,148,774
176,T177,171,Tom Hoge,70,19.11,227,1188
177,T177,T160,Chris Stroud,54,19.11,172,900
178,179,T174,Charl Schwartzel,34,19.1,110,576
179,180,T187,Henrik Stenson,46,19.01,130,684
180,181,183,Satoshi Kodaira,51,18.87,163,864
181,182,186,Robert Streb,60,18.85,190,1008
182,183,182,Bill Haas,58,18.83,183,972
183,184,T179,Fabián Gómez,44,18.81,149,792
184,185,184,Zach Johnson,50,18.78,169,900
185,186,178,Sam Saunders,53,18.76,179,954
186,187,176,Joaquin Niemann,68,18.69,222,1188
187,188,T187,Francesco Molinari,41,18.63,114,612
188,189,T179,Alex Noren,49,18.6,154,828
189,190,185,Brady Schnell,38,18.57,127,684
190,191,192,Seamus Power,58,18.42,179,972
191,192,193,John Senden,39,18.32,122,666
192,T193,T194,Ernie Els,43,18.29,135,738
193,T193,T194,Kyle Stanley,53,18.29,158,864
194,195,190,Lucas Bjerregaard,37,18.15,98,540
195,T196,T199,Brian Harman,67,18.12,212,1170
196,T196,191,Jimmy Walker,61,18.12,199,1098
197,198,T196,Freddie Jacobson,37,18.1,114,630
198,199,198,Adam Long,52,17.95,168,936
199,200,T199,John Huh,35,17.94,113,630
200,201,202,Joey Garber,44,17.92,129,720
201,202,T196,Alex Cejka,41,17.87,119,666
202,203,201,Michael Kim,51,17.46,154,882
203,204,204,Chris Thompson,34,17.16,105,612
204,205,203,Kyle Jones,49,17.14,145,846
205,206,205,D.A. Points,33,16.5,98,594
206,207,999,Tyrone Van Aswegen,30,16.11,87,540
207,208,206,Rod Pampling,40,15.5,106,684
208,209,207,J.J. Henry,42,14.47,99,684
