,Front_9_Round_1_Scoring_Average_RANK THIS WEEK,Front_9_Round_1_Scoring_Average_RANK LAST WEEK,Front_9_Round_1_Scoring_Average_PLAYER NAME,Front_9_Round_1_Scoring_Average_AVG,Front_9_Round_1_Scoring_Average_TOTAL STROKES,Front_9_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Justin Thomas,33.42,401,12
1,2,3,Tommy Fleetwood,33.78,304,9
2,3,4,Matt Kuchar,33.8,507,15
3,T4,7,Dustin Johnson,34.0,374,11
4,T4,T5,Chez Reavie,34.0,578,17
5,6,T5,Trey Mullinax,34.05,647,19
6,7,9,Pat Perez,34.27,514,15
7,8,12,Kevin Tway,34.28,617,18
8,T9,8,Nate Lashley,34.33,412,12
9,T9,T10,C.T. Pan,34.33,618,18
10,T9,T10,Jordan Spieth,34.33,515,15
11,12,14,Rory Sabbatini,34.44,620,18
12,13,18,Wes Roach,34.46,448,13
13,14,15,Hideki Matsuyama,34.5,483,14
14,15,13,Seth Reeves,34.53,587,17
15,16,16,David Hearn,34.54,449,13
16,17,T21,Russell Henley,34.59,588,17
17,T18,T23,Mackenzie Hughes,34.61,623,18
18,T18,17,Keith Mitchell,34.61,623,18
19,20,20,Scott Stallings,34.68,659,19
20,T21,25,Jim Furyk,34.71,486,14
21,T21,19,J.T. Poston,34.71,729,21
22,23,T21,Ryan Moore,34.75,556,16
23,T24,T23,Wyndham Clark,34.78,626,18
24,T24,T26,Matt Jones,34.78,626,18
25,26,T26,Nick Watney,34.79,661,19
26,T27,T42,Roberto Díaz,34.8,522,15
27,T27,T42,Graeme McDowell,34.8,522,15
28,T29,T28,Billy Horschel,34.82,592,17
29,T29,T28,Troy Merritt,34.82,383,11
30,31,31,Phil Mickelson,34.83,418,12
31,T32,T32,Joel Dahmen,34.86,732,21
32,T32,T32,Tiger Woods,34.86,244,7
33,T34,T63,Roberto Castro,34.87,523,15
34,T34,34,Tony Finau,34.87,523,15
35,T36,T35,Haotong Li,34.88,279,8
36,T36,T42,Josh Teater,34.88,558,16
37,T36,T35,Gary Woodland,34.88,558,16
38,T39,T28,Scott Piercy,34.89,628,18
39,T39,T47,Chris Stroud,34.89,628,18
40,T41,T38,Bryson DeChambeau,34.92,419,12
41,T41,T38,Tyrrell Hatton,34.92,419,12
42,T41,T47,Rory McIlroy,34.92,419,12
43,T41,T38,Jon Rahm,34.92,419,12
44,T41,T47,Webb Simpson,34.92,454,13
45,T46,T75,Joey Garber,34.93,489,14
46,T46,T42,Kevin Kisner,34.93,524,15
47,T48,T60,Peter Malnati,34.94,629,18
48,T48,T35,Chase Wright,34.94,629,18
49,50,46,Bud Cauley,34.95,664,19
50,51,58,Sungjae Im,34.96,874,25
51,T52,T47,Aaron Baddeley,35.0,525,15
52,T52,T47,Patrick Cantlay,35.0,420,12
53,T52,T47,Emiliano Grillo,35.0,560,16
54,T52,T47,James Hahn,35.0,350,10
55,T52,T47,Max Homa,35.0,630,18
56,T52,T47,Si Woo Kim,35.0,630,18
57,T52,89,Sebastián Muñoz,35.0,595,17
58,T52,T47,Vaughn Taylor,35.0,700,20
59,T52,T47,D.J. Trahan,35.0,315,9
60,T61,59,Ryan Blaum,35.05,701,20
61,T61,68,Jonas Blixt,35.05,666,19
62,T61,T85,Scott Langley,35.05,666,19
63,T61,T85,Danny Lee,35.05,666,19
64,T61,T80,Harold Varner III,35.05,666,19
65,T66,T60,Abraham Ancer,35.06,631,18
66,T66,T60,Jason Kokrak,35.06,561,16
67,68,T63,Byeong Hun An,35.07,491,14
68,69,67,Adam Scott,35.09,386,11
69,70,69,Stephan Jaeger,35.11,632,18
70,T71,T83,José de Jesús Rodríguez,35.12,597,17
71,T71,T70,Adam Svensson,35.12,597,17
72,T73,T72,Dylan Frittelli,35.13,527,15
73,T73,T70,Luke List,35.13,527,15
74,T75,T75,Brian Gay,35.14,738,21
75,T75,T72,Xander Schauffele,35.14,492,14
76,T75,T72,Brian Stuard,35.14,738,21
77,T78,T75,Marc Leishman,35.15,457,13
78,T78,T75,Patrick Reed,35.15,457,13
79,T78,T38,Johnson Wagner,35.15,457,13
80,81,79,Sung Kang,35.16,668,19
81,T82,T80,Jason Dufner,35.17,633,18
82,T82,T80,Charles Howell III,35.17,633,18
83,T84,T111,Keegan Bradley,35.19,563,16
84,T84,T83,Russell Knox,35.19,563,16
85,86,T119,Harris English,35.2,704,20
86,87,T103,Joaquin Niemann,35.21,669,19
87,88,114,Adam Schenk,35.22,810,23
88,T89,T107,Martin Laird,35.24,599,17
89,T89,88,Jhonattan Vegas,35.24,599,17
90,91,90,Seamus Power,35.25,705,20
91,T92,115,Sangmoon Bae,35.27,529,15
92,T92,T91,Ian Poulter,35.27,388,11
93,T92,T91,Andrew Putnam,35.27,529,15
94,T92,T91,Sam Ryder,35.27,529,15
95,T92,T95,Sepp Straka,35.27,529,15
96,T92,T63,Aaron Wise,35.27,529,15
97,T98,T95,Bronson Burgoon,35.29,494,14
98,T98,T95,Rickie Fowler,35.29,494,14
99,T98,T107,Bill Haas,35.29,600,17
100,T98,T95,Kevin Na,35.29,494,14
101,T102,T99,Louis Oosthuizen,35.3,353,10
102,T102,T134,Henrik Stenson,35.3,353,10
103,104,T63,Julián Etulain,35.31,565,16
104,T105,T85,Kramer Hickok,35.32,671,19
105,T105,110,J.J. Spaun,35.32,671,19
106,T105,116,Hudson Swafford,35.32,671,19
107,T105,T134,Nick Taylor,35.32,671,19
108,T109,T111,Ollie Schniederjans,35.33,742,21
109,T109,T103,John Senden,35.33,424,12
110,T109,117,Peter Uihlein,35.33,742,21
111,T112,T122,Adam Hadwin,35.35,601,17
112,T112,105,Patton Kizzire,35.35,601,17
113,T114,106,Jason Day,35.36,389,11
114,T114,T122,Brooks Koepka,35.36,389,11
115,T114,T99,Bubba Watson,35.36,389,11
116,T117,T91,Austin Cook,35.38,566,16
117,T117,T107,Branden Grace,35.38,566,16
118,T117,T99,Brian Harman,35.38,743,21
119,T117,999,Shane Lowry,35.38,283,8
120,121,102,Alex Prugh,35.41,602,17
121,122,133,Cameron Tringale,35.43,496,14
122,123,999,Tyrone Van Aswegen,35.45,390,11
123,124,118,Ernie Els,35.46,461,13
124,125,T119,Chesson Hadley,35.47,674,19
125,T126,T122,Kiradech Aphibarnrat,35.5,497,14
126,T126,158,Jonathan Byrd,35.5,426,12
127,T126,T122,Paul Casey,35.5,497,14
128,T126,T122,Stewart Cink,35.5,426,12
129,T126,T122,Matthew Fitzpatrick,35.5,355,10
130,T126,T122,Lucas Glover,35.5,568,16
131,T126,T111,Jim Herman,35.5,568,16
132,T126,132,Curtis Luck,35.5,568,16
133,T134,T122,Cameron Davis,35.53,604,17
134,T134,T122,Zach Johnson,35.53,533,15
135,T134,T122,Ryan Palmer,35.53,533,15
136,T137,T159,Scott Brown,35.55,711,20
137,T137,T137,Kelly Kraft,35.55,782,22
138,139,T119,Shawn Stefani,35.56,640,18
139,140,T137,Rafa Cabrera Bello,35.57,498,14
140,141,T148,Richy Werenski,35.58,676,19
141,142,T134,Ben Silverman,35.59,605,17
142,143,999,Martin Piller,35.6,356,10
143,T144,T140,Sam Burns,35.62,748,21
144,T144,T148,Ben Crane,35.62,463,13
145,T144,T140,D.A. Points,35.62,463,13
146,T147,T156,Corey Conners,35.63,677,19
147,T147,T143,Anirban Lahiri,35.63,570,16
148,T147,T143,Kevin Streelman,35.63,677,19
149,T150,T151,Alex Cejka,35.64,499,14
150,T150,T140,Brady Schnell,35.64,499,14
151,T152,147,Charley Hoffman,35.65,606,17
152,T152,146,Tom Hoge,35.65,820,23
153,T152,T166,Brandt Snedeker,35.65,606,17
154,155,T156,Denny McCarthy,35.68,678,19
155,T156,139,J.B. Holmes,35.69,571,16
156,T156,T151,Brendan Steele,35.69,571,16
157,T158,T143,Carlos Ortiz,35.7,714,20
158,T158,T153,Justin Rose,35.7,357,10
159,T158,T159,Robert Streb,35.7,714,20
160,T161,172,Cody Gribble,35.71,607,17
161,T161,155,Justin Harding,35.71,250,7
162,T163,T163,Dominic Bozzelli,35.75,572,16
163,T163,T163,Jim Knous,35.75,572,16
164,T163,T161,Charl Schwartzel,35.75,429,12
165,T163,T161,Matt Wallace,35.75,286,8
166,167,T153,Ryan Armour,35.76,751,21
167,T168,T163,Beau Hossler,35.8,716,20
168,T168,169,Whee Kim,35.8,716,20
169,170,168,Michael Thompson,35.82,609,17
170,171,182,Talor Gooch,35.83,430,12
171,172,150,Brice Garnett,35.85,717,20
172,T173,173,Tyler Duncan,35.86,753,21
173,T173,170,Fabián Gómez,35.86,502,14
174,T173,171,Patrick Rodgers,35.86,502,14
175,176,T185,Danny Willett,35.87,538,15
176,T177,T166,Anders Albertson,35.88,610,17
177,T177,T178,Jimmy Walker,35.88,610,17
178,T179,T175,Sergio Garcia,35.89,323,9
179,T179,T178,Kyle Jones,35.89,646,18
180,T181,174,John Huh,35.92,467,13
181,T181,188,Chris Thompson,35.92,431,12
182,183,T180,Hank Lebioda,35.93,539,15
183,T184,T175,Hunter Mahan,36.0,540,15
184,T184,T175,Grayson Murray,36.0,468,13
185,T184,T180,Rod Pampling,36.0,540,15
186,187,187,Brandon Harkins,36.1,722,20
187,188,183,Adam Long,36.11,686,19
188,T189,T194,Daniel Berger,36.14,506,14
189,T189,190,J.J. Henry,36.14,506,14
190,T189,T185,Cameron Smith,36.14,506,14
191,192,184,Sam Saunders,36.17,651,18
192,193,201,Matt Every,36.18,398,11
193,194,189,Satoshi Kodaira,36.2,543,15
194,195,T194,John Chin,36.21,507,14
195,196,191,Andrew Landry,36.24,616,17
196,T197,192,Michael Kim,36.25,725,20
197,T197,196,Roger Sloan,36.25,725,20
198,199,193,"Ted Potter, Jr.",36.29,617,17
199,T200,T197,Cameron Champ,36.33,654,18
200,T200,T197,Kyoung-Hoon Lee,36.33,763,21
201,202,199,Martin Kaymer,36.36,400,11
202,203,T202,Martin Trainer,36.37,691,19
203,204,206,Alex Noren,36.38,473,13
204,T205,200,Lucas Bjerregaard,36.44,328,9
205,T205,T202,Francesco Molinari,36.44,328,9
206,207,204,Chris Kirk,36.56,585,16
207,208,205,Kyle Stanley,36.63,586,16
208,209,207,Freddie Jacobson,36.69,477,13
