,Back_9_Round_2_Scoring_Average_RANK THIS WEEK,Back_9_Round_2_Scoring_Average_RANK LAST WEEK,Back_9_Round_2_Scoring_Average_PLAYER NAME,Back_9_Round_2_Scoring_Average_AVG,Back_9_Round_2_Scoring_Average_TOTAL STROKES,Back_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,T3,Dustin Johnson,33.73,371,11
1,2,2,Gary Woodland,33.81,541,16
2,3,T3,Justin Rose,33.9,339,10
3,4,1,Brooks Koepka,33.91,373,11
4,5,5,Rickie Fowler,34.14,478,14
5,6,7,Matt Kuchar,34.2,513,15
6,7,6,Scott Piercy,34.28,617,18
7,8,T9,Peter Malnati,34.44,620,18
8,9,8,Adam Scott,34.45,379,11
9,T10,T9,Jordan Spieth,34.47,517,15
10,T10,T15,Nick Taylor,34.47,655,19
11,12,12,Jason Kokrak,34.56,553,16
12,T13,T13,Tony Finau,34.6,519,15
13,T13,T13,Kyoung-Hoon Lee,34.6,692,20
14,T15,T15,Jonas Blixt,34.63,658,19
15,T15,17,Chris Kirk,34.63,554,16
16,17,T19,Rory McIlroy,34.67,416,12
17,18,18,Paul Casey,34.69,451,13
18,19,11,Daniel Berger,34.71,486,14
19,T20,T19,Jason Day,34.73,382,11
20,T20,T19,Ian Poulter,34.73,382,11
21,22,22,Beau Hossler,34.75,695,20
22,T23,T24,Ryan Blaum,34.8,696,20
23,T23,T24,Vaughn Taylor,34.8,696,20
24,25,T58,Ben Silverman,34.82,592,17
25,26,T31,Brice Garnett,34.85,697,20
26,T27,T28,Cameron Davis,34.88,593,17
27,T27,T28,Charles Howell III,34.88,593,17
28,T29,T31,Tommy Fleetwood,34.89,314,9
29,T29,T31,Max Homa,34.89,628,18
30,T29,23,Denny McCarthy,34.89,663,19
31,T29,T31,Francesco Molinari,34.89,314,9
32,T29,40,J.J. Spaun,34.89,628,18
33,T29,T28,D.J. Trahan,34.89,314,9
34,35,T54,Henrik Stenson,34.9,349,10
35,36,35,Martin Kaymer,34.91,384,11
36,T37,36,Stewart Cink,34.92,419,12
37,T37,T26,Talor Gooch,34.92,419,12
38,T37,T26,Nate Lashley,34.92,419,12
39,T40,T37,Kevin Kisner,34.93,524,15
40,T40,T37,Pat Perez,34.93,489,14
