,Early_Par_3_Scoring_Average_RANK THIS WEEK,Early_Par_3_Scoring_Average_RANK LAST WEEK,Early_Par_3_Scoring_Average_PLAYER NAME,Early_Par_3_Scoring_Average_ROUNDS,Early_Par_3_Scoring_Average_AVG,Early_Par_3_Scoring_Average_TOTAL STROKES,Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Scott Langley,60,2.91,376,129
1,T2,T2,Patrick Cantlay,49,2.93,211,72
2,T2,T2,John Huh,35,2.93,223,76
3,T4,T7,Tony Finau,61,2.95,295,100
4,T4,T7,Lucas Glover,62,2.95,298,101
5,T4,T9,Stephan Jaeger,59,2.95,325,110
6,T4,T5,Martin Laird,60,2.95,345,117
7,T4,T2,Danny Lee,66,2.95,410,139
8,T9,T26,Keegan Bradley,65,2.96,373,126
9,T9,T9,Jonathan Byrd,43,2.96,252,85
10,T9,T9,Paul Casey,51,2.96,222,75
11,T9,T9,Ben Silverman,54,2.96,334,113
12,T9,T9,Sepp Straka,48,2.96,219,74
13,T9,T9,Michael Thompson,56,2.96,338,114
14,T9,T9,Nick Watney,67,2.96,420,142
15,T9,T9,Richy Werenski,63,2.96,346,117
16,T17,T19,Jonas Blixt,66,2.97,427,144
17,T17,T19,Emiliano Grillo,65,2.97,333,112
18,T17,T19,Tyrrell Hatton,46,2.97,276,93
19,T17,T19,Charley Hoffman,58,2.97,318,107
20,T17,T19,Jason Kokrak,68,2.97,383,129
21,T22,T26,Kiradech Aphibarnrat,49,2.98,262,88
22,T22,T26,Ben Crane,41,2.98,265,89
23,T22,T26,Rickie Fowler,54,2.98,286,96
24,T22,T26,Charles Howell III,64,2.98,337,113
25,T22,T26,Sung Kang,67,2.98,426,143
26,T22,T9,Denny McCarthy,63,2.98,387,130
27,T22,T26,Graeme McDowell,61,2.98,391,131
28,T22,T26,Rory McIlroy,50,2.98,179,60
29,T22,T26,Justin Rose,42,2.98,155,52
30,T22,T19,Jimmy Walker,61,2.98,373,125
31,T22,T9,Aaron Wise,52,2.98,325,109
32,T22,T26,Tiger Woods,31,2.98,167,56
33,T34,T26,Bud Cauley,61,2.99,410,137
34,T34,T37,Stewart Cink,33,2.99,206,69
35,T34,T37,Marc Leishman,52,2.99,272,91
36,T34,T37,Hideki Matsuyama,59,2.99,371,124
37,T34,T37,Troy Merritt,42,2.99,206,69
38,T34,T19,Shawn Stefani,57,2.99,281,94
39,T40,T37,Ryan Armour,66,3.0,429,143
40,T40,T44,Jim Furyk,53,3.0,282,94
41,T40,T44,Freddie Jacobson,37,3.0,246,82
42,T40,T44,Michael Kim,51,3.0,306,102
43,T40,T44,Anirban Lahiri,54,3.0,318,106
44,T40,T44,Peter Malnati,64,3.0,369,123
45,T40,T44,John Senden,39,3.0,207,69
46,T40,T68,D.J. Trahan,33,3.0,180,60
47,T48,T37,Anders Albertson,48,3.01,265,88
48,T48,T54,Jason Day,45,3.01,220,73
49,T48,T54,James Hahn,34,3.01,253,84
50,T48,T54,Billy Horschel,73,3.01,352,117
51,T48,T68,Dustin Johnson,47,3.01,211,70
52,T48,T54,Patton Kizzire,58,3.01,400,133
53,T48,T68,Matt Kuchar,65,3.01,316,105
54,T48,T54,Andrew Putnam,57,3.01,301,100
55,T48,T54,Rory Sabbatini,71,3.01,404,134
56,T48,T54,Brady Schnell,38,3.01,244,81
57,T48,T54,Kevin Streelman,63,3.01,400,133
58,T48,T44,Chris Stroud,54,3.01,361,120
59,T48,T54,Brian Stuard,76,3.01,451,150
60,T48,T37,Adam Svensson,51,3.01,307,102
61,T48,T54,Harold Varner III,62,3.01,382,127
62,T48,T54,Jhonattan Vegas,60,3.01,325,108
63,T64,T54,Sangmoon Bae,42,3.02,260,86
64,T64,T68,Ryan Blaum,67,3.02,368,122
65,T64,T68,Corey Conners,62,3.02,387,128
66,T64,T68,Roberto Díaz,51,3.02,287,95
67,T64,T68,Tommy Fleetwood,43,3.02,172,57
68,T64,T68,Sergio Garcia,39,3.02,166,55
69,T64,T54,Fabián Gómez,44,3.02,338,112
70,T64,T84,Adam Hadwin,66,3.02,417,138
71,T64,T68,Justin Harding,31,3.02,181,60
72,T64,T68,Tom Hoge,70,3.02,393,130
73,T64,T68,Chris Kirk,47,3.02,293,97
74,T64,T68,Kevin Kisner,65,3.02,347,115
75,T64,999,Shane Lowry,30,3.02,124,41
76,T64,T44,Scott Piercy,70,3.02,398,132
77,T64,T68,Jon Rahm,51,3.02,196,65
78,T64,T68,Vaughn Taylor,69,3.02,408,135
79,T64,T84,Cameron Tringale,52,3.02,305,101
80,T64,T68,Johnson Wagner,45,3.02,266,88
81,T82,T122,John Chin,38,3.03,267,88
82,T82,T84,Joel Dahmen,78,3.03,455,150
83,T82,T84,Cameron Davis,54,3.03,354,117
84,T82,T44,Jim Herman,37,3.03,221,73
85,T82,T84,Sungjae Im,88,3.03,500,165
86,T82,T84,Whee Kim,57,3.03,342,113
87,T82,T84,Si Woo Kim,65,3.03,403,133
88,T82,T84,Curtis Luck,51,3.03,282,93
89,T82,T84,Ryan Moore,54,3.03,354,117
90,T82,T68,Ryan Palmer,56,3.03,388,128
91,T82,999,Martin Piller,30,3.03,182,60
92,T82,T98,José de Jesús Rodríguez,51,3.03,309,102
93,T82,T44,Josh Teater,47,3.03,294,97
94,T82,999,Tyrone Van Aswegen,30,3.03,209,69
95,T96,T98,Aaron Baddeley,51,3.04,307,101
96,T96,T84,Austin Cook,50,3.04,286,94
97,T96,T98,Bryson DeChambeau,45,3.04,231,76
98,T96,T98,Jason Dufner,56,3.04,343,113
99,T96,T122,Matt Every,38,3.04,158,52
100,T96,T98,Talor Gooch,37,3.04,234,77
101,T96,T84,Russell Henley,56,3.04,334,110
102,T96,T84,Kramer Hickok,59,3.04,395,130
103,T96,T98,Russell Knox,65,3.04,395,130
104,T96,T98,Pat Perez,52,3.04,295,97
105,T96,T98,Sam Saunders,53,3.04,350,115
106,T96,T98,Xander Schauffele,55,3.04,277,91
107,T96,T98,Jordan Spieth,57,3.04,295,97
108,T96,T98,Robert Streb,60,3.04,344,113
109,T96,T84,Justin Thomas,49,3.04,280,92
110,T96,T98,Chase Wright,53,3.04,307,101
111,T112,T122,Scott Brown,66,3.05,433,142
112,T112,T113,Bronson Burgoon,37,3.05,256,84
113,T112,T113,Brooks Koepka,49,3.05,223,73
114,T112,T113,Kyoung-Hoon Lee,72,3.05,418,137
115,T112,T113,D.A. Points,33,3.05,238,78
116,T112,T113,Patrick Reed,53,3.05,293,96
117,T112,T98,Wes Roach,45,3.05,317,104
118,T112,T84,Adam Schenk,80,3.05,469,154
119,T120,T54,Dominic Bozzelli,53,3.06,306,100
120,T120,T113,Alex Cejka,41,3.06,263,86
121,T120,T122,Brice Garnett,63,3.06,398,130
122,T120,T122,Andrew Landry,56,3.06,392,128
123,T120,T122,Haotong Li,32,3.06,208,68
124,T120,T122,Kevin Na,54,3.06,306,100
125,T120,T122,Chez Reavie,67,3.06,382,125
126,T120,T113,Seth Reeves,52,3.06,275,90
127,T120,T113,Roger Sloan,62,3.06,349,114
128,T120,T131,Kevin Tway,62,3.06,367,120
129,T130,T98,Tyler Duncan,66,3.07,423,138
130,T130,T131,Ernie Els,43,3.07,258,84
131,T130,T131,Julián Etulain,55,3.07,365,119
132,T130,T131,Branden Grace,62,3.07,399,130
133,T130,T131,Brandon Harkins,67,3.07,479,156
134,T130,T131,Beau Hossler,66,3.07,469,153
135,T130,T131,Matt Jones,67,3.07,375,122
136,T130,T131,Adam Long,52,3.07,332,108
137,T130,T131,Phil Mickelson,41,3.07,261,85
138,T130,T170,Sebastián Muñoz,58,3.07,347,113
139,T130,T122,Ollie Schniederjans,63,3.07,408,133
140,T130,T131,Danny Willett,47,3.07,289,94
141,T142,T181,David Hearn,41,3.08,228,74
142,T142,T98,Kelly Kraft,67,3.08,391,127
143,T142,T149,Hank Lebioda,55,3.08,370,120
144,T142,T141,Keith Mitchell,64,3.08,360,117
145,T142,T141,Louis Oosthuizen,43,3.08,228,74
146,T142,T141,C.T. Pan,64,3.08,422,137
147,T142,T141,Charl Schwartzel,34,3.08,200,65
148,T142,T160,Brandt Snedeker,68,3.08,416,135
149,T142,T141,J.J. Spaun,68,3.08,422,137
150,T142,T141,Scott Stallings,63,3.08,422,137
151,T142,T160,Henrik Stenson,46,3.08,228,74
152,T142,T149,Hudson Swafford,59,3.08,323,105
153,T142,T149,Nick Taylor,70,3.08,438,142
154,T155,T181,Lucas Bjerregaard,37,3.09,136,44
155,T155,T141,Brian Gay,79,3.09,436,141
156,T155,T149,Chesson Hadley,58,3.09,358,116
157,T155,T149,Mackenzie Hughes,58,3.09,355,115
158,T155,T113,Nate Lashley,44,3.09,250,81
159,T155,T149,Hunter Mahan,45,3.09,340,110
160,T155,T149,Carlos Ortiz,60,3.09,386,125
161,T155,T160,Seamus Power,58,3.09,362,117
162,T155,T149,Sam Ryder,52,3.09,399,129
163,T155,T149,Adam Scott,41,3.09,201,65
164,T155,T149,Webb Simpson,53,3.09,309,100
165,T155,T149,Gary Woodland,63,3.09,334,108
166,T167,T160,Abraham Ancer,69,3.1,446,144
167,T167,T170,Daniel Berger,48,3.1,298,96
168,T167,T160,Matthew Fitzpatrick,42,3.1,313,101
169,T167,T160,Francesco Molinari,41,3.1,189,61
170,T167,T160,Trey Mullinax,67,3.1,431,139
