,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
120,121,118,Ollie Schniederjans,63,71.17,1281,18
121,122,135,Peter Uihlein,65,71.18,1210,17
122,T123,T119,Russell Knox,65,71.2,1068,15
123,T123,T119,Brendan Steele,50,71.2,712,10
124,125,121,Kevin Na,54,71.21,997,14
125,126,122,Graeme McDowell,61,71.22,641,9
126,T127,123,Corey Conners,62,71.25,570,8
127,T127,T168,Scott Langley,60,71.25,570,8
128,T127,T147,Robert Streb,60,71.25,855,12
129,T130,999,Martin Piller,30,71.29,499,7
130,T130,124,Ben Silverman,54,71.29,998,14
131,132,125,Seamus Power,58,71.3,713,10
132,133,T126,Richy Werenski,63,71.32,1355,19
133,134,T126,Cameron Champ,58,71.33,642,9
134,135,133,Ryan Armour,66,71.35,1427,20
135,136,130,Chris Kirk,47,71.36,999,14
136,T137,T131,Kiradech Aphibarnrat,49,71.4,357,5
137,T137,T131,Whee Kim,57,71.4,714,10
138,139,134,Talor Gooch,37,71.43,500,7
139,T140,T136,John Senden,39,71.45,786,11
140,T140,T136,Sepp Straka,48,71.45,786,11
141,T142,T138,Paul Casey,51,71.5,286,4
142,T142,T138,Jason Dufner,56,71.5,1001,14
143,T142,T138,Freddie Jacobson,37,71.5,572,8
144,T142,T159,Curtis Luck,51,71.5,1001,14
145,146,141,Roger Sloan,62,71.53,1216,17
146,147,146,Sam Saunders,53,71.56,644,9
147,T148,T156,Jonathan Byrd,43,71.6,358,5
148,T148,145,Joey Garber,44,71.6,716,10
149,T148,T126,Chris Stroud,54,71.6,716,10
150,T151,194,Ben Crane,41,71.63,573,8
151,T151,170,Jim Herman,37,71.63,1146,16
152,153,142,Chase Wright,53,71.64,1003,14
153,154,149,Brian Stuard,76,71.65,1218,17
154,155,T156,Zach Johnson,50,71.67,645,9
155,T156,T161,Daniel Berger,48,71.7,717,10
156,T156,T151,David Hearn,41,71.7,717,10
157,T156,T151,Grayson Murray,36,71.7,717,10
158,T159,T154,Anders Albertson,48,71.73,789,11
159,T159,T147,Tom Hoge,70,71.73,1076,15
160,T159,T154,Kyle Stanley,53,71.73,789,11
161,T162,T172,Fabián Gómez,44,71.75,574,8
162,T162,T156,Anirban Lahiri,54,71.75,861,12
163,T164,T159,Satoshi Kodaira,51,71.77,933,13
164,T164,179,Danny Willett,47,71.77,933,13
165,T166,T161,Austin Cook,50,71.8,718,10
166,T166,153,Kramer Hickok,59,71.8,1077,15
167,T168,T164,D.A. Points,33,71.82,790,11
168,T168,T164,"Ted Potter, Jr.",56,71.82,790,11
169,T168,T164,Jhonattan Vegas,60,71.82,790,11
170,171,167,J.J. Spaun,68,71.85,934,13
171,T172,183,John Chin,38,71.86,503,7
172,T172,T168,Adam Svensson,51,71.86,503,7
173,174,163,Cameron Davis,54,71.88,1150,16
174,175,171,Shawn Stefani,57,71.9,719,10
175,176,182,Cody Gribble,52,71.93,1079,15
176,T177,T172,Jim Furyk,53,72.0,432,6
177,T177,T172,Brooks Koepka,49,72.0,72,1
178,T177,T172,Danny Lee,66,72.0,720,10
179,T177,T172,Luke List,52,72.0,504,7
180,T177,T172,Phil Mickelson,41,72.0,72,1
181,T177,T172,Brady Schnell,38,72.0,504,7
182,T177,999,Tyrone Van Aswegen,30,72.0,576,8
183,184,180,Kevin Streelman,63,72.1,721,10
184,185,181,Sangmoon Bae,42,72.11,649,9
185,186,184,Charley Hoffman,58,72.2,722,10
186,187,185,J.J. Henry,42,72.22,650,9
187,188,T189,Rod Pampling,40,72.27,1084,15
188,189,186,Bill Haas,58,72.33,434,6
189,190,187,Stewart Cink,33,72.38,579,8
190,191,197,Nick Watney,67,72.4,724,10
191,192,188,Bronson Burgoon,37,72.43,507,7
192,T193,T189,Adam Long,52,72.5,870,12
193,T193,T189,Francesco Molinari,41,72.5,290,4
194,T193,T189,Louis Oosthuizen,43,72.5,145,2
195,T193,T189,Pat Perez,52,72.5,435,6
196,197,195,Ryan Blaum,67,72.73,800,11
197,198,196,Tyrrell Hatton,46,72.75,582,8
198,199,999,Shane Lowry,30,72.83,437,6
199,T200,T198,Chesson Hadley,58,73.0,730,10
200,T200,T198,Martin Laird,60,73.0,365,5
201,202,200,Lucas Bjerregaard,37,73.29,513,7
202,T203,T201,Dustin Johnson,47,73.33,220,3
203,T203,T201,Jim Knous,55,73.33,660,9
204,T203,T201,Keith Mitchell,64,73.33,660,9
205,206,205,Martin Trainer,51,73.4,1101,15
206,207,204,Michael Kim,51,73.46,955,13
207,208,206,Rickie Fowler,54,74.0,74,1
