,Par_4_Scoring_Average_RANK THIS WEEK,Par_4_Scoring_Average_RANK LAST WEEK,Par_4_Scoring_Average_PLAYER NAME,Par_4_Scoring_Average_ROUNDS,Par_4_Scoring_Average_AVG,Par_4_Scoring_Average_TOTAL STROKES,Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Patrick Cantlay,49,3.92,1821,464
1,T2,2,Dustin Johnson,47,3.95,1843,467
2,T2,3,Brooks Koepka,49,3.95,1803,456
3,T2,T4,Matt Kuchar,65,3.95,2495,631
4,T2,T4,Webb Simpson,53,3.95,2182,552
5,T6,T22,Rory McIlroy,50,3.96,1949,492
6,T6,T8,Ryan Palmer,56,3.96,2232,563
7,T6,T4,Justin Thomas,49,3.96,1979,500
8,T9,T8,Aaron Baddeley,51,3.97,2107,531
9,T9,T8,Rafa Cabrera Bello,57,3.97,2219,559
10,T9,T8,Rickie Fowler,54,3.97,2302,580
11,T9,T8,Jim Furyk,53,3.97,2050,517
12,T9,T8,Lucas Glover,62,3.97,2419,609
13,T9,T8,Charles Howell III,64,3.97,2586,651
14,T9,T8,Nate Lashley,44,3.97,1767,445
15,T9,T4,Scott Piercy,70,3.97,2836,715
16,T17,T22,Jonathan Byrd,43,3.98,1715,431
17,T17,T17,Jason Day,45,3.98,1644,413
18,T17,T17,Phil Mickelson,41,3.98,1590,399
19,T17,T17,Justin Rose,42,3.98,1593,400
20,T17,T17,Xander Schauffele,55,3.98,2198,552
21,T17,T17,Gary Woodland,63,3.98,2562,643
22,T23,T22,Abraham Ancer,69,3.99,2746,688
23,T23,T22,Dominic Bozzelli,53,3.99,2201,551
24,T23,T22,Talor Gooch,37,3.99,1601,401
25,T23,T22,Si Woo Kim,65,3.99,2504,627
26,T23,T22,Jon Rahm,51,3.99,1834,460
27,T23,T22,Chez Reavie,67,3.99,2549,639
28,T23,T22,Brian Stuard,76,3.99,3034,761
29,T23,T8,D.J. Trahan,33,3.99,1289,323
30,T23,T31,Cameron Tringale,52,3.99,2000,501
31,T32,T31,Jonas Blixt,66,4.0,2739,685
32,T32,T31,Paul Casey,51,4.0,1981,495
33,T32,T39,Harris English,72,4.0,3000,750
34,T32,T39,Sungjae Im,88,4.0,3580,894
35,T32,T31,Jason Kokrak,68,4.0,2687,672
36,T32,T31,Hideki Matsuyama,59,4.0,2384,596
37,T32,T39,Graeme McDowell,61,4.0,2444,611
38,T32,T31,Troy Merritt,42,4.0,1642,410
39,T32,T31,Tiger Woods,31,4.0,1088,272
40,T41,T39,Byeong Hun An,54,4.01,2180,543
41,T41,T39,Ryan Armour,66,4.01,2816,703
42,T41,T39,Tommy Fleetwood,43,4.01,1518,379
43,T41,T39,Russell Henley,56,4.01,2240,559
44,T41,T66,J.B. Holmes,54,4.01,1967,490
45,T41,T39,Kevin Kisner,65,4.01,2287,571
46,T41,T39,Russell Knox,65,4.01,2475,617
47,T41,T39,Marc Leishman,52,4.01,2038,508
