,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
115,116,109,Byeong Hun An,54,70.87,1063,15
116,117,110,Kevin Kisner,65,70.88,1134,16
117,T118,T112,Ryan Moore,54,70.92,851,12
118,T118,T112,Trey Mullinax,67,70.92,922,13
119,120,116,Aaron Wise,52,70.93,1064,15
120,T121,121,Sungjae Im,88,71.0,2272,32
121,T121,T118,Stephan Jaeger,59,71.0,1278,18
122,T121,T118,Matt Jones,67,71.0,1491,21
123,124,122,Emiliano Grillo,65,71.04,1634,23
124,125,123,Michael Thompson,56,71.05,1421,20
125,T126,124,Charley Hoffman,58,71.06,1279,18
126,T126,T131,Adam Svensson,51,71.06,1208,17
127,128,T131,Martin Laird,60,71.09,1564,22
128,T129,T125,Roberto Díaz,51,71.11,640,9
129,T129,T125,Kyoung-Hoon Lee,72,71.11,1280,18
130,T129,T125,Charl Schwartzel,34,71.11,640,9
131,132,128,Billy Horschel,73,71.12,1849,26
132,133,129,Stewart Cink,33,71.13,569,8
133,T134,130,Jason Dufner,56,71.17,854,12
134,T134,150,Joey Garber,44,71.17,854,12
135,T136,T133,Dominic Bozzelli,53,71.21,997,14
136,T136,T133,Patton Kizzire,58,71.21,997,14
137,138,135,Troy Merritt,42,71.22,641,9
138,T139,137,Sam Saunders,53,71.25,1140,16
139,T139,T147,Ben Silverman,54,71.25,855,12
140,T141,138,Chris Kirk,47,71.29,499,7
141,T141,T162,Cameron Tringale,52,71.29,998,14
142,143,139,Brian Gay,79,71.32,1355,19
143,T144,T141,Daniel Berger,48,71.36,999,14
144,T144,T141,Beau Hossler,66,71.36,999,14
145,146,143,Kiradech Aphibarnrat,49,71.37,1356,19
146,147,140,Carlos Ortiz,60,71.38,928,13
147,T148,T152,Jonathan Byrd,43,71.4,1071,15
148,T148,144,Dylan Frittelli,55,71.4,1071,15
149,T148,T145,Grayson Murray,36,71.4,357,5
150,T148,T145,Ollie Schniederjans,63,71.4,714,10
151,152,158,Kelly Kraft,67,71.41,1214,17
152,153,166,Scott Stallings,63,71.42,857,12
153,T154,154,Bud Cauley,61,71.44,1143,16
154,T154,T147,Scott Langley,60,71.44,1286,18
155,156,T152,Ernie Els,43,71.5,572,8
156,157,155,Julián Etulain,55,71.54,930,13
157,T158,T171,Joaquin Niemann,68,71.56,1145,16
158,T158,156,Kyle Stanley,53,71.56,644,9
159,T158,168,Robert Streb,60,71.56,1145,16
160,161,157,Patrick Reed,53,71.58,1718,24
161,162,T162,Roger Sloan,62,71.59,1217,17
162,T163,T159,Bronson Burgoon,37,71.67,645,9
163,T163,T159,Rafa Cabrera Bello,57,71.67,1290,18
164,T163,T159,Rod Pampling,40,71.67,215,3
165,T166,164,Curtis Luck,51,71.7,717,10
166,T166,T147,Johnson Wagner,45,71.7,717,10
167,T168,151,Scott Brown,66,71.71,1219,17
168,T168,165,J.B. Holmes,54,71.71,1219,17
169,170,167,Austin Cook,50,71.77,933,13
170,171,169,Martin Kaymer,38,71.87,1078,15
171,172,170,Matt Wallace,31,71.89,647,9
172,T173,T171,Fabián Gómez,44,72.0,576,8
173,T173,T171,Hunter Mahan,45,72.0,648,9
174,T173,T171,Brendan Steele,50,72.0,720,10
175,T176,T171,Lucas Bjerregaard,37,72.08,865,12
176,T176,176,Kramer Hickok,59,72.08,865,12
177,178,177,Branden Grace,62,72.09,793,11
178,T179,T178,Tom Hoge,70,72.11,1370,19
179,T179,T178,John Huh,35,72.11,649,9
180,181,180,Sepp Straka,48,72.12,1226,17
181,182,181,Cody Gribble,52,72.17,433,6
182,T183,T182,Brian Harman,67,72.18,1227,17
183,T183,205,Danny Willett,47,72.18,794,11
184,T185,T182,Brice Garnett,63,72.2,722,10
185,T185,T182,Alex Prugh,54,72.2,722,10
186,187,185,Alex Noren,49,72.25,578,8
187,188,186,Tyrrell Hatton,46,72.27,795,11
188,T189,187,Haotong Li,32,72.29,506,7
189,T189,190,Chris Thompson,34,72.29,506,7
190,T191,188,Alex Cejka,41,72.3,723,10
191,T191,T191,Brandon Harkins,67,72.3,723,10
192,193,T191,Ben Crane,41,72.36,796,11
193,194,999,Martin Piller,30,72.38,579,8
194,195,203,Jimmy Walker,61,72.42,869,12
195,196,189,John Senden,39,72.44,652,9
196,197,200,Sangmoon Bae,42,72.5,725,10
197,198,T191,John Chin,38,72.56,653,9
198,199,194,Seth Reeves,52,72.58,871,12
199,200,195,Andrew Landry,56,72.6,726,10
200,201,T196,Keegan Bradley,65,72.63,1162,16
201,202,T196,Matthew Fitzpatrick,42,72.67,654,9
202,203,201,Whee Kim,57,72.73,1091,15
203,204,198,Kyle Jones,49,72.8,728,10
204,205,199,Satoshi Kodaira,51,72.86,510,7
205,206,202,Seamus Power,58,72.87,1093,15
206,207,204,Michael Kim,51,73.1,731,10
207,208,206,D.A. Points,33,73.33,220,3
208,209,207,Freddie Jacobson,37,73.43,514,7
