,First_Tee_Early_Par_3_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_3_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_3_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_3_Scoring_Average_ROUNDS,First_Tee_Early_Par_3_Scoring_Average_AVG,First_Tee_Early_Par_3_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Paul Casey,51,2.83,119,42
1,2,2,Jon Rahm,51,2.88,69,24
2,T3,T18,Stephan Jaeger,59,2.9,119,41
3,T3,T3,Richy Werenski,63,2.9,235,81
4,T5,T3,Cameron Davis,54,2.91,201,69
5,T5,T8,Dustin Johnson,47,2.91,96,33
6,T7,T8,Jonas Blixt,66,2.92,301,103
7,T7,T5,Sergio Garcia,39,2.92,76,26
8,T7,T5,Charley Hoffman,58,2.92,184,63
9,T7,T5,Michael Thompson,56,2.92,181,62
10,T11,T8,Patrick Cantlay,49,2.93,117,40
11,T11,T8,Sung Kang,67,2.93,252,86
12,T11,T8,Denny McCarthy,63,2.93,299,102
13,T14,T14,Ben Crane,41,2.94,156,53
14,T14,T14,Adam Hadwin,66,2.94,288,98
15,T14,T14,James Hahn,34,2.94,94,32
16,T14,T14,Whee Kim,57,2.94,141,48
17,T18,T18,Stewart Cink,33,2.95,118,40
18,T18,T18,Matt Every,38,2.95,59,20
19,T18,T18,Tony Finau,61,2.95,130,44
20,T18,T18,Rickie Fowler,54,2.95,118,40
21,T18,T18,Nick Watney,67,2.95,227,77
22,T18,T18,Tiger Woods,31,2.95,59,20
23,T24,T36,Scott Langley,60,2.96,169,57
24,T24,T26,Nate Lashley,44,2.96,145,49
25,T24,T31,Danny Lee,66,2.96,231,78
26,T24,T26,Peter Malnati,64,2.96,160,54
27,T24,T26,Rory McIlroy,50,2.96,71,24
28,T24,T26,Troy Merritt,42,2.96,145,49
29,30,T31,Hideki Matsuyama,59,2.97,190,64
30,T31,T36,Kiradech Aphibarnrat,49,2.98,131,44
31,T31,T36,Michael Kim,51,2.98,170,57
32,T31,T36,Andrew Putnam,57,2.98,164,55
33,T31,T31,Harold Varner III,62,2.98,244,82
34,T35,T62,Keegan Bradley,65,2.99,278,93
35,T35,T40,Corey Conners,62,2.99,239,80
36,T35,T40,Andrew Landry,56,2.99,239,80
37,T35,T40,Scott Piercy,70,2.99,287,96
38,T35,T31,Chris Stroud,54,2.99,209,70
39,T35,T43,Jimmy Walker,61,2.99,275,92
40,T41,T43,Ryan Blaum,67,3.0,162,54
41,T41,T43,Lucas Glover,62,3.0,156,52
42,T41,T43,Emiliano Grillo,65,3.0,168,56
43,T41,T43,Billy Horschel,73,3.0,183,61
44,T41,T43,Phil Mickelson,41,3.0,87,29
45,T41,T43,Brady Schnell,38,3.0,87,29
46,T41,T43,Ben Silverman,54,3.0,171,57
47,T41,T43,Sepp Straka,48,3.0,126,42
48,T41,T43,Justin Thomas,49,3.0,144,48
49,T41,T87,Cameron Tringale,52,3.0,108,36
50,T51,T68,Scott Brown,66,3.01,223,74
51,T51,T57,Tyrrell Hatton,46,3.01,220,73
52,T51,T57,Beau Hossler,66,3.01,316,105
53,T51,T57,Charles Howell III,64,3.01,208,69
54,T51,T57,Graeme McDowell,61,3.01,307,102
55,T51,T57,Rory Sabbatini,71,3.01,229,76
56,T57,T68,Jonathan Byrd,43,3.02,133,44
57,T57,T62,Jim Furyk,53,3.02,157,52
58,T57,T43,Fabián Gómez,44,3.02,157,52
59,T57,T18,J.B. Holmes,54,3.02,133,44
60,T57,T62,Patton Kizzire,58,3.02,281,93
61,T57,T62,Marc Leishman,52,3.02,154,51
62,T57,T100,Henrik Stenson,46,3.02,124,41
63,T57,T62,Johnson Wagner,45,3.02,145,48
64,T65,T68,Anders Albertson,48,3.03,109,36
65,T65,T117,John Chin,38,3.03,121,40
66,T65,T68,Jason Day,45,3.03,106,35
67,T65,T68,Bryson DeChambeau,45,3.03,97,32
68,T65,T68,Jason Dufner,56,3.03,209,69
69,T65,T26,Tyler Duncan,66,3.03,200,66
70,T65,T68,Chris Kirk,47,3.03,182,60
71,T65,T68,Kevin Kisner,65,3.03,203,67
72,T65,T68,Russell Knox,65,3.03,297,98
73,T65,T68,Jason Kokrak,68,3.03,218,72
74,T65,T68,Kyoung-Hoon Lee,72,3.03,267,88
75,T65,T87,Chase Wright,53,3.03,185,61
76,T77,T43,Sangmoon Bae,42,3.04,152,50
77,T77,T87,Roberto Díaz,51,3.04,216,71
78,T77,T87,Tommy Fleetwood,43,3.04,73,24
79,T77,T68,Brice Garnett,63,3.04,307,101
80,T77,T87,Branden Grace,62,3.04,258,85
81,T77,T68,Kramer Hickok,59,3.04,249,82
82,T77,T87,Martin Laird,60,3.04,161,53
83,T77,T87,Haotong Li,32,3.04,146,48
84,T77,T87,Adam Long,52,3.04,243,80
85,T77,999,Shane Lowry,30,3.04,73,24
86,T77,T87,Curtis Luck,51,3.04,173,57
87,T77,T87,D.A. Points,33,3.04,213,70
88,T77,T87,John Senden,39,3.04,85,28
89,T77,T87,Webb Simpson,53,3.04,155,51
90,T91,T68,Ryan Armour,66,3.05,290,95
91,T91,T100,Aaron Baddeley,51,3.05,223,73
92,T91,T87,Austin Cook,50,3.05,174,57
93,T91,T109,Joey Garber,44,3.05,122,40
94,T91,T62,Jim Herman,37,3.05,174,57
95,T91,T100,Tom Hoge,70,3.05,186,61
96,T91,T68,Sungjae Im,88,3.05,223,73
97,T91,T100,Si Woo Kim,65,3.05,293,96
98,T91,T43,Kelly Kraft,67,3.05,235,77
99,T91,T68,Ryan Palmer,56,3.05,256,84
100,T91,T100,C.T. Pan,64,3.05,223,73
101,T91,T100,Pat Perez,52,3.05,113,37
102,T91,T68,Seth Reeves,52,3.05,134,44
103,T91,T68,Wes Roach,45,3.05,134,44
104,T91,T68,Robert Streb,60,3.05,198,65
105,T91,T100,Brian Stuard,76,3.05,235,77
106,T91,T100,Adam Svensson,51,3.05,116,38
107,T91,T31,Josh Teater,47,3.05,134,44
108,T91,T127,D.J. Trahan,33,3.05,122,40
109,T110,T109,Ernie Els,43,3.06,147,48
110,T110,T109,Ryan Moore,54,3.06,208,68
111,T110,999,Martin Piller,30,3.06,110,36
112,T110,T43,Shawn Stefani,57,3.06,101,33
113,T110,T117,Kevin Tway,62,3.06,257,84
114,T115,T113,Bud Cauley,61,3.07,261,85
115,T115,T113,Hunter Mahan,45,3.07,175,57
116,T115,T113,Xander Schauffele,55,3.07,132,43
117,T115,T109,Ollie Schniederjans,63,3.07,270,88
118,T115,T127,Bubba Watson,47,3.07,129,42
119,T120,T117,Abraham Ancer,69,3.08,234,76
120,T120,T117,Chesson Hadley,58,3.08,219,71
121,T120,T117,John Huh,35,3.08,111,36
122,T120,T117,Matt Kuchar,65,3.08,148,48
123,T120,T117,Kevin Na,54,3.08,234,76
124,T120,T139,José de Jesús Rodríguez,51,3.08,163,53
125,T120,T117,Justin Rose,42,3.08,74,24
126,T120,T117,Kevin Streelman,63,3.08,262,85
127,T128,T127,Bronson Burgoon,37,3.09,136,44
128,T128,T139,Brooks Koepka,49,3.09,102,33
129,T128,T127,Anirban Lahiri,54,3.09,241,78
130,T128,T127,Louis Oosthuizen,43,3.09,139,45
131,T128,T127,Ian Poulter,49,3.09,105,34
132,T128,T127,Chez Reavie,67,3.09,238,77
133,T128,T127,Sam Ryder,52,3.09,198,64
134,T128,T113,Sam Saunders,53,3.09,139,45
135,T128,T100,Adam Schenk,80,3.09,266,86
136,T128,T127,Scott Stallings,63,3.09,250,81
137,T128,T127,Nick Taylor,70,3.09,241,78
138,T128,T127,Jhonattan Vegas,60,3.09,198,64
139,T128,T127,Gary Woodland,63,3.09,170,55
140,T141,T139,Byeong Hun An,54,3.1,186,60
141,T141,T139,Talor Gooch,37,3.1,161,52
142,T141,T139,Justin Harding,31,3.1,124,40
143,T141,T187,Rod Pampling,40,3.1,186,60
144,T141,T139,Seamus Power,58,3.1,161,52
145,T141,T158,Hudson Swafford,59,3.1,251,81
146,T141,T117,Aaron Wise,52,3.1,214,69
147,T148,T139,Dylan Frittelli,55,3.11,165,53
148,T148,T149,Freddie Jacobson,37,3.11,115,37
149,T148,T139,Kyle Jones,49,3.11,137,44
150,T148,T192,Sebastián Muñoz,58,3.11,137,44
151,T148,T149,Carlos Ortiz,60,3.11,261,84
152,T148,T149,Charl Schwartzel,34,3.11,112,36
153,T148,T149,Vaughn Taylor,69,3.11,255,82
154,T148,T149,Danny Willett,47,3.11,218,70
155,T156,T139,Jim Knous,55,3.12,181,58
156,T156,T158,Francesco Molinari,41,3.12,128,41
157,T156,T163,Trey Mullinax,67,3.12,284,91
158,T156,T158,"Ted Potter, Jr.",56,3.12,262,84
159,T156,T158,Adam Scott,41,3.12,78,25
160,T156,T158,Brandt Snedeker,68,3.12,203,65
161,T156,T149,Peter Uihlein,65,3.12,284,91
162,T163,T163,Sam Burns,66,3.13,319,102
163,T163,T139,Brian Gay,79,3.13,250,80
164,T163,T163,Brandon Harkins,67,3.13,300,96
165,T163,T149,Russell Henley,56,3.13,150,48
166,T163,T163,Patrick Rodgers,44,3.13,141,45
167,T163,T149,Roger Sloan,62,3.13,216,69
168,T163,999,Tyrone Van Aswegen,30,3.13,141,45
169,T170,T167,Joel Dahmen,78,3.14,242,77
170,T170,T167,Matthew Fitzpatrick,42,3.14,239,76
171,T170,T167,David Hearn,41,3.14,138,44
172,T170,T149,Martin Trainer,51,3.14,204,65
173,T174,T187,Daniel Berger,48,3.15,227,72
174,T174,T170,Julián Etulain,55,3.15,236,75
175,T174,T170,Bill Haas,58,3.15,208,66
176,T174,T170,Mackenzie Hughes,58,3.15,170,54
177,T174,T170,Matt Jones,67,3.15,195,62
178,T174,T179,Alex Prugh,54,3.15,192,61
179,T174,T170,Cameron Smith,55,3.15,227,72
180,T174,T179,J.J. Spaun,68,3.15,293,93
181,T174,T170,Kyle Stanley,53,3.15,189,60
182,T174,T170,Matt Wallace,31,3.15,126,40
183,T184,T170,Alex Cejka,41,3.16,117,37
184,T184,T179,Harris English,72,3.16,284,90
185,T184,T179,Martin Kaymer,38,3.16,101,32
186,T184,T179,Luke List,52,3.16,215,68
187,T184,T179,J.T. Poston,76,3.16,303,96
188,T184,T179,Jordan Spieth,57,3.16,155,49
189,T190,T197,Cody Gribble,52,3.17,203,64
190,T190,204,Chris Thompson,34,3.17,130,41
