,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
0,1,1,D.J. Trahan,33,26.09,12,46
1,2,2,Aaron Wise,52,24.07,26,108
2,3,3,Tiger Woods,31,22.78,18,79
3,4,4,Marc Leishman,52,22.58,28,124
4,5,5,Cameron Champ,58,22.22,32,144
5,6,6,Justin Thomas,49,21.7,23,106
6,7,7,Bryson DeChambeau,45,21.55,25,116
7,8,T10,Dustin Johnson,47,21.43,21,98
8,9,9,Patrick Cantlay,49,20.83,20,96
9,10,T10,Jon Rahm,51,20.43,19,93
10,11,12,Adam Svensson,51,19.69,25,127
11,12,13,Cameron Davis,54,19.51,24,123
12,13,14,Jason Kokrak,68,18.82,35,186
13,14,15,Patrick Rodgers,44,18.75,24,128
14,15,16,Charles Howell III,64,18.52,25,135
15,16,19,Billy Horschel,73,18.0,27,150
16,17,20,Sam Saunders,53,17.97,23,128
17,18,17,Rory McIlroy,50,17.89,17,95
18,19,27,Ryan Palmer,56,17.86,20,112
19,20,22,Bubba Watson,47,17.59,19,108
20,T21,23,Luke List,52,17.39,24,138
21,T21,18,Peter Malnati,64,17.39,32,184
22,T23,41,Sepp Straka,48,17.31,18,104
23,T23,24,Harold Varner III,62,17.31,27,156
24,25,25,Justin Harding,31,17.07,7,41
25,26,26,Gary Woodland,63,17.02,24,141
26,27,28,Michael Thompson,56,16.84,33,196
27,T28,29,Patrick Reed,53,16.67,20,120
28,T28,21,Kevin Tway,62,16.67,25,150
29,30,30,Justin Rose,42,16.47,14,85
30,31,31,Rickie Fowler,54,16.44,24,146
31,32,34,"Ted Potter, Jr.",56,16.22,24,148
32,33,35,Hideki Matsuyama,59,16.05,26,162
33,34,45,Matt Kuchar,65,16.0,24,150
34,35,37,Ollie Schniederjans,63,15.95,26,163
35,36,40,Hudson Swafford,59,15.92,25,157
36,37,T46,Sebastián Muñoz,58,15.91,21,132
37,38,36,Sungjae Im,88,15.89,34,214
38,39,39,Ian Poulter,49,15.73,14,89
39,40,T32,Graeme McDowell,61,15.71,22,140
40,41,42,Troy Merritt,42,15.6,17,109
41,42,43,Robert Streb,60,15.58,24,154
42,43,64,Matt Every,38,15.49,11,71
43,44,44,Cameron Smith,55,15.45,19,123
44,45,48,Trey Mullinax,67,15.44,23,149
45,46,T46,Charl Schwartzel,34,15.25,9,59
46,47,38,Scott Piercy,70,15.23,23,151
47,48,49,Matt Jones,67,15.13,23,152
48,49,T32,Brooks Koepka,49,15.07,11,73
49,50,51,Kyoung-Hoon Lee,72,15.06,25,166
50,51,52,Matthew Fitzpatrick,42,15.05,14,93
51,52,53,Tommy Fleetwood,43,14.94,13,87
52,53,T80,Danny Lee,66,14.86,26,175
53,54,50,Joey Garber,44,14.81,12,81
54,55,75,Keegan Bradley,65,14.79,21,142
55,56,56,Rory Sabbatini,71,14.71,30,204
56,57,98,José de Jesús Rodríguez,51,14.68,16,109
57,58,68,Scott Stallings,63,14.67,22,150
58,T59,T59,Tony Finau,61,14.62,19,130
59,T59,T59,Chesson Hadley,58,14.62,19,130
60,61,61,Sung Kang,67,14.58,28,192
61,62,62,Jhonattan Vegas,60,14.57,22,151
62,63,54,Talor Gooch,37,14.56,15,103
63,64,63,Haotong Li,32,14.55,8,55
64,65,T70,Jonas Blixt,66,14.51,28,193
65,66,T57,Chase Wright,53,14.4,18,125
66,67,66,Keith Mitchell,64,14.39,19,132
67,T68,67,Si Woo Kim,65,14.29,19,133
68,T68,79,Johnson Wagner,45,14.29,15,105
69,70,69,Michael Kim,51,14.17,17,120
70,71,65,Austin Cook,50,14.16,16,113
71,72,72,Jordan Spieth,57,14.11,23,163
72,73,89,Jimmy Walker,61,14.04,24,171
73,74,76,Sam Burns,66,13.95,24,172
74,T75,T77,Charley Hoffman,58,13.89,15,108
75,T75,T77,J.T. Poston,76,13.89,30,216
76,T77,T57,Jonathan Byrd,43,13.83,13,94
77,T77,T70,Nate Lashley,44,13.83,13,94
78,79,T80,Emiliano Grillo,65,13.77,19,138
79,T80,T82,Aaron Baddeley,51,13.74,18,131
80,T80,T82,Patton Kizzire,58,13.74,18,131
81,82,84,Abraham Ancer,69,13.73,21,153
82,83,85,Max Homa,61,13.71,24,175
83,84,86,Ryan Moore,54,13.66,22,161
84,T85,55,Scott Brown,66,13.64,24,176
85,T85,73,Brandon Harkins,67,13.64,21,154
86,87,87,Adam Long,52,13.55,21,155
87,88,74,Shawn Stefani,57,13.53,18,133
88,89,90,Paul Casey,51,13.39,15,112
89,90,88,Tom Hoge,70,13.29,23,173
90,91,T93,Kevin Streelman,63,13.14,23,175
91,92,95,Tyrrell Hatton,46,13.13,13,99
92,T93,T96,Byeong Hun An,54,13.04,15,115
93,T93,T96,Jason Day,45,13.04,9,69
94,95,91,Russell Henley,56,12.93,19,147
95,96,100,Grayson Murray,36,12.79,11,86
96,97,101,Lucas Glover,62,12.78,23,180
97,98,92,Seth Reeves,52,12.73,14,110
98,99,102,Hunter Mahan,45,12.63,12,95
99,100,103,Peter Uihlein,65,12.6,16,127
100,101,105,Joel Dahmen,78,12.57,24,191
101,102,106,Webb Simpson,53,12.5,18,144
102,103,104,Carlos Ortiz,60,12.34,19,154
103,104,T93,Zach Johnson,50,12.24,18,147
104,105,111,John Senden,39,12.22,11,90
105,106,116,Kramer Hickok,59,12.16,18,148
106,107,109,Bud Cauley,61,12.04,23,191
107,108,107,Adam Schenk,80,12.02,25,208
108,109,T112,Ernie Els,43,12.0,12,100
109,110,T119,Stephan Jaeger,59,11.94,16,134
110,T111,110,Denny McCarthy,63,11.83,20,169
111,T111,118,Adam Scott,41,11.83,11,93
112,113,135,Cameron Tringale,52,11.82,13,110
113,114,T119,Branden Grace,62,11.81,15,127
114,115,126,Whee Kim,57,11.76,14,119
115,116,115,Ryan Armour,66,11.73,21,179
116,117,121,Beau Hossler,66,11.69,18,154
117,118,108,Jim Knous,55,11.67,14,120
118,119,T112,Anders Albertson,48,11.65,12,103
119,120,99,Dominic Bozzelli,53,11.58,11,95
120,121,T146,Danny Willett,47,11.54,15,130
121,122,123,Stewart Cink,33,11.43,8,70
122,123,117,Joaquin Niemann,68,11.38,19,167
123,124,124,Freddie Jacobson,37,11.34,11,97
124,125,127,Louis Oosthuizen,43,11.25,9,80
125,126,128,J.J. Spaun,68,11.18,17,152
126,127,129,Vaughn Taylor,69,11.16,25,224
127,T128,T149,Sergio Garcia,39,11.11,11,99
128,T128,T130,James Hahn,34,11.11,5,45
129,T128,T130,Martin Kaymer,38,11.11,14,126
130,T128,162,Josh Teater,47,11.11,11,99
131,T128,T130,Matt Wallace,31,11.11,8,72
132,133,145,Nick Watney,67,11.04,17,154
133,134,134,Sam Ryder,52,11.03,16,145
134,135,T142,Curtis Luck,51,11.02,13,118
135,136,137,Alex Noren,49,11.01,12,109
136,137,136,Francesco Molinari,41,10.96,8,73
137,138,122,Hank Lebioda,55,10.94,14,128
138,139,138,Kevin Kisner,65,10.87,15,138
139,140,139,Andrew Landry,56,10.81,16,148
140,141,T140,Daniel Berger,48,10.71,15,140
141,142,T146,Kevin Na,54,10.66,13,122
142,T143,153,Sangmoon Bae,42,10.53,8,76
143,T143,T149,Rafa Cabrera Bello,57,10.53,14,133
144,T143,125,John Chin,38,10.53,6,57
145,T143,T140,Wyndham Clark,61,10.53,14,133
146,T143,T149,Pat Perez,52,10.53,12,114
147,148,T142,Chris Stroud,54,10.49,15,143
148,149,152,Bronson Burgoon,37,10.48,11,105
149,150,T112,Wes Roach,45,10.47,9,86
150,151,133,Martin Laird,60,10.43,17,163
151,152,148,Corey Conners,62,10.34,12,116
