,Par_5_Performance_RANK THIS WEEK,Par_5_Performance_RANK LAST WEEK,Par_5_Performance_PLAYER NAME,Par_5_Performance_ROUNDS,Par_5_Performance_STATUS,Par_5_Performance_PAR 5 AVG,Par_5_Performance_TOTAL PAR
122,T122,T114,Kevin Na,54,-58,4.64,810
123,T122,T114,Chase Wright,53,-58,4.64,805
124,T125,T123,Ryan Armour,66,-57,4.74,1080
125,T125,T132,Zach Johnson,50,-57,4.62,750
126,T125,T117,Patrick Rodgers,44,-57,4.61,730
127,T125,T132,Robert Streb,60,-57,4.7,940
128,T125,T132,Cameron Tringale,52,-57,4.66,840
129,T130,T123,Hunter Mahan,45,-56,4.65,800
130,T130,T123,Pat Perez,52,-56,4.67,850
131,T130,T117,Alex Prugh,54,-56,4.67,845
132,T130,T141,Ben Silverman,54,-56,4.68,870
133,T130,T138,Danny Willett,47,-56,4.65,800
134,T135,T127,Jason Dufner,56,-55,4.68,870
135,T135,T123,Nate Lashley,44,-55,4.61,710
136,T135,T132,Johnson Wagner,45,-55,4.62,720
137,138,T148,Brian Harman,67,-54,4.74,1030
138,T139,T148,Daniel Berger,48,-53,4.64,730
139,T139,T141,Alex Noren,49,-53,4.64,740
140,T141,T141,Jim Furyk,53,-52,4.65,750
141,T141,T157,Talor Gooch,37,-52,4.55,580
142,T141,T136,Chesson Hadley,58,-52,4.73,950
143,T141,T136,James Hahn,34,-52,4.57,600
144,T141,T157,José de Jesús Rodríguez,51,-52,4.69,850
145,T146,T138,Aaron Baddeley,51,-51,4.72,910
146,T146,T163,Sangmoon Bae,42,-51,4.61,660
147,T146,T157,Roberto Castro,54,-51,4.69,830
148,T146,T138,Charley Hoffman,58,-51,4.73,940
149,T146,T148,D.J. Trahan,33,-51,4.54,550
150,T151,T141,Tommy Fleetwood,43,-50,4.6,620
151,T151,T148,Fabián Gómez,44,-50,4.67,750
152,T151,T141,Adam Long,52,-50,4.71,860
153,T151,147,Sepp Straka,48,-50,4.69,800
154,T155,T141,Anders Albertson,48,-49,4.68,770
155,T155,T157,Austin Cook,50,-49,4.68,760
156,T155,T148,Russell Henley,56,-49,4.7,820
157,T158,T148,Andrew Landry,56,-48,4.73,890
158,T158,T148,Justin Rose,42,-48,4.64,660
159,T158,T148,Sam Saunders,53,-48,4.73,885
160,T158,T148,John Senden,39,-48,4.65,680
161,162,T157,Cameron Smith,55,-47,4.72,830
162,T163,T165,Whee Kim,57,-46,4.74,885
163,T163,162,Chris Stroud,54,-46,4.73,855
164,T165,T171,Matt Every,38,-45,4.6,560
165,T165,T169,Sergio Garcia,39,-45,4.51,460
166,T165,T163,Charl Schwartzel,34,-45,4.61,575
167,T165,T171,Henrik Stenson,46,-45,4.64,620
168,T169,T165,Matthew Fitzpatrick,42,-44,4.67,660
169,T169,T165,Grayson Murray,36,-44,4.65,635
170,T169,T165,"Ted Potter, Jr.",56,-44,4.76,910
171,T172,T180,John Chin,38,-43,4.68,670
172,T172,T169,Ernie Els,43,-43,4.68,680
173,T172,T177,Curtis Luck,51,-43,4.74,830
174,T172,T171,Brady Schnell,38,-43,4.67,650
175,T176,T171,Patton Kizzire,58,-42,4.77,920
176,T176,T171,Tiger Woods,31,-42,4.54,460
177,T178,T177,Louis Oosthuizen,43,-41,4.68,650
178,T178,T177,Shawn Stefani,57,-41,4.77,890
179,T180,T185,J.B. Holmes,54,-40,4.76,835
180,T180,T180,Satoshi Kodaira,51,-40,4.75,810
181,T180,T180,Josh Teater,47,-40,4.73,740
182,T183,T183,Bronson Burgoon,37,-39,4.68,600
183,T183,193,Jonathan Byrd,43,-39,4.73,710
184,T183,T183,Anirban Lahiri,54,-39,4.76,810
