,Tenth_Tee_Early_Round_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_3_Scoring_Average_AVG,Tenth_Tee_Early_Round_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Bryson DeChambeau,63.0,63,1
1,2,2,Lucas Glover,63.5,127,2
2,3,3,Aaron Wise,64.5,129,2
3,T4,T4,Paul Casey,65.0,65,1
4,T4,T4,Michael Thompson,65.0,65,1
5,6,6,Bud Cauley,65.67,197,3
6,T7,T7,Daniel Berger,66.0,66,1
7,T7,T7,Patrick Cantlay,66.0,66,1
8,T7,T7,Austin Cook,66.0,132,2
9,T7,T7,David Hearn,66.0,66,1
10,T7,T7,Curtis Luck,66.0,66,1
11,T7,T7,Keith Mitchell,66.0,66,1
12,T7,T7,Jhonattan Vegas,66.0,66,1
13,T7,T7,Bubba Watson,66.0,66,1
14,15,15,Brendan Steele,66.33,199,3
15,T16,T16,Matt Every,67.0,134,2
16,T16,T16,Brice Garnett,67.0,134,2
17,T16,T16,Branden Grace,67.0,134,2
18,T16,T16,Emiliano Grillo,67.0,67,1
19,T16,T16,Stephan Jaeger,67.0,67,1
20,T16,999,Shane Lowry,67.0,67,1
21,T16,T16,Andrew Putnam,67.0,134,2
22,T16,T16,Chez Reavie,67.0,201,3
23,T16,T16,Peter Uihlein,67.0,67,1
24,T16,T16,Chase Wright,67.0,67,1
25,26,25,Anders Albertson,67.33,202,3
26,T27,T26,Dominic Bozzelli,67.5,135,2
27,T27,T26,Julián Etulain,67.5,135,2
28,T27,T26,Sam Saunders,67.5,135,2
29,T30,T29,Ryan Armour,68.0,204,3
30,T30,T29,Sangmoon Bae,68.0,68,1
31,T30,T29,Roberto Castro,68.0,204,3
32,T30,T29,Rickie Fowler,68.0,68,1
33,T30,T29,Jim Furyk,68.0,136,2
34,T30,T29,Justin Harding,68.0,136,2
35,T30,T29,Tyrrell Hatton,68.0,68,1
36,T30,T29,Kramer Hickok,68.0,272,4
37,T30,T29,Chris Kirk,68.0,136,2
38,T30,T29,Hideki Matsuyama,68.0,136,2
39,T30,T29,Troy Merritt,68.0,68,1
40,T30,T29,Scott Piercy,68.0,204,3
41,T30,T29,Seth Reeves,68.0,68,1
42,T30,T29,Ollie Schniederjans,68.0,68,1
43,T30,T29,Webb Simpson,68.0,68,1
44,T30,T29,J.J. Spaun,68.0,68,1
45,T30,T29,Shawn Stefani,68.0,136,2
46,T30,T29,Chris Stroud,68.0,68,1
47,T30,T29,D.J. Trahan,68.0,68,1
48,T30,T29,Cameron Tringale,68.0,136,2
49,T30,T29,Tiger Woods,68.0,136,2
50,T51,T50,Tom Hoge,68.5,137,2
51,T51,T50,Jason Kokrak,68.5,274,4
52,T51,T50,Martin Laird,68.5,137,2
53,T51,T50,Adam Schenk,68.5,137,2
54,T55,T54,Danny Lee,68.75,275,4
55,T55,T54,Xander Schauffele,68.75,275,4
56,T57,T56,Jonas Blixt,69.0,138,2
57,T57,T56,Keegan Bradley,69.0,69,1
58,T57,T56,Rafa Cabrera Bello,69.0,207,3
59,T57,T56,Joel Dahmen,69.0,207,3
60,T57,T56,Tony Finau,69.0,69,1
61,T57,T56,Jim Herman,69.0,69,1
