,Early_Round_4_Scoring_Average_RANK THIS WEEK,Early_Round_4_Scoring_Average_RANK LAST WEEK,Early_Round_4_Scoring_Average_PLAYER NAME,Early_Round_4_Scoring_Average_AVG,Early_Round_4_Scoring_Average_TOTAL STROKES,Early_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Kyle Jones,66.0,66,1
1,2,2,Justin Thomas,66.67,400,6
2,3,3,Anders Albertson,67.0,67,1
3,4,4,Jason Day,67.33,202,3
4,5,5,Ryan Armour,67.4,337,5
5,6,T6,Scott Piercy,67.5,405,6
6,7,T8,Ryan Palmer,67.57,473,7
7,8,T8,Lucas Glover,67.67,203,3
8,T9,T6,Talor Gooch,68.0,204,3
9,T9,T21,Stephan Jaeger,68.0,272,4
10,T9,T10,Rory McIlroy,68.0,68,1
11,T9,T10,Troy Merritt,68.0,136,2
12,T9,T10,Adam Scott,68.0,136,2
13,14,15,Brian Harman,68.17,409,6
14,T15,16,Rickie Fowler,68.2,341,5
15,T15,T39,Sebastián Muñoz,68.2,341,5
16,17,T27,Sungjae Im,68.29,478,7
17,18,17,Gary Woodland,68.33,410,6
18,T19,T122,Joey Garber,68.5,137,2
19,T19,18,Charles Howell III,68.5,411,6
20,T19,T10,Rod Pampling,68.5,137,2
21,T22,T19,Byeong Hun An,68.63,549,8
22,T22,T19,Si Woo Kim,68.63,549,8
23,24,T21,Austin Cook,68.67,206,3
24,25,23,Hudson Swafford,68.75,275,4
25,T26,T24,Cameron Davis,68.83,413,6
26,T26,T24,Webb Simpson,68.83,413,6
27,28,26,Bud Cauley,68.88,551,8
28,T29,T27,Kiradech Aphibarnrat,69.0,276,4
29,T29,T27,Bryson DeChambeau,69.0,276,4
30,T29,999,Martin Piller,69.0,138,2
31,T29,T27,Seamus Power,69.0,207,3
32,T29,T27,Kevin Streelman,69.0,345,5
33,T29,T27,Adam Svensson,69.0,207,3
34,T29,999,Tyrone Van Aswegen,69.0,69,1
35,T29,T54,Harold Varner III,69.0,276,4
36,37,33,Sung Kang,69.13,553,8
37,38,34,Matt Jones,69.14,484,7
38,T39,T35,Peter Uihlein,69.17,415,6
39,T39,T35,Aaron Wise,69.17,415,6
40,T41,T37,Sam Burns,69.2,346,5
41,T41,T37,Russell Henley,69.2,346,5
42,43,T39,Jon Rahm,69.25,277,4
43,44,42,Billy Horschel,69.29,485,7
44,T45,T43,Hideki Matsuyama,69.33,416,6
45,T45,T10,D.J. Trahan,69.33,208,3
46,T45,T43,Tiger Woods,69.33,208,3
47,T48,T45,Tyrrell Hatton,69.4,347,5
48,T48,T39,Brooks Koepka,69.4,347,5
49,T48,T45,Keith Mitchell,69.4,347,5
50,T51,T47,Lucas Bjerregaard,69.5,139,2
51,T51,T47,Patrick Cantlay,69.5,139,2
52,T51,T47,Seth Reeves,69.5,139,2
53,T51,T47,Brady Schnell,69.5,139,2
54,T51,T47,Cameron Tringale,69.5,417,6
55,T51,59,Jimmy Walker,69.5,556,8
56,T51,T47,Danny Willett,69.5,278,4
57,58,53,Patrick Rodgers,69.6,348,5
58,T59,T122,Sangmoon Bae,69.67,209,3
59,T59,T54,Max Homa,69.67,627,9
60,T59,T54,Haotong Li,69.67,209,3
61,T59,T54,José de Jesús Rodríguez,69.67,209,3
62,T59,T54,Kyle Stanley,69.67,418,6
63,64,60,Robert Streb,69.75,279,4
64,T65,T61,Ryan Blaum,69.8,349,5
65,T65,T61,Nate Lashley,69.8,349,5
66,T65,T61,Hunter Mahan,69.8,349,5
67,T65,T61,Ryan Moore,69.8,349,5
68,T65,T61,Jhonattan Vegas,69.8,349,5
69,T70,T67,Brice Garnett,69.83,419,6
70,T70,T67,Hank Lebioda,69.83,419,6
71,T72,T67,Dylan Frittelli,69.86,489,7
72,T72,T70,Russell Knox,69.86,489,7
73,T72,T70,Brian Stuard,69.86,489,7
74,T72,T98,Kevin Tway,69.86,489,7
75,T72,T70,Nick Watney,69.86,489,7
76,T77,T93,Dominic Bozzelli,70.0,280,4
77,T77,73,Keegan Bradley,70.0,630,9
78,T77,T74,Paul Casey,70.0,140,2
79,T77,T74,Sergio Garcia,70.0,140,2
80,T77,T61,Brian Gay,70.0,420,6
81,T77,T74,Chris Kirk,70.0,280,4
82,T77,T74,Marc Leishman,70.0,350,5
83,T77,T74,Carlos Ortiz,70.0,420,6
84,T77,T74,Sepp Straka,70.0,70,1
85,T77,T74,Vaughn Taylor,70.0,420,6
86,87,83,Jonas Blixt,70.13,561,8
87,T88,T84,Wyndham Clark,70.17,421,6
88,T88,T84,Richy Werenski,70.17,421,6
89,T90,86,Denny McCarthy,70.2,351,5
90,T90,T74,Alex Noren,70.2,351,5
91,T92,T87,Jonathan Byrd,70.25,281,4
92,T92,T87,Tony Finau,70.25,281,4
93,T92,T87,Jim Furyk,70.25,281,4
94,T92,T87,Xander Schauffele,70.25,281,4
95,96,92,C.T. Pan,70.29,492,7
96,T97,T93,Scott Brown,70.33,422,6
97,T97,T93,Dustin Johnson,70.33,211,3
98,T97,T93,Patrick Reed,70.33,422,6
99,100,97,Kevin Kisner,70.38,563,8
100,101,T87,Bubba Watson,70.4,352,5
101,T102,T98,Jason Dufner,70.5,282,4
102,T102,T98,Ernie Els,70.5,282,4
103,T102,T98,James Hahn,70.5,423,6
104,T102,T98,David Hearn,70.5,141,2
105,T102,T98,Andrew Putnam,70.5,423,6
106,107,104,Patton Kizzire,70.56,635,9
107,T108,T105,Harris English,70.57,494,7
108,T108,T105,Kramer Hickok,70.57,494,7
109,T108,T105,Scott Langley,70.57,494,7
110,T108,T105,Danny Lee,70.57,494,7
111,112,109,Tom Hoge,70.6,353,5
112,T113,T110,Joel Dahmen,70.67,636,9
113,T113,T110,Emiliano Grillo,70.67,424,6
114,T113,T110,Kevin Na,70.67,424,6
115,T113,T110,Chase Wright,70.67,212,3
116,T117,T114,Chez Reavie,70.71,495,7
117,T117,T114,Rory Sabbatini,70.71,495,7
118,T119,T116,Justin Harding,70.75,283,4
119,T119,T116,Trey Mullinax,70.75,566,8
120,121,118,Graeme McDowell,70.78,637,9
121,122,120,Rafa Cabrera Bello,70.83,425,6
122,123,121,Brandt Snedeker,70.86,496,7
123,T124,T122,Charley Hoffman,71.0,213,3
124,T124,T141,Zach Johnson,71.0,568,8
125,T124,T122,Matt Kuchar,71.0,355,5
126,T124,T122,Peter Malnati,71.0,355,5
127,T124,T122,Joaquin Niemann,71.0,497,7
128,T124,T122,Alex Prugh,71.0,355,5
129,T124,T74,Roger Sloan,71.0,213,3
130,T124,T122,Brendan Steele,71.0,355,5
131,T124,T122,Matt Wallace,71.0,284,4
132,T133,T131,Corey Conners,71.2,356,5
133,T133,T131,Fabián Gómez,71.2,356,5
134,T135,T133,Aaron Baddeley,71.25,285,4
135,T135,T133,Anirban Lahiri,71.25,285,4
136,T137,T135,Andrew Landry,71.29,499,7
137,T137,T135,Scott Stallings,71.29,499,7
138,T139,T137,Ben Crane,71.33,214,3
139,T139,140,Jim Knous,71.33,428,6
140,141,139,Julián Etulain,71.38,571,8
141,T142,T141,Jason Kokrak,71.43,500,7
142,T142,T137,Adam Schenk,71.43,500,7
143,T142,T141,Ben Silverman,71.43,500,7
144,145,T174,Martin Laird,71.5,429,6
145,T146,T144,Phil Mickelson,71.6,358,5
146,T146,T144,Michael Thompson,71.6,358,5
147,T148,T146,John Chin,71.67,215,3
148,T148,T146,Chesson Hadley,71.67,215,3
149,T148,119,Kelly Kraft,71.67,430,6
150,T148,T146,Louis Oosthuizen,71.67,215,3
151,T148,T146,Justin Rose,71.67,215,3
152,T148,T146,Sam Saunders,71.67,430,6
153,T154,T151,Roberto Castro,71.71,502,7
154,T154,T151,Adam Hadwin,71.71,502,7
155,T156,T153,Ian Poulter,71.75,287,4
156,T156,T153,Cameron Smith,71.75,574,8
157,T156,T153,Henrik Stenson,71.75,287,4
158,T156,T153,Johnson Wagner,71.75,287,4
159,160,157,Beau Hossler,71.8,718,10
160,161,T180,Daniel Berger,71.83,431,6
161,T162,T172,Tyler Duncan,71.86,503,7
162,T162,158,Nick Taylor,71.86,503,7
163,164,159,Abraham Ancer,71.88,575,8
164,T165,T160,Cameron Champ,72.0,288,4
165,T165,T160,Stewart Cink,72.0,72,1
166,T165,T160,Tommy Fleetwood,72.0,216,3
167,T165,T160,J.J. Henry,72.0,144,2
168,T165,T160,Kyoung-Hoon Lee,72.0,360,5
169,T165,T160,Curtis Luck,72.0,288,4
170,T165,T160,D.A. Points,72.0,144,2
171,T165,T160,Sam Ryder,72.0,576,8
172,T165,T160,Ollie Schniederjans,72.0,288,4
173,T165,T160,Charl Schwartzel,72.0,144,2
174,T165,T160,John Senden,72.0,72,1
175,T165,T160,Chris Stroud,72.0,360,5
176,177,T172,Wes Roach,72.17,433,6
177,178,T174,Roberto Díaz,72.2,361,5
178,179,177,"Ted Potter, Jr.",72.29,506,7
179,T180,T200,Chris Thompson,72.33,217,3
180,T180,T178,Martin Trainer,72.33,217,3
181,182,T180,J.T. Poston,72.4,724,10
182,T183,T182,Michael Kim,72.5,145,2
183,T183,T182,Adam Long,72.5,145,2
184,185,176,Josh Teater,72.6,363,5
185,186,184,Matthew Fitzpatrick,72.63,581,8
186,T187,T185,Alex Cejka,72.67,218,3
187,T187,T185,J.B. Holmes,72.67,218,3
188,T187,T185,Shawn Stefani,72.67,218,3
189,190,188,Mackenzie Hughes,72.75,291,4
190,T191,T189,Bill Haas,72.8,364,5
191,T191,T189,Grayson Murray,72.8,364,5
192,193,191,Jordan Spieth,72.83,437,6
193,194,192,Branden Grace,72.88,583,8
194,T195,T193,Whee Kim,73.0,219,3
195,T195,T193,Luke List,73.0,292,4
196,T195,T193,Pat Perez,73.0,438,6
197,198,196,Brandon Harkins,73.13,585,8
198,199,197,Freddie Jacobson,73.33,220,3
199,T200,T198,Satoshi Kodaira,73.5,441,6
200,T200,T198,Francesco Molinari,73.5,294,4
201,T200,T200,J.J. Spaun,73.5,441,6
202,T203,T200,Bronson Burgoon,74.0,222,3
203,T203,205,Cody Gribble,74.0,370,5
204,205,203,John Huh,74.5,149,2
205,206,204,Martin Kaymer,75.0,150,2
