,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
126,127,124,Billy Horschel,73,237.6,1188,5
127,128,T120,Shawn Stefani,57,238.5,954,4
128,T129,T126,Rory Sabbatini,71,241.2,1206,5
129,T129,T126,Vaughn Taylor,69,241.2,1206,5
130,T131,T128,Jason Dufner,56,243.0,972,4
131,T131,T198,Ben Silverman,54,243.0,972,4
132,133,T130,Ernie Els,43,246.0,738,3
133,134,T120,Stephan Jaeger,59,247.5,990,4
134,135,T132,Ian Poulter,49,252.0,756,3
135,136,125,Graeme McDowell,61,256.5,1026,4
136,137,T130,Johnson Wagner,45,258.0,774,3
137,138,136,Russell Knox,65,261.0,1044,4
138,T139,T165,Wyndham Clark,61,265.5,1062,4
139,T139,T165,Kramer Hickok,59,265.5,1062,4
140,T141,T132,Sergio Garcia,39,270.0,540,2
141,T141,135,Brian Gay,79,270.0,1350,5
142,143,T140,Kevin Streelman,63,274.5,1098,4
143,T144,T137,Anders Albertson,48,276.0,828,3
144,T144,T137,Austin Cook,50,276.0,828,3
145,T144,T132,Sepp Straka,48,276.0,828,3
146,147,139,Kyle Jones,49,282.0,846,3
147,148,T140,Brandon Harkins,67,283.5,1134,4
148,T149,T146,Jason Kokrak,68,288.0,1152,4
149,T149,T146,Brendan Steele,50,288.0,864,3
150,151,T140,Brian Harman,67,292.5,1170,4
151,152,148,Michael Kim,51,294.0,882,3
152,T153,174,Tom Hoge,70,297.0,1188,4
153,T153,149,Beau Hossler,66,297.0,1188,4
154,T155,143,Roberto Castro,54,300.0,900,3
155,T155,T150,Cameron Smith,55,300.0,900,3
156,T157,T152,Aaron Baddeley,51,306.0,918,3
157,T157,T152,Kyoung-Hoon Lee,72,306.0,1224,4
158,T157,T152,Francesco Molinari,41,306.0,612,2
159,T157,188,Chris Thompson,34,306.0,612,2
160,161,T150,Cameron Davis,54,312.0,936,3
161,162,T156,John Huh,35,315.0,630,2
162,T163,T159,Kevin Kisner,65,324.0,972,3
163,T163,T159,Jordan Spieth,57,324.0,972,3
164,T165,162,Bronson Burgoon,37,333.0,666,2
165,T165,T156,Alex Cejka,41,333.0,666,2
166,T165,T156,David Hearn,41,333.0,666,2
167,168,155,Robert Streb,60,336.0,1008,3
168,169,T163,Corey Conners,62,348.0,1044,3
169,170,T165,Denny McCarthy,63,354.0,1062,3
170,171,T163,Harold Varner III,62,360.0,1080,3
171,172,T165,Jimmy Walker,61,366.0,1098,3
172,T173,173,Tyrrell Hatton,46,378.0,756,2
173,T173,T170,Nate Lashley,44,378.0,756,2
174,175,189,Brandt Snedeker,68,390.0,1170,3
175,176,T170,Dustin Johnson,47,396.0,792,2
176,177,172,Josh Teater,47,405.0,810,2
177,178,177,Kiradech Aphibarnrat,49,414.0,828,2
178,179,176,J.B. Holmes,54,423.0,846,2
179,T180,T180,Satoshi Kodaira,51,432.0,864,2
180,T180,T180,Brian Stuard,76,432.0,1296,3
181,T180,175,Cameron Tringale,52,432.0,864,2
182,183,T178,Aaron Wise,52,441.0,882,2
183,184,,Shane Lowry,30,450.0,450,1
184,T185,T178,José de Jesús Rodríguez,51,459.0,918,2
185,T185,183,Chase Wright,53,459.0,918,2
186,187,T180,Ryan Palmer,56,468.0,936,2
187,188,184,Sam Saunders,53,477.0,954,2
188,189,T186,Hideki Matsuyama,59,504.0,1008,2
189,190,185,Kevin Tway,62,522.0,1044,2
190,T191,T186,Peter Malnati,64,540.0,1080,2
191,T191,999,Martin Piller,30,540.0,540,1
192,193,190,D.A. Points,33,594.0,594,1
193,194,,Jim Herman,37,666.0,666,1
194,T195,193,Martin Kaymer,38,684.0,684,1
195,T195,,Rod Pampling,40,684.0,684,1
196,T195,191,Henrik Stenson,46,684.0,684,1
197,198,192,Ben Crane,41,738.0,738,1
198,T199,197,Curtis Luck,51,846.0,846,1
199,T199,194,Danny Willett,47,846.0,846,1
200,T201,T195,Daniel Berger,48,864.0,864,1
201,T201,T195,Jim Furyk,53,864.0,864,1
202,203,T198,Anirban Lahiri,54,900.0,900,1
203,T204,T201,Andrew Landry,56,936.0,936,1
204,T204,T201,Andrew Putnam,57,936.0,936,1
205,206,200,Whee Kim,57,954.0,954,1
206,207,203,"Ted Potter, Jr.",56,972.0,972,1
207,208,204,J.J. Spaun,68,1152.0,1152,1
208,209,205,Ryan Armour,66,1188.0,1188,1
