,Back_9_Round_4_Scoring_Average_RANK THIS WEEK,Back_9_Round_4_Scoring_Average_RANK LAST WEEK,Back_9_Round_4_Scoring_Average_PLAYER NAME,Back_9_Round_4_Scoring_Average_AVG,Back_9_Round_4_Scoring_Average_TOTAL STROKES,Back_9_Round_4_Scoring_Average_TOTAL ROUNDS
150,151,T144,Andrew Landry,35.78,322,9
151,T152,T156,Scott Langley,35.8,358,10
152,T152,T156,Hank Lebioda,35.8,358,10
153,T152,T146,Grayson Murray,35.8,179,5
154,155,T146,Peter Malnati,35.82,394,11
155,T156,T149,Lucas Bjerregaard,35.83,215,6
156,T156,T149,Whee Kim,35.83,215,6
157,T156,T149,Vaughn Taylor,35.83,430,12
158,159,160,Keegan Bradley,35.85,466,13
159,160,T152,Fabián Gómez,35.86,251,7
160,T161,155,Chesson Hadley,35.88,287,8
161,T161,T152,Mackenzie Hughes,35.88,287,8
162,T161,183,Danny Willett,35.88,287,8
163,164,T156,Charley Hoffman,35.89,323,9
164,165,159,Ian Poulter,35.9,359,10
165,166,T171,Harold Varner III,35.91,395,11
166,T167,T162,Jason Dufner,36.0,252,7
167,T167,T162,Bill Haas,36.0,360,10
168,T167,999,Shane Lowry,36.0,144,4
169,T167,T162,Nick Watney,36.0,432,12
170,171,165,Patrick Reed,36.09,397,11
171,T172,T175,Martin Laird,36.1,361,10
172,T172,166,Roger Sloan,36.1,361,10
173,T174,167,Francesco Molinari,36.13,289,8
174,T174,174,Brandt Snedeker,36.13,542,15
175,176,169,Trey Mullinax,36.17,434,12
176,177,170,Brandon Harkins,36.18,398,11
177,178,T171,Pat Perez,36.2,362,10
178,T179,T180,Dominic Bozzelli,36.22,326,9
179,T179,173,Cameron Davis,36.22,326,9
180,181,T199,Chris Thompson,36.25,145,4
181,T182,T175,Matthew Fitzpatrick,36.33,327,9
182,T182,T175,Beau Hossler,36.33,436,12
183,T182,T175,"Ted Potter, Jr.",36.33,327,9
184,T182,T175,Jordan Spieth,36.33,436,12
185,186,T180,Tony Finau,36.38,473,13
186,187,184,Tommy Fleetwood,36.44,328,9
187,T188,T199,Sangmoon Bae,36.5,146,4
188,T188,T185,Austin Cook,36.5,219,6
189,T188,T185,Scott Stallings,36.5,365,10
190,T188,189,Nick Taylor,36.5,511,14
191,192,188,J.T. Poston,36.6,549,15
192,193,190,Martin Kaymer,36.63,293,8
193,194,191,Sergio Garcia,36.67,220,6
194,195,187,Roberto Castro,36.7,367,10
195,196,192,Branden Grace,36.73,404,11
196,T197,T193,Alex Cejka,36.75,147,4
197,T197,T193,John Chin,36.75,147,4
198,T197,T193,Stewart Cink,36.75,147,4
199,T197,T193,Roberto Díaz,36.75,294,8
200,T197,T193,Freddie Jacobson,36.75,147,4
201,T197,T193,Kyoung-Hoon Lee,36.75,441,12
202,203,T199,John Senden,37.0,185,5
203,204,204,Ben Crane,37.33,224,6
204,205,202,Satoshi Kodaira,37.44,337,9
205,206,203,Bronson Burgoon,37.5,150,4
206,207,206,Cody Gribble,37.57,263,7
207,208,205,Michael Kim,37.75,151,4
208,209,207,John Huh,38.75,155,4
