,Tenth_Tee_Early_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_4_Scoring_Average_AVG,Tenth_Tee_Early_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Troy Merritt,42,3.82,210,55
1,T2,T2,Daniel Berger,48,3.84,261,68
2,T2,T2,Paul Casey,51,3.84,334,87
3,T4,5,Rafa Cabrera Bello,57,3.86,486,126
4,T4,T2,Dustin Johnson,47,3.86,367,95
5,6,T7,Justin Thomas,49,3.88,462,119
6,T7,T7,Keegan Bradley,65,3.9,328,84
7,T7,T13,Brooks Koepka,49,3.9,425,109
8,T9,T9,Tyrrell Hatton,46,3.91,211,54
9,T9,T13,Nate Lashley,44,3.91,332,85
10,T9,T9,C.T. Pan,64,3.91,664,170
11,T9,T13,Webb Simpson,53,3.91,508,130
12,T9,6,J.J. Spaun,68,3.91,453,116
13,T9,T9,Jhonattan Vegas,60,3.91,458,117
14,T15,T13,Jonathan Byrd,43,3.92,408,104
15,T15,T13,Cameron Davis,54,3.92,494,126
16,T15,T13,Charles Howell III,64,3.92,459,117
17,T15,T22,Matt Kuchar,65,3.92,592,151
18,T15,T13,Curtis Luck,51,3.92,361,92
19,T15,T9,Scott Piercy,70,3.92,400,102
20,T15,T13,Patrick Reed,53,3.92,533,136
21,T15,T13,Peter Uihlein,65,3.92,451,115
22,T23,T22,Matt Jones,67,3.93,613,156
23,T23,T22,Adam Scott,41,3.93,417,106
24,T23,T22,Kevin Streelman,63,3.93,495,126
25,T26,T22,Bud Cauley,61,3.94,559,142
26,T26,T27,Austin Cook,50,3.94,378,96
27,T26,T27,Ben Crane,41,3.94,370,94
28,T26,T27,Jordan Spieth,57,3.94,516,131
29,T26,T27,Brian Stuard,76,3.94,737,187
30,T31,T31,Matthew Fitzpatrick,42,3.95,249,63
31,T31,T31,Rickie Fowler,54,3.95,601,152
32,T31,T31,Brice Garnett,63,3.95,296,75
33,T31,T31,Billy Horschel,73,3.95,597,151
34,T31,T31,Jason Kokrak,68,3.95,577,146
35,T31,T31,Martin Laird,60,3.95,671,170
36,T31,T49,Denny McCarthy,63,3.95,304,77
37,T31,T31,Andrew Putnam,57,3.95,435,110
38,T31,T31,Chez Reavie,67,3.95,514,130
39,T40,T39,Abraham Ancer,69,3.96,712,180
40,T40,T39,Jonas Blixt,66,3.96,408,103
41,T40,T39,Lucas Glover,62,3.96,491,124
42,T40,T39,Branden Grace,62,3.96,443,112
43,T40,T49,Sungjae Im,88,3.96,971,245
44,T40,T39,Anirban Lahiri,54,3.96,293,74
45,T40,T39,Rory McIlroy,50,3.96,380,96
46,T40,T39,Keith Mitchell,64,3.96,649,164
47,T40,T39,Joaquin Niemann,68,3.96,551,139
48,T40,T39,Xander Schauffele,55,3.96,511,129
