,Tenth_Tee_Early_Par_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_5_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_5_Scoring_Average_AVG,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Daniel Berger,48,4.19,67,16
1,2,2,Zach Johnson,50,4.22,76,18
2,3,3,Rory McIlroy,50,4.27,128,30
3,4,4,Justin Thomas,49,4.29,150,35
4,5,5,Austin Cook,50,4.34,126,29
5,6,6,Keith Mitchell,64,4.35,200,46
6,7,7,Bronson Burgoon,37,4.36,157,36
7,T8,T8,Paul Casey,51,4.38,105,24
8,T8,999,Shane Lowry,30,4.38,57,13
9,T8,T8,Adam Scott,41,4.38,149,34
10,T11,12,Matt Kuchar,65,4.39,193,44
11,T11,T10,Ian Poulter,49,4.39,101,23
12,T11,T10,D.J. Trahan,33,4.39,79,18
13,T14,T13,Charles Howell III,64,4.41,163,37
14,T14,T13,Michael Thompson,56,4.41,181,41
15,T14,T13,Jhonattan Vegas,60,4.41,163,37
16,T14,T13,Danny Willett,47,4.41,97,22
17,T18,T17,Justin Harding,31,4.42,84,19
18,T18,T17,Nick Watney,67,4.42,243,55
19,T20,999,Martin Piller,30,4.43,93,21
20,T20,T20,Jordan Spieth,57,4.43,164,37
21,T20,T20,Gary Woodland,63,4.43,177,40
22,T23,T23,Dominic Bozzelli,53,4.45,129,29
23,T23,T23,Bryson DeChambeau,45,4.45,147,33
24,T23,T20,Adam Schenk,80,4.45,236,53
25,T23,T23,Tiger Woods,31,4.45,138,31
26,T27,T27,Lucas Glover,62,4.47,192,43
27,T27,T27,Hideki Matsuyama,59,4.47,219,49
28,T27,T27,Jon Rahm,51,4.47,143,32
29,T27,T27,Sam Ryder,52,4.47,255,57
30,T31,T31,Rickie Fowler,54,4.48,197,44
31,T31,T17,Denny McCarthy,63,4.48,94,21
32,T31,T31,C.T. Pan,64,4.48,242,54
33,T31,T31,Brendan Steele,50,4.48,206,46
34,T31,T39,Bubba Watson,47,4.48,121,27
35,T36,T34,Cody Gribble,52,4.49,175,39
