,Tenth_Tee_Late_Par_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_5_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_5_Scoring_Average_AVG,Tenth_Tee_Late_Par_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Justin Thomas,49,4.0,12,3
1,2,2,Xander Schauffele,55,4.28,124,29
2,T3,3,Matt Every,38,4.32,82,19
3,T3,T4,Trey Mullinax,67,4.32,216,50
4,T5,T4,Bubba Watson,47,4.33,13,3
5,T5,T4,Tiger Woods,31,4.33,13,3
6,7,7,Luke List,52,4.36,96,22
7,T8,T8,Martin Kaymer,38,4.38,114,26
8,T8,T8,Rory Sabbatini,71,4.38,175,40
9,10,10,James Hahn,34,4.39,136,31
10,11,11,Webb Simpson,53,4.4,22,5
11,12,12,Wyndham Clark,61,4.41,216,49
12,T13,T21,Alex Noren,49,4.43,177,40
13,T13,T15,Louis Oosthuizen,43,4.43,31,7
14,T13,T13,Hudson Swafford,59,4.43,297,67
15,T13,T15,Gary Woodland,63,4.43,124,28
16,T17,T15,Keegan Bradley,65,4.44,142,32
17,T17,T19,Sergio Garcia,39,4.44,40,9
18,T17,T19,Ian Poulter,49,4.44,40,9
19,T17,T55,Wes Roach,45,4.44,80,18
20,T17,T15,Henrik Stenson,46,4.44,40,9
21,22,T21,Matt Jones,67,4.45,169,38
22,T23,T23,Bud Cauley,61,4.46,165,37
23,T23,T23,Dylan Frittelli,55,4.46,165,37
24,T23,T23,Haotong Li,32,4.46,58,13
25,T26,31,Dominic Bozzelli,53,4.47,192,43
26,T26,T26,Matthew Fitzpatrick,42,4.47,76,17
27,T26,T26,Stephan Jaeger,59,4.47,152,34
28,T26,T26,Kyoung-Hoon Lee,72,4.47,228,51
29,30,30,D.J. Trahan,33,4.48,130,29
30,31,T26,Cody Gribble,52,4.49,211,47
31,T32,T32,Rafa Cabrera Bello,57,4.5,135,30
32,T32,T32,Tony Finau,61,4.5,81,18
33,T32,T32,Brandt Snedeker,68,4.5,135,30
34,T32,T32,Vaughn Taylor,69,4.5,162,36
35,T32,T32,Michael Thompson,56,4.5,117,26
36,37,38,John Senden,39,4.51,185,41
37,T38,T39,Cameron Champ,58,4.52,140,31
38,T38,T39,Adam Svensson,51,4.52,122,27
39,T38,T39,Nick Taylor,70,4.52,235,52
40,T41,T42,Kiradech Aphibarnrat,49,4.53,77,17
41,T41,T42,Patrick Cantlay,49,4.53,77,17
42,T41,T42,Harris English,72,4.53,272,60
43,T41,T42,Brandon Harkins,67,4.53,213,47
44,T41,T63,Aaron Wise,52,4.53,86,19
45,T46,T46,Abraham Ancer,69,4.54,127,28
46,T46,T63,J.B. Holmes,54,4.54,109,24
47,T46,T46,Max Homa,61,4.54,127,28
48,T46,T46,Troy Merritt,42,4.54,159,35
49,T46,T32,Seth Reeves,52,4.54,218,48
50,T51,T49,Bill Haas,58,4.55,91,20
51,T51,T49,Adam Hadwin,66,4.55,214,47
52,T51,T49,Jon Rahm,51,4.55,50,11
53,T51,T49,Sam Ryder,52,4.55,141,31
54,T51,T49,Kyle Stanley,53,4.55,173,38
55,T56,T55,Bryson DeChambeau,45,4.56,41,9
56,T56,T55,Sung Kang,67,4.56,219,48
57,T56,T55,Adam Schenk,80,4.56,219,48
58,T59,T49,Roberto Díaz,51,4.57,233,51
59,T59,T63,Tyler Duncan,66,4.57,210,46
60,T59,T59,Branden Grace,62,4.57,160,35
61,T59,T59,Billy Horschel,73,4.57,160,35
62,T59,T59,Ben Silverman,54,4.57,210,46
63,T64,T103,Scott Brown,66,4.58,142,31
64,T64,62,Carlos Ortiz,60,4.58,183,40
65,T64,T63,Kevin Tway,62,4.58,165,36
66,T67,T63,Julián Etulain,55,4.59,133,29
67,T67,T63,Sungjae Im,88,4.59,179,39
68,T67,T63,Andrew Landry,56,4.59,147,32
69,T67,T63,Nate Lashley,44,4.59,170,37
70,T67,T63,Hunter Mahan,45,4.59,156,34
71,T67,T63,Ryan Palmer,56,4.59,124,27
72,T73,79,Ben Crane,41,4.6,115,25
73,T73,T73,Joel Dahmen,78,4.6,184,40
74,T73,T80,Brian Gay,79,4.6,308,67
75,T73,T73,Mackenzie Hughes,58,4.6,138,30
76,T73,T73,Ryan Moore,54,4.6,207,45
77,T73,T73,Sebastián Muñoz,58,4.6,161,35
78,T73,T73,Joaquin Niemann,68,4.6,198,43
79,80,T86,Alex Cejka,41,4.61,83,18
80,T81,T86,Fabián Gómez,44,4.62,120,26
81,T81,T80,Jason Kokrak,68,4.62,208,45
82,T81,T80,Kelly Kraft,67,4.62,231,50
83,T81,T80,Graeme McDowell,61,4.62,134,29
84,T81,T73,Alex Prugh,54,4.62,231,50
85,T81,T80,Charl Schwartzel,34,4.62,120,26
86,T87,T86,Aaron Baddeley,51,4.63,190,41
87,T87,T86,Sam Burns,66,4.63,250,54
88,T87,T80,Kyle Jones,49,4.63,264,57
89,T87,T86,Anirban Lahiri,54,4.63,176,38
90,T87,T86,Andrew Putnam,57,4.63,148,32
91,T87,T86,J.J. Spaun,68,4.63,213,46
92,T87,T86,Jimmy Walker,61,4.63,250,54
93,T94,T101,Jonas Blixt,66,4.64,246,53
94,T94,T94,Tommy Fleetwood,43,4.64,51,11
95,T94,T94,Denny McCarthy,63,4.64,274,59
96,T94,T94,Kevin Na,54,4.64,209,45
97,T94,T94,J.T. Poston,76,4.64,181,39
98,T94,T94,Brady Schnell,38,4.64,116,25
99,T94,T94,Johnson Wagner,45,4.64,167,36
100,T101,T101,Seamus Power,58,4.65,144,31
101,T101,T94,Ollie Schniederjans,63,4.65,265,57
102,T101,T103,Chris Stroud,54,4.65,144,31
103,T104,T103,Chris Kirk,47,4.66,219,47
104,T104,T103,Scott Stallings,63,4.66,219,47
105,T104,T103,Jhonattan Vegas,60,4.66,177,38
106,T107,T108,Sangmoon Bae,42,4.67,154,33
107,T107,T108,Scott Piercy,70,4.67,210,45
108,T109,T111,Si Woo Kim,65,4.68,173,37
109,T109,T111,Danny Lee,66,4.68,159,34
110,T109,999,Martin Piller,30,4.68,117,25
111,T109,T111,Cameron Smith,55,4.68,117,25
112,T109,T127,Cameron Tringale,52,4.68,159,34
113,T109,T122,Danny Willett,47,4.68,206,44
114,T115,T114,Emiliano Grillo,65,4.69,164,35
115,T115,T114,Charles Howell III,64,4.69,150,32
116,T115,T114,Russell Knox,65,4.69,230,49
117,T115,T122,Scott Langley,60,4.69,122,26
118,T115,T114,"Ted Potter, Jr.",56,4.69,169,36
119,T115,T119,Peter Uihlein,65,4.69,272,58
120,T115,T114,Harold Varner III,62,4.69,122,26
121,T122,T119,Lucas Bjerregaard,37,4.7,108,23
122,T122,T119,Pat Perez,52,4.7,94,20
123,T122,T108,Martin Trainer,51,4.7,254,54
124,T125,T122,David Hearn,41,4.71,160,34
125,T125,T122,Peter Malnati,64,4.71,80,17
126,T127,T127,Ernie Els,43,4.72,170,36
127,T127,T141,Jim Herman,37,4.72,236,50
128,T127,T135,Hank Lebioda,55,4.72,170,36
129,T127,T127,Marc Leishman,52,4.72,118,25
130,T127,T127,C.T. Pan,64,4.72,184,39
131,T127,T127,Josh Teater,47,4.72,137,29
132,T127,T122,Chase Wright,53,4.72,203,43
133,T134,T132,Beau Hossler,66,4.73,227,48
134,T134,T132,Dustin Johnson,47,4.73,52,11
135,T134,T132,D.A. Points,33,4.73,175,37
136,T134,T156,Robert Streb,60,4.73,194,41
137,T138,T135,Chesson Hadley,58,4.74,180,38
138,T138,T135,Patton Kizzire,58,4.74,128,27
139,T138,T135,Chez Reavie,67,4.74,199,42
140,T138,T135,Brendan Steele,50,4.74,161,34
141,T138,T135,Kevin Streelman,63,4.74,161,34
142,T138,999,Tyrone Van Aswegen,30,4.74,128,27
143,T138,T156,Richy Werenski,63,4.74,294,62
144,T145,T141,Ryan Blaum,67,4.75,190,40
145,T145,T141,Paul Casey,51,4.75,76,16
146,T145,T181,John Chin,38,4.75,114,24
147,T145,T141,Jim Furyk,53,4.75,95,20
148,T145,T141,Lucas Glover,62,4.75,114,24
149,T145,T141,Justin Harding,31,4.75,57,12
150,T145,T141,Satoshi Kodaira,51,4.75,190,40
151,T145,T141,Francesco Molinari,41,4.75,76,16
152,T145,T141,Patrick Rodgers,44,4.75,76,16
153,T145,T141,Justin Rose,42,4.75,38,8
154,T145,T141,Matt Wallace,31,4.75,57,12
155,T156,T152,Anders Albertson,48,4.76,176,37
156,T156,T170,Brian Harman,67,4.76,243,51
157,T156,T156,Kramer Hickok,59,4.76,233,49
158,T156,T152,Charley Hoffman,58,4.76,181,38
159,T156,T152,Whee Kim,57,4.76,157,33
160,T156,T156,Rod Pampling,40,4.76,233,49
161,T156,T175,Nick Watney,67,4.76,157,33
162,T163,T152,Austin Cook,50,4.77,167,35
163,T163,T156,Keith Mitchell,64,4.77,143,30
164,T163,T166,Sam Saunders,53,4.77,143,30
165,T163,T156,Jordan Spieth,57,4.77,62,13
166,T167,T156,Ryan Armour,66,4.78,320,67
167,T167,T166,Roberto Castro,54,4.78,215,45
168,T167,T166,Cameron Davis,54,4.78,258,54
169,T167,T164,Jason Dufner,56,4.78,196,41
170,T171,T166,Tyrrell Hatton,46,4.79,139,29
171,T171,T170,José de Jesús Rodríguez,51,4.79,206,43
172,T173,T187,Daniel Berger,48,4.8,168,35
173,T173,T156,Jonathan Byrd,43,4.8,72,15
174,T173,T170,Freddie Jacobson,37,4.8,120,25
175,T173,T170,Grayson Murray,36,4.8,168,35
176,T173,T181,Shawn Stefani,57,4.8,144,30
177,T178,T175,Byeong Hun An,54,4.81,101,21
178,T178,T164,Brice Garnett,63,4.81,274,57
179,T178,T170,Curtis Luck,51,4.81,231,48
180,T178,T175,Brian Stuard,76,4.81,279,58
