,Round_1_Scoring_Average_RANK THIS WEEK,Round_1_Scoring_Average_RANK LAST WEEK,Round_1_Scoring_Average_PLAYER NAME,Round_1_Scoring_Average_AVG,Round_1_Scoring_Average_TOTAL STROKES,Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Matt Kuchar,68.07,1021,15
1,2,2,Justin Thomas,68.5,822,12
2,3,3,Dustin Johnson,68.91,758,11
3,4,4,Phil Mickelson,69.0,828,12
4,5,5,Jordan Spieth,69.2,1038,15
5,T6,13,Keegan Bradley,69.25,1108,16
6,T6,6,Jon Rahm,69.25,831,12
7,T8,T8,Tommy Fleetwood,69.33,624,9
8,T8,T8,Rory Sabbatini,69.33,1248,18
9,10,10,Chez Reavie,69.35,1179,17
10,11,7,Nate Lashley,69.42,833,12
11,12,T20,Graeme McDowell,69.53,1043,15
12,T13,11,Matt Jones,69.56,1252,18
13,T13,T23,D.J. Trahan,69.56,626,9
14,15,12,Billy Horschel,69.65,1184,17
15,16,14,Roberto Díaz,69.67,1045,15
16,17,T15,Trey Mullinax,69.68,1324,19
17,18,T15,Abraham Ancer,69.72,1255,18
18,19,T15,Bud Cauley,69.79,1326,19
19,20,29,Sepp Straka,69.8,1047,15
20,21,19,Ryan Moore,69.81,1117,16
21,22,T20,Rickie Fowler,69.86,978,14
22,T23,50,Roberto Castro,69.87,1048,15
23,T23,22,Tony Finau,69.87,1048,15
24,T23,T30,Ryan Palmer,69.87,1048,15
25,T26,T23,Russell Knox,69.88,1118,16
26,T26,T23,Jhonattan Vegas,69.88,1188,17
27,28,26,Si Woo Kim,69.89,1258,18
28,29,T27,Vaughn Taylor,69.9,1398,20
29,30,T27,Brooks Koepka,69.91,769,11
30,T31,T43,Rory McIlroy,69.92,839,12
31,T31,T36,Wes Roach,69.92,909,13
32,T31,T48,Webb Simpson,69.92,909,13
33,T34,T41,Jonas Blixt,70.0,1330,19
34,T34,T30,Joel Dahmen,70.0,1470,21
35,T34,T30,Troy Merritt,70.0,770,11
36,T34,T30,Pat Perez,70.0,1050,15
37,38,T41,Scott Stallings,70.05,1331,19
38,T39,T34,Emiliano Grillo,70.06,1121,16
39,T39,T34,C.T. Pan,70.06,1261,18
40,41,40,Jim Furyk,70.07,981,14
41,T42,T36,Patrick Cantlay,70.08,841,12
42,T42,T36,Patrick Reed,70.08,911,13
43,44,39,Jason Day,70.09,771,11
44,45,60,Nick Taylor,70.11,1332,19
45,46,54,Hank Lebioda,70.13,1052,15
46,47,T43,Ian Poulter,70.18,772,11
47,48,T45,J.T. Poston,70.19,1474,21
48,T49,T55,Scott Langley,70.21,1334,19
49,T49,T68,Danny Lee,70.21,1334,19
50,51,T48,Gary Woodland,70.25,1124,16
51,52,T61,Adam Schenk,70.26,1616,23
52,53,T63,Kevin Tway,70.28,1265,18
53,54,83,Russell Henley,70.29,1195,17
54,55,51,James Hahn,70.3,703,10
55,56,T86,David Hearn,70.31,914,13
56,57,52,Sung Kang,70.32,1336,19
57,T58,53,Charles Howell III,70.33,1266,18
58,T58,T77,Mackenzie Hughes,70.33,1266,18
59,T58,47,Scott Piercy,70.33,1266,18
60,61,T45,Seth Reeves,70.35,1196,17
61,62,T55,Nick Watney,70.37,1337,19
62,T63,T63,Dominic Bozzelli,70.38,1126,16
63,T63,71,Josh Teater,70.38,1126,16
64,T65,84,Dylan Frittelli,70.4,1056,15
65,T65,T57,Kevin Kisner,70.4,1056,15
66,67,T72,Hudson Swafford,70.42,1338,19
67,68,59,Tiger Woods,70.43,493,7
68,69,T63,Wyndham Clark,70.44,1268,18
69,T70,T61,Adam Scott,70.45,775,11
70,T70,T57,Bubba Watson,70.45,775,11
71,T72,T63,Luke List,70.47,1057,15
72,T72,T86,J.J. Spaun,70.47,1339,19
73,T74,T68,Ryan Blaum,70.5,1410,20
74,T74,T68,Tyrrell Hatton,70.5,846,12
75,76,T97,Sungjae Im,70.52,1763,25
76,T77,T94,Joaquin Niemann,70.53,1340,19
77,T77,T86,Harold Varner III,70.53,1340,19
78,79,T72,Lucas Glover,70.56,1129,16
79,T80,T75,Hideki Matsuyama,70.57,988,14
80,T80,T75,Kevin Na,70.57,988,14
81,82,T91,Martin Laird,70.59,1200,17
82,T83,T77,Stephan Jaeger,70.61,1271,18
83,T83,T106,Peter Malnati,70.61,1271,18
84,T83,81,Keith Mitchell,70.61,1271,18
85,86,82,Marc Leishman,70.62,918,13
86,87,105,Cameron Tringale,70.64,989,14
87,88,85,Michael Thompson,70.65,1201,17
88,T89,T86,Aaron Baddeley,70.67,1060,15
89,T89,T86,Bryson DeChambeau,70.67,848,12
90,T89,T77,Chris Stroud,70.67,1272,18
91,T92,T72,Kramer Hickok,70.68,1343,19
92,T92,T94,Denny McCarthy,70.68,1343,19
93,94,T91,Anirban Lahiri,70.69,1131,16
94,95,T113,Harris English,70.7,1414,20
95,96,T77,Chase Wright,70.72,1273,18
96,97,93,Zach Johnson,70.73,1061,15
97,T98,132,Talor Gooch,70.75,849,12
98,T98,999,Shane Lowry,70.75,566,8
99,T100,125,Sebastián Muñoz,70.76,1203,17
100,T100,T102,Alex Prugh,70.76,1203,17
101,102,96,John Huh,70.77,920,13
102,T103,T122,Daniel Berger,70.79,991,14
103,T103,T97,Bronson Burgoon,70.79,991,14
104,T103,T97,Xander Schauffele,70.79,991,14
105,106,T100,Sam Ryder,70.8,1062,15
106,T107,T63,Julián Etulain,70.81,1133,16
107,T107,T100,Curtis Luck,70.81,1133,16
108,T107,T102,Brian Stuard,70.81,1487,21
109,110,T106,Sam Saunders,70.83,1275,18
110,T111,T115,Ben Crane,70.85,921,13
111,T111,104,Johnson Wagner,70.85,921,13
112,113,T118,Bill Haas,70.88,1205,17
113,114,T106,Sergio Garcia,70.89,638,9
114,115,110,Justin Rose,70.9,709,10
115,116,111,Andrew Putnam,70.93,1064,15
116,117,112,Max Homa,70.94,1277,18
117,T118,134,Joey Garber,71.0,994,14
118,T118,T115,Fabián Gómez,71.0,994,14
119,T118,T135,José de Jesús Rodríguez,71.0,1207,17
120,T118,T115,Richy Werenski,71.0,1349,19
121,122,T113,Tom Hoge,71.04,1634,23
122,T123,T118,Branden Grace,71.06,1137,16
123,T123,T118,Patton Kizzire,71.06,1208,17
124,T123,T106,Shawn Stefani,71.06,1279,18
125,T123,152,Jimmy Walker,71.06,1208,17
126,127,T122,Ernie Els,71.08,924,13
127,128,T129,Ryan Armour,71.1,1493,21
128,T129,131,Corey Conners,71.11,1351,19
129,T129,124,Kevin Streelman,71.11,1351,19
130,T131,T154,Adam Hadwin,71.12,1209,17
131,T131,T135,Adam Svensson,71.12,1209,17
132,133,121,Austin Cook,71.13,1138,16
133,T134,T126,Byeong Hun An,71.14,996,14
134,T134,T126,Patrick Rodgers,71.14,996,14
135,T134,T126,Cameron Smith,71.14,996,14
136,137,T159,Jonathan Byrd,71.17,854,12
137,138,140,Brandt Snedeker,71.18,1210,17
138,T139,T129,Brian Gay,71.19,1495,21
139,T139,133,Jason Kokrak,71.19,1139,16
140,141,143,Brian Harman,71.24,1496,21
141,142,137,Jim Herman,71.25,1140,16
142,143,T163,Matt Every,71.27,784,11
143,144,138,Rafa Cabrera Bello,71.29,998,14
144,T145,T166,Scott Brown,71.3,1426,20
145,T145,139,Beau Hossler,71.3,1426,20
146,T145,999,Martin Piller,71.3,713,10
147,148,T157,Jim Knous,71.31,1141,16
148,T149,150,Ollie Schniederjans,71.33,1498,21
149,T149,142,John Senden,71.33,856,12
150,T151,141,Carlos Ortiz,71.35,1427,20
151,T151,T145,Ben Silverman,71.35,1213,17
152,T153,153,John Chin,71.36,999,14
153,T153,T145,Brady Schnell,71.36,999,14
154,155,144,Adam Long,71.37,1356,19
155,T156,T145,Sam Burns,71.38,1499,21
156,T156,T154,Tyler Duncan,71.38,1499,21
157,T156,T145,Grayson Murray,71.38,928,13
158,T156,T163,Peter Uihlein,71.38,1499,21
159,160,149,Jason Dufner,71.39,1285,18
160,161,151,Kyoung-Hoon Lee,71.43,1500,21
161,162,T166,Roger Sloan,71.45,1429,20
162,163,T170,Sangmoon Bae,71.47,1072,15
163,164,T154,Haotong Li,71.5,572,8
164,T165,T166,Brandon Harkins,71.55,1431,20
165,T165,T159,Martin Kaymer,71.55,787,11
166,167,T157,J.B. Holmes,71.56,1145,16
167,T168,162,Paul Casey,71.57,1002,14
168,T168,173,Alex Cejka,71.57,1002,14
169,170,T163,Matthew Fitzpatrick,71.6,716,10
170,171,T166,Matt Wallace,71.63,573,8
171,T172,161,Cameron Davis,71.65,1218,17
172,T172,178,Cody Gribble,71.65,1218,17
173,T172,181,Robert Streb,71.65,1433,20
174,175,172,Cameron Champ,71.67,1290,18
175,176,T175,Seamus Power,71.7,1434,20
176,177,174,Brendan Steele,71.75,1148,16
177,178,T175,Chesson Hadley,71.79,1364,19
178,T179,177,Louis Oosthuizen,71.8,718,10
179,T179,T170,Aaron Wise,71.8,1077,15
180,181,179,Charley Hoffman,71.82,1221,17
181,182,180,Kiradech Aphibarnrat,71.86,1006,14
182,183,T198,Henrik Stenson,71.9,719,10
183,184,192,Danny Willett,71.93,1079,15
184,185,182,Andrew Landry,71.94,1223,17
185,T186,T183,Justin Harding,72.0,504,7
186,T186,189,J.J. Henry,72.0,1008,14
187,T186,T183,Francesco Molinari,72.0,648,9
188,T186,T194,Alex Noren,72.0,936,13
189,T186,T183,Kyle Stanley,72.0,1152,16
190,191,190,Kelly Kraft,72.05,1585,22
191,192,186,Hunter Mahan,72.07,1081,15
192,193,187,Stewart Cink,72.08,865,12
193,194,999,Tyrone Van Aswegen,72.18,794,11
194,195,188,Michael Kim,72.2,1444,20
195,196,200,Rod Pampling,72.33,1085,15
196,197,191,Anders Albertson,72.35,1230,17
197,T198,193,Lucas Bjerregaard,72.44,652,9
198,T198,204,Kyle Jones,72.44,1304,18
199,200,196,D.A. Points,72.46,942,13
200,201,T194,Brice Garnett,72.5,1450,20
201,202,T198,Martin Trainer,72.53,1378,19
202,203,197,Freddie Jacobson,72.54,943,13
203,204,203,Whee Kim,72.55,1451,20
204,205,201,Chris Kirk,72.63,1162,16
