,Late_Par_5_Scoring_Average_RANK THIS WEEK,Late_Par_5_Scoring_Average_RANK LAST WEEK,Late_Par_5_Scoring_Average_PLAYER NAME,Late_Par_5_Scoring_Average_ROUNDS,Late_Par_5_Scoring_Average_AVG,Late_Par_5_Scoring_Average_TOTAL STROKES,Late_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Brooks Koepka,49,4.4,317,72
1,2,3,Gary Woodland,63,4.41,490,111
2,T3,T4,Wyndham Clark,61,4.42,438,99
3,T3,T4,Justin Thomas,49,4.42,323,73
4,T5,T6,Sergio Garcia,39,4.44,222,50
5,T5,T6,Adam Scott,41,4.44,351,79
6,7,8,Charl Schwartzel,34,4.45,258,58
7,T8,T9,Cameron Champ,58,4.46,419,94
8,T8,T9,James Hahn,34,4.46,205,46
9,T8,T12,Dustin Johnson,47,4.46,406,91
10,T8,T14,Bubba Watson,47,4.46,299,67
11,T12,T14,Adam Hadwin,66,4.47,393,88
12,T12,T12,Martin Kaymer,38,4.47,326,73
13,T12,T9,Hudson Swafford,59,4.47,429,96
14,T15,T14,Patrick Cantlay,49,4.48,403,90
15,T15,T14,Luke List,52,4.48,336,75
16,T17,T18,Bryson DeChambeau,45,4.49,341,76
17,T17,T22,Trey Mullinax,67,4.49,409,91
18,T17,T18,Rory Sabbatini,71,4.49,498,111
19,T17,T18,Xander Schauffele,55,4.49,453,101
20,T21,T22,Matt Every,38,4.5,315,70
21,T21,21,Matt Jones,67,4.5,500,111
22,T23,T26,Matt Kuchar,65,4.51,424,94
23,T23,T22,Troy Merritt,42,4.51,307,68
24,T25,T26,Lucas Bjerregaard,37,4.52,271,60
25,T25,T53,Wes Roach,45,4.52,253,56
26,T27,T28,Tony Finau,61,4.53,471,104
27,T27,T22,Bill Haas,58,4.53,335,74
28,T27,T28,Si Woo Kim,65,4.53,435,96
29,T30,T37,Bud Cauley,61,4.54,409,90
30,T30,T30,Sung Kang,67,4.54,445,98
31,T30,T39,Webb Simpson,53,4.54,345,76
32,T30,T30,Chris Stroud,54,4.54,327,72
33,T30,T30,Kevin Tway,62,4.54,422,93
34,T35,T30,Dylan Frittelli,55,4.55,396,87
35,T35,T30,Stephan Jaeger,59,4.55,405,89
36,T35,T37,Ian Poulter,49,4.55,391,86
37,T38,T39,Sam Burns,66,4.56,456,100
38,T38,T68,Talor Gooch,37,4.56,260,57
39,T38,T39,Marc Leishman,52,4.56,397,87
40,T38,T39,Haotong Li,32,4.56,178,39
41,T38,T39,Hunter Mahan,45,4.56,301,66
42,T38,T39,Ryan Moore,54,4.56,410,90
43,T38,T39,Ryan Palmer,56,4.56,278,61
44,T38,T39,Jon Rahm,51,4.56,465,102
45,T38,T39,Patrick Rodgers,44,4.56,283,62
46,T47,T61,Dominic Bozzelli,53,4.57,384,84
47,T47,T49,Paul Casey,51,4.57,448,98
48,T47,T53,Sungjae Im,88,4.57,663,145
49,T47,T61,Scott Langley,60,4.57,393,86
50,T47,T68,Rory McIlroy,50,4.57,480,105
51,T47,T53,Sebastián Muñoz,58,4.57,430,94
52,T47,T39,Carlos Ortiz,60,4.57,402,88
53,T47,T30,Seth Reeves,52,4.57,420,92
54,T47,T49,Sam Ryder,52,4.57,320,70
55,T47,T61,Nick Taylor,70,4.57,443,97
56,T47,T49,Tiger Woods,31,4.57,192,42
57,T58,T53,Harris English,72,4.58,453,99
58,T58,T49,Cody Gribble,52,4.58,316,69
59,T58,T53,Max Homa,61,4.58,334,73
60,T58,T53,Hideki Matsuyama,59,4.58,385,84
61,T58,T68,Alex Noren,49,4.58,307,67
62,T58,T53,Chez Reavie,67,4.58,426,93
63,T58,T53,John Senden,39,4.58,334,73
64,T58,T30,Brandt Snedeker,68,4.58,476,104
65,T66,T61,Branden Grace,62,4.59,349,76
66,T66,T61,Emiliano Grillo,65,4.59,509,111
67,T66,T86,Hank Lebioda,55,4.59,340,74
68,T66,T61,Denny McCarthy,63,4.59,404,88
69,T66,T68,Scott Stallings,63,4.59,399,87
70,T66,T61,D.J. Trahan,33,4.59,266,58
71,T72,T68,Abraham Ancer,69,4.6,409,89
72,T72,T68,Brandon Harkins,67,4.6,377,82
73,T72,T76,J.J. Spaun,68,4.6,469,102
74,T72,T68,Matt Wallace,31,4.6,184,40
75,T72,T80,Nick Watney,67,4.6,428,93
76,T77,T76,Chris Kirk,47,4.61,323,70
77,T77,T76,Kyoung-Hoon Lee,72,4.61,526,114
78,T77,T68,Ben Silverman,54,4.61,387,84
79,T80,T80,Kiradech Aphibarnrat,49,4.62,379,82
80,T80,T86,Keegan Bradley,65,4.62,402,87
81,T80,T80,Rafa Cabrera Bello,57,4.62,434,94
