,First_Tee_Early_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_4_Scoring_Average_ROUNDS,First_Tee_Early_Par_4_Scoring_Average_AVG,First_Tee_Early_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_4_Scoring_Average_TOTAL HOLES
0,T1,T1,Jason Day,45,3.89,366,94
1,T1,T1,Jim Furyk,53,3.89,548,141
2,T3,T3,Patrick Cantlay,49,3.9,417,107
3,T3,T3,Ryan Palmer,56,3.9,878,225
4,T5,T5,Stewart Cink,33,3.91,418,107
5,T5,T5,Lucas Glover,62,3.91,535,137
6,T5,T9,Sungjae Im,88,3.91,766,196
7,T5,T5,Gary Woodland,63,3.91,583,149
8,9,8,Jon Rahm,51,3.92,243,62
9,T10,T9,Aaron Baddeley,51,3.93,739,188
10,T10,T9,Rickie Fowler,54,3.93,409,104
11,T12,T17,Scott Brown,66,3.94,776,197
12,T12,T14,Keith Mitchell,64,3.94,560,142
13,T12,T14,Justin Thomas,49,3.94,504,128
14,T15,T9,Dominic Bozzelli,53,3.95,691,175
15,T15,T17,David Hearn,41,3.95,454,115
16,T15,T17,Charles Howell III,64,3.95,759,192
17,T15,999,Martin Piller,30,3.95,375,95
18,T15,T17,Webb Simpson,53,3.95,577,146
19,T15,T14,Cameron Tringale,52,3.95,375,95
20,T15,T17,Johnson Wagner,45,3.95,498,126
21,T22,23,Matt Every,38,3.96,210,53
22,T22,T9,Russell Henley,56,3.96,530,134
23,T22,T17,Alex Prugh,54,3.96,629,159
24,T25,T24,Kiradech Aphibarnrat,49,3.97,464,117
25,T25,T35,Ryan Armour,66,3.97,965,243
26,T25,T63,Jonathan Byrd,43,3.97,472,119
27,T25,T24,Wyndham Clark,61,3.97,663,167
28,T25,T24,Ernie Els,43,3.97,500,126
29,T25,T24,Harris English,72,3.97,941,237
30,T25,T24,Tony Finau,61,3.97,468,118
31,T25,T24,Si Woo Kim,65,3.97,993,250
32,T25,T24,Luke List,52,3.97,719,181
33,T25,T24,Patrick Reed,53,3.97,461,116
34,T25,T24,Rory Sabbatini,71,3.97,806,203
35,T25,T24,Xander Schauffele,55,3.97,456,115
36,T37,T38,Daniel Berger,48,3.98,772,194
37,T37,T38,Keegan Bradley,65,3.98,1032,259
38,T37,T38,J.B. Holmes,54,3.98,466,117
39,T37,T35,Matt Jones,67,3.98,633,159
40,T37,T38,Joaquin Niemann,68,3.98,1028,258
41,T37,T24,Harold Varner III,62,3.98,855,215
42,T43,T38,Ryan Blaum,67,3.99,538,135
43,T43,T38,Bud Cauley,61,3.99,889,223
44,T43,T55,Talor Gooch,37,3.99,559,140
45,T43,T38,Chesson Hadley,58,3.99,699,175
46,T43,T38,James Hahn,34,3.99,331,83
47,T43,T38,Tyrrell Hatton,46,3.99,738,185
48,T43,T38,Andrew Landry,56,3.99,826,207
49,T43,T38,Scott Langley,60,3.99,614,154
50,T43,T38,Hunter Mahan,45,3.99,579,145
51,T43,T38,Phil Mickelson,41,3.99,287,72
52,T43,T38,Scott Piercy,70,3.99,1069,268
53,T43,T38,Chez Reavie,67,3.99,791,198
54,T55,T55,Ben Crane,41,4.0,564,141
55,T55,T55,John Huh,35,4.0,384,96
56,T55,T38,Dustin Johnson,47,4.0,336,84
57,T55,T55,Russell Knox,65,4.0,1032,258
58,T55,999,Shane Lowry,30,4.0,260,65
59,T55,T63,Adam Schenk,80,4.0,876,219
60,T55,T55,Adam Scott,41,4.0,240,60
61,T55,T63,Roger Sloan,62,4.0,740,185
62,T55,T55,Kevin Streelman,63,4.0,892,223
63,T55,T55,Brian Stuard,76,4.0,824,206
64,T55,T82,Danny Willett,47,4.0,704,176
65,T55,T55,Tiger Woods,31,4.0,204,51
66,T67,T82,Jonas Blixt,66,4.01,1070,267
67,T67,T99,Austin Cook,50,4.01,594,148
68,T67,T82,Dylan Frittelli,55,4.01,561,140
69,T67,T99,Tom Hoge,70,4.01,638,159
70,T67,T63,Mackenzie Hughes,58,4.01,550,137
71,T67,T63,Kyoung-Hoon Lee,72,4.01,950,237
72,T67,T63,Brady Schnell,38,4.01,293,73
73,T67,T63,John Senden,39,4.01,289,72
74,T67,T63,Brandt Snedeker,68,4.01,730,182
75,T67,T63,Scott Stallings,63,4.01,819,204
76,T67,T63,Sepp Straka,48,4.01,397,99
77,T67,T63,Nick Taylor,70,4.01,786,196
78,T67,T63,Michael Thompson,56,4.01,630,157
79,T67,T38,D.J. Trahan,33,4.01,425,106
80,T81,T82,Byeong Hun An,54,4.02,663,165
81,T81,T82,Rafa Cabrera Bello,57,4.02,659,164
82,T81,T63,Tyler Duncan,66,4.02,683,170
83,T81,T82,Sergio Garcia,39,4.02,241,60
84,T81,T63,Kramer Hickok,59,4.02,857,213
85,T81,T82,Whee Kim,57,4.02,507,126
86,T81,T63,Brooks Koepka,49,4.02,386,96
87,T81,T82,Matt Kuchar,65,4.02,563,140
88,T81,T82,Nate Lashley,44,4.02,503,125
89,T81,T82,Hideki Matsuyama,59,4.02,680,169
90,T81,T82,Denny McCarthy,63,4.02,1058,263
91,T81,T82,Troy Merritt,42,4.02,571,142
92,T81,T82,Carlos Ortiz,60,4.02,905,225
93,T81,T82,Ollie Schniederjans,63,4.02,937,233
94,T81,T63,Shawn Stefani,57,4.02,354,88
95,T81,T82,Robert Streb,60,4.02,675,168
96,T81,T63,Aaron Wise,52,4.02,776,193
97,T98,T99,Lucas Bjerregaard,37,4.03,262,65
98,T98,T99,Joel Dahmen,78,4.03,822,204
99,T98,T165,Joey Garber,44,4.03,451,112
100,T98,T99,Brice Garnett,63,4.03,1111,276
101,T98,T63,Brian Gay,79,4.03,903,224
102,T98,T121,Zach Johnson,50,4.03,955,237
103,T98,T99,Patton Kizzire,58,4.03,991,246
104,T98,T82,Jim Knous,55,4.03,596,148
105,T98,T99,Jason Kokrak,68,4.03,774,192
106,T98,T99,Graeme McDowell,61,4.03,1073,266
107,T98,T137,Sebastián Muñoz,58,4.03,488,121
108,T98,T99,Kevin Na,54,4.03,823,204
109,T98,T99,Louis Oosthuizen,43,4.03,443,110
110,T98,T99,Seamus Power,58,4.03,544,135
111,T98,T82,J.J. Spaun,68,4.03,1003,249
112,T98,T99,Vaughn Taylor,69,4.03,858,213
113,T98,T113,Peter Uihlein,65,4.03,926,230
114,T98,T99,Nick Watney,67,4.03,818,203
115,T98,T63,Chase Wright,53,4.03,665,165
116,T117,T113,Roberto Castro,54,4.04,724,179
117,T117,T121,Alex Cejka,41,4.04,384,95
118,T117,T113,Jason Dufner,56,4.04,743,184
119,T117,T113,Brian Harman,67,4.04,787,195
120,T117,T113,Kevin Kisner,65,4.04,667,165
121,T117,T99,Martin Laird,60,4.04,558,138
122,T117,T113,Francesco Molinari,41,4.04,481,119
123,T117,T113,Ryan Moore,54,4.04,719,178
124,T117,T121,José de Jesús Rodríguez,51,4.04,562,139
125,T117,T113,Jhonattan Vegas,60,4.04,695,172
126,T117,T35,Bubba Watson,47,4.04,477,118
127,T128,T121,Tommy Fleetwood,43,4.05,255,63
128,T128,T121,Charley Hoffman,58,4.05,628,155
129,T128,T121,Beau Hossler,66,4.05,1122,277
130,T128,T121,Sung Kang,67,4.05,882,218
131,T128,T137,Hank Lebioda,55,4.05,725,179
132,T128,T121,Marc Leishman,52,4.05,547,135
133,T128,T121,C.T. Pan,64,4.05,754,186
134,T128,T121,J.T. Poston,76,4.05,1050,259
135,T128,T121,Sam Ryder,52,4.05,668,165
136,T128,T121,Cameron Smith,55,4.05,781,193
137,T128,T121,Jordan Spieth,57,4.05,498,123
138,T128,T121,Kyle Stanley,53,4.05,632,156
139,T128,T157,Henrik Stenson,46,4.05,425,105
140,T128,T121,Matt Wallace,31,4.05,429,106
141,T142,T137,Chris Kirk,47,4.06,637,157
142,T142,T137,Ian Poulter,49,4.06,394,97
143,T142,T137,Andrew Putnam,57,4.06,621,153
144,T142,T137,Patrick Rodgers,44,4.06,471,116
145,T142,T137,Charl Schwartzel,34,4.06,386,95
146,T142,T137,Ben Silverman,54,4.06,621,153
147,T142,T137,Hudson Swafford,59,4.06,864,213
148,T142,T137,Martin Trainer,51,4.06,678,167
149,T150,T149,Corey Conners,62,4.07,871,214
150,T150,T137,Cameron Davis,54,4.07,749,184
151,T150,T121,Julián Etulain,55,4.07,765,188
152,T150,T137,Fabián Gómez,44,4.07,557,137
153,T150,T149,Emiliano Grillo,65,4.07,614,151
154,T150,T149,Brandon Harkins,67,4.07,990,243
155,T150,T149,Billy Horschel,73,4.07,709,174
156,T150,T165,Stephan Jaeger,59,4.07,431,106
157,T150,T149,Adam Long,52,4.07,859,211
158,T150,T149,Brendan Steele,50,4.07,683,168
159,T150,T149,Jimmy Walker,61,4.07,1021,251
160,T150,T149,Richy Werenski,63,4.07,892,219
161,T162,T187,Sangmoon Bae,42,4.08,518,127
162,T162,T157,Sam Burns,66,4.08,1085,266
163,T162,T157,Cameron Champ,58,4.08,588,144
164,T162,T157,Max Homa,61,4.08,811,199
165,T162,T165,Danny Lee,66,4.08,824,202
166,T162,T157,Peter Malnati,64,4.08,555,136
167,T162,T178,Alex Noren,49,4.08,792,194
168,T162,T178,Sam Saunders,53,4.08,482,118
169,T162,T157,Kevin Tway,62,4.08,930,228
170,T171,T165,Anders Albertson,48,4.09,397,97
171,T171,T165,Abraham Ancer,69,4.09,839,205
172,T171,T165,Paul Casey,51,4.09,475,116
173,T171,T165,Adam Hadwin,66,4.09,1009,247
174,T171,T165,Satoshi Kodaira,51,4.09,864,211
175,T171,T165,Haotong Li,32,4.09,519,127
176,T171,T157,Curtis Luck,51,4.09,614,150
177,T171,T197,Chris Thompson,34,4.09,421,103
178,T179,T174,Bronson Burgoon,37,4.1,496,121
179,T179,T174,Matthew Fitzpatrick,42,4.1,825,201
180,T179,T174,Anirban Lahiri,54,4.1,820,200
181,T179,T178,Rod Pampling,40,4.1,669,163
182,T179,T178,Chris Stroud,54,4.1,742,181
183,T179,T174,Adam Svensson,51,4.1,381,93
184,T185,T157,John Chin,38,4.11,427,104
185,T185,T178,Roberto Díaz,51,4.11,732,178
186,T185,T178,J.J. Henry,42,4.11,661,161
187,T185,T178,Martin Kaymer,38,4.11,345,84
188,T185,T178,Rory McIlroy,50,4.11,259,63
189,T190,T187,Justin Harding,31,4.12,449,109
190,T190,T191,Jim Herman,37,4.12,614,149
191,T190,T187,Freddie Jacobson,37,4.12,400,97
192,T190,T191,Trey Mullinax,67,4.12,977,237
193,T194,T191,Bryson DeChambeau,45,4.13,343,83
194,T194,T201,Cody Gribble,52,4.13,736,178
195,T194,T191,Bill Haas,58,4.13,693,168
196,T194,T197,Kyle Jones,49,4.13,491,119
197,T194,T191,Grayson Murray,36,4.13,558,135
198,T194,T187,Seth Reeves,52,4.13,492,119
199,T200,T197,Branden Grace,62,4.14,927,224
200,T200,T197,Michael Kim,51,4.14,667,161
201,T200,T178,Kelly Kraft,67,4.14,853,206
202,T200,206,Wes Roach,45,4.14,493,119
203,T204,T201,"Ted Potter, Jr.",56,4.15,995,240
204,T204,T201,Josh Teater,47,4.15,485,117
205,T204,999,Tyrone Van Aswegen,30,4.15,498,120
206,207,204,Justin Rose,42,4.16,266,64
207,208,205,Pat Perez,52,4.17,384,92
208,209,207,D.A. Points,33,4.21,728,173
