,Back_9_Par_5_Scoring_Average_RANK THIS WEEK,Back_9_Par_5_Scoring_Average_RANK LAST WEEK,Back_9_Par_5_Scoring_Average_PLAYER NAME,Back_9_Par_5_Scoring_Average_ROUNDS,Back_9_Par_5_Scoring_Average_AVG,Back_9_Par_5_Scoring_Average_TOTAL STROKES,Back_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Justin Thomas,49,4.3,344,80
1,2,2,Brooks Koepka,49,4.35,296,68
2,3,3,Bubba Watson,47,4.36,314,72
3,4,4,Gary Woodland,63,4.4,462,105
4,5,5,Martin Kaymer,38,4.42,283,64
5,6,6,Ian Poulter,49,4.44,311,70
6,7,T12,Rory McIlroy,50,4.45,374,84
7,T8,T10,Sergio Garcia,39,4.46,232,52
8,T8,7,Si Woo Kim,65,4.46,486,109
9,T8,T8,Matt Kuchar,65,4.46,433,97
10,11,T8,Bryson DeChambeau,45,4.47,331,74
11,T12,T18,Talor Gooch,37,4.48,269,60
12,T12,T10,Luke List,52,4.48,372,83
13,14,T12,Patrick Cantlay,49,4.49,359,80
14,T15,T14,Sung Kang,67,4.51,496,110
15,T15,T14,Jon Rahm,51,4.51,379,84
16,T15,T18,Seth Reeves,52,4.51,379,84
17,T15,T14,Adam Scott,41,4.51,320,71
18,T15,T18,Webb Simpson,53,4.51,365,81
19,T20,T18,Byeong Hun An,54,4.52,407,90
20,T20,T18,Paul Casey,51,4.52,398,88
21,T20,T18,Jason Day,45,4.52,348,77
22,T20,T18,Dustin Johnson,47,4.52,348,77
23,T20,T14,Hudson Swafford,59,4.52,407,90
24,T25,T25,Rickie Fowler,54,4.53,426,94
25,T25,T25,Xander Schauffele,55,4.53,426,94
26,T27,T29,Bud Cauley,61,4.54,459,101
27,T27,999,Martin Piller,30,4.54,245,54
28,T27,T27,Sam Ryder,52,4.54,440,97
29,T27,T39,D.J. Trahan,33,4.54,259,57
30,T31,T37,Cody Gribble,52,4.55,364,80
31,T31,T29,Keith Mitchell,64,4.55,464,102
32,T31,T29,Jhonattan Vegas,60,4.55,464,102
33,T34,T46,Daniel Berger,48,4.56,328,72
34,T34,T29,Wyndham Clark,61,4.56,447,98
35,T34,T29,Bill Haas,58,4.56,401,88
36,T34,T39,Sungjae Im,88,4.56,652,143
37,T34,T35,Ryan Moore,54,4.56,438,96
38,T34,T35,Trey Mullinax,67,4.56,474,104
39,T40,T37,Tony Finau,61,4.57,462,101
40,T40,T46,Hank Lebioda,55,4.57,393,86
41,T40,T60,Wes Roach,45,4.57,343,75
42,T40,T39,J.J. Spaun,68,4.57,484,106
43,T40,T29,Martin Trainer,51,4.57,411,90
44,T45,T39,Chris Kirk,47,4.58,353,77
45,T45,T39,Haotong Li,32,4.58,238,52
46,T45,T39,Denny McCarthy,63,4.58,444,97
47,T45,T39,Patrick Rodgers,44,4.58,357,78
48,T49,T46,Ryan Blaum,67,4.59,496,108
49,T49,T46,Cameron Champ,58,4.59,427,93
50,T49,T60,Matt Every,38,4.59,257,56
51,T49,T60,Adam Hadwin,66,4.59,482,105
52,T49,T46,Kevin Kisner,65,4.59,422,92
53,T49,T60,Kevin Tway,62,4.59,441,96
54,T55,T60,Lucas Bjerregaard,37,4.6,221,48
55,T55,T52,Ernie Els,43,4.6,313,68
56,T55,T60,Harris English,72,4.6,520,113
57,T55,T60,Dylan Frittelli,55,4.6,419,91
58,T55,T52,Emiliano Grillo,65,4.6,469,102
59,T55,T52,Charles Howell III,64,4.6,488,106
60,T55,T46,Nate Lashley,44,4.6,331,72
61,T55,T52,Grayson Murray,36,4.6,313,68
62,T55,T52,Rory Sabbatini,71,4.6,511,111
63,T55,T52,Charl Schwartzel,34,4.6,267,58
64,T55,T52,Scott Stallings,63,4.6,497,108
65,T55,T69,Nick Taylor,70,4.6,520,113
66,T55,T52,Tiger Woods,31,4.6,230,50
67,T68,T60,Abraham Ancer,69,4.61,489,106
68,T68,T60,Max Homa,61,4.61,470,102
69,T68,T69,Jim Knous,55,4.61,410,89
70,T68,T82,Sebastián Muñoz,58,4.61,424,92
71,T68,T82,Alex Noren,49,4.61,341,74
72,T68,T69,Sam Saunders,53,4.61,410,89
73,T74,T82,Sangmoon Bae,42,4.62,314,68
74,T74,T90,John Chin,38,4.62,314,68
75,T74,T82,Brian Gay,79,4.62,550,119
76,T74,T69,James Hahn,34,4.62,291,63
77,T74,T69,Matt Jones,67,4.62,499,108
78,T74,T69,Marc Leishman,52,4.62,397,86
79,T74,T69,Hideki Matsuyama,59,4.62,462,100
80,T74,T69,Troy Merritt,42,4.62,282,61
81,T74,T69,Chez Reavie,67,4.62,476,103
82,T74,T69,Jordan Spieth,57,4.62,411,89
83,T74,T69,Nick Watney,67,4.62,508,110
84,T74,T69,Richy Werenski,63,4.62,476,103
85,T86,T95,Keegan Bradley,65,4.63,482,104
86,T86,T82,Lucas Glover,62,4.63,482,104
87,T86,T82,Justin Harding,31,4.63,176,38
88,T86,T82,Brandon Harkins,67,4.63,491,106
89,T86,T82,Beau Hossler,66,4.63,542,117
90,T86,T69,Adam Schenk,80,4.63,620,134
91,T92,T95,Scott Brown,66,4.64,464,100
92,T92,T90,Stephan Jaeger,59,4.64,422,91
93,T92,T90,Kevin Na,54,4.64,390,84
94,T92,T95,Ryan Palmer,56,4.64,385,83
95,T92,T90,Patrick Reed,53,4.64,404,87
96,T92,T111,Henrik Stenson,46,4.64,297,64
97,T92,T101,Danny Willett,47,4.64,390,84
98,T99,T90,Brandt Snedeker,68,4.65,516,111
99,T99,T111,Robert Streb,60,4.65,451,97
100,T99,T95,Kevin Streelman,63,4.65,507,109
101,T99,T111,Johnson Wagner,45,4.65,335,72
102,T103,T101,Sam Burns,66,4.66,480,103
103,T103,T101,Corey Conners,62,4.66,447,96
104,T103,T101,Brice Garnett,63,4.66,475,102
105,T103,T101,Branden Grace,62,4.66,443,95
106,T103,T101,Russell Knox,65,4.66,452,97
107,T103,T101,Jason Kokrak,68,4.66,540,116
108,T103,T111,Graeme McDowell,61,4.66,424,91
109,T103,T95,Carlos Ortiz,60,4.66,461,99
110,T103,T111,Scott Piercy,70,4.66,489,105
111,T103,T111,Ollie Schniederjans,63,4.66,485,104
112,T103,T111,Roger Sloan,62,4.66,461,99
113,T103,T101,Cameron Smith,55,4.66,410,88
114,T103,T95,Chase Wright,53,4.66,387,83
115,T116,T111,Julián Etulain,55,4.67,420,90
116,T116,T126,Brian Harman,67,4.67,490,105
117,T116,T101,Mackenzie Hughes,58,4.67,406,87
118,T116,T111,D.A. Points,33,4.67,271,58
119,T116,T111,Michael Thompson,56,4.67,430,92
120,T116,T101,Jimmy Walker,61,4.67,481,103
121,T122,T121,Anders Albertson,48,4.68,374,80
122,T122,T150,Jim Herman,37,4.68,276,59
123,T122,T134,Zach Johnson,50,4.68,351,75
124,T122,T121,Hunter Mahan,45,4.68,393,84
125,T122,T121,Kyle Stanley,53,4.68,412,88
126,T122,T121,Brendan Steele,50,4.68,431,92
127,T122,T121,Vaughn Taylor,69,4.68,534,114
128,T129,T134,Jonas Blixt,66,4.69,488,104
129,T129,T126,Rafa Cabrera Bello,57,4.69,455,97
130,T129,T126,Joel Dahmen,78,4.69,586,125
131,T129,T134,Martin Laird,60,4.69,455,97
132,T129,T142,Scott Langley,60,4.69,441,94
133,T129,T126,Kyoung-Hoon Lee,72,4.69,539,115
134,T129,T126,Adam Long,52,4.69,422,90
135,T129,T126,J.T. Poston,76,4.69,558,119
136,T129,T126,Seamus Power,58,4.69,422,90
137,T129,T142,Adam Svensson,51,4.69,394,84
138,T129,T142,Aaron Wise,52,4.69,394,84
139,T140,T142,Dominic Bozzelli,53,4.7,385,82
140,T140,T134,Roberto Castro,54,4.7,404,86
141,T140,T134,Roberto Díaz,51,4.7,390,83
142,T140,T126,Cameron Davis,54,4.7,418,89
143,T140,T134,Tyrrell Hatton,46,4.7,357,76
144,T140,T134,Andrew Putnam,57,4.7,428,91
145,T140,T150,Ben Silverman,54,4.7,404,86
146,T147,T142,Kiradech Aphibarnrat,49,4.71,377,80
147,T147,T142,Bronson Burgoon,37,4.71,297,63
148,T147,T134,Fabián Gómez,44,4.71,358,76
149,T147,T142,Kramer Hickok,59,4.71,471,100
150,T147,T142,Joaquin Niemann,68,4.71,523,111
151,T152,T150,Tommy Fleetwood,43,4.72,307,65
152,T152,T158,Peter Malnati,64,4.72,458,97
153,T152,T150,Alex Prugh,54,4.72,411,87
154,T152,T154,Harold Varner III,62,4.72,467,99
155,T156,T163,Ryan Armour,66,4.73,511,108
156,T156,T154,Matthew Fitzpatrick,42,4.73,317,67
157,T156,T154,Chesson Hadley,58,4.73,473,100
158,T156,T168,Danny Lee,66,4.73,473,100
159,T156,T154,John Senden,39,4.73,345,73
160,T156,T168,Cameron Tringale,52,4.73,397,84
161,T162,T158,Charley Hoffman,58,4.74,450,95
162,T162,T158,Anirban Lahiri,54,4.74,379,80
163,T162,T158,Pat Perez,52,4.74,408,86
164,T162,T158,Justin Rose,42,4.74,322,68
165,T166,T168,Alex Cejka,41,4.75,323,68
166,T166,T168,Jim Furyk,53,4.75,361,76
167,T166,T163,Billy Horschel,73,4.75,532,112
168,T166,T163,Andrew Landry,56,4.75,423,89
169,T166,T174,Curtis Luck,51,4.75,399,84
170,T166,T163,Louis Oosthuizen,43,4.75,323,68
171,T172,T181,J.B. Holmes,54,4.76,414,87
172,T172,T168,"Ted Potter, Jr.",56,4.76,447,94
173,T172,T163,Chris Stroud,54,4.76,428,90
174,T172,T168,Matt Wallace,31,4.76,219,46
175,T176,T184,Jonathan Byrd,43,4.77,334,70
176,T176,T174,Jason Dufner,56,4.77,415,87
177,T176,T174,David Hearn,41,4.77,315,66
178,T176,T181,Tom Hoge,70,4.77,534,112
179,T176,T174,Michael Kim,51,4.77,420,88
180,T176,T174,Satoshi Kodaira,51,4.77,410,86
181,T176,T174,Phil Mickelson,41,4.77,348,73
182,T176,T186,Rod Pampling,40,4.77,310,65
183,T176,T174,C.T. Pan,64,4.77,491,103
184,T176,T184,Chris Thompson,34,4.77,286,60
185,T186,T193,J.J. Henry,42,4.78,306,64
186,T186,T181,Francesco Molinari,41,4.78,277,58
187,188,T186,Austin Cook,50,4.79,369,77
188,T189,T186,Russell Henley,56,4.8,403,84
189,T189,T195,José de Jesús Rodríguez,51,4.8,413,86
190,T189,T186,Brian Stuard,76,4.8,586,122
191,T189,T191,Peter Uihlein,65,4.8,518,108
192,T193,T191,Aaron Baddeley,51,4.81,452,94
193,T193,T186,Shawn Stefani,57,4.81,438,91
194,T195,T199,Tyler Duncan,66,4.82,506,105
195,T195,T195,Kelly Kraft,67,4.82,501,104
196,T197,T195,Brady Schnell,38,4.83,314,65
197,T197,T193,Sepp Straka,48,4.83,386,80
198,T199,203,Joey Garber,44,4.84,324,67
199,T199,T199,John Huh,35,4.84,300,62
200,T199,T199,Freddie Jacobson,37,4.84,300,62
201,T199,T199,Patton Kizzire,58,4.84,440,91
202,T199,T195,Josh Teater,47,4.84,358,74
203,204,999,Tyrone Van Aswegen,30,4.85,252,52
204,205,T204,Whee Kim,57,4.87,438,90
205,206,T206,Ben Crane,41,4.88,327,67
206,T207,T206,Stewart Cink,33,4.89,274,56
207,T207,T204,Kyle Jones,49,4.89,401,82
208,209,999,Shane Lowry,30,4.9,191,39
