,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
190,T191,192,Joey Garber,44,36.0,1440,40
191,T191,190,Cody Gribble,52,36.0,1728,48
192,T191,189,Matt Wallace,31,36.0,1008,28
193,194,191,Sangmoon Bae,42,36.03,1441,40
194,195,194,Seamus Power,58,36.04,1946,54
195,196,999,Tyrone Van Aswegen,30,36.07,1082,30
196,197,T195,Whee Kim,57,36.11,1914,53
197,198,T197,Lucas Bjerregaard,37,36.13,1084,30
198,199,T195,Kyle Jones,49,36.15,1699,47
199,T200,203,Rod Pampling,40,36.21,1376,38
200,T200,T197,Brendan Steele,50,36.21,1738,48
201,202,199,John Senden,39,36.22,1340,37
202,203,200,D.A. Points,33,36.24,1196,33
203,204,T204,Chris Thompson,34,36.29,1234,34
204,205,201,Freddie Jacobson,37,36.31,1271,35
205,206,T204,Alex Cejka,41,36.35,1345,37
206,207,202,"Ted Potter, Jr.",56,36.37,1964,54
207,208,206,Michael Kim,51,36.47,1787,49
208,209,207,Satoshi Kodaira,51,36.58,1756,48
