,Round_2_Scoring_Average_RANK THIS WEEK,Round_2_Scoring_Average_RANK LAST WEEK,Round_2_Scoring_Average_PLAYER NAME,Round_2_Scoring_Average_AVG,Round_2_Scoring_Average_TOTAL STROKES,Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Justin Rose,67.4,674,10
1,2,2,Tommy Fleetwood,68.11,613,9
2,3,3,Jordan Spieth,68.4,1026,15
3,4,4,Scott Piercy,68.61,1235,18
4,5,10,Matt Kuchar,68.8,1032,15
5,6,5,Gary Woodland,68.81,1101,16
6,7,6,Rickie Fowler,68.86,964,14
7,8,7,Adam Scott,68.91,758,11
8,9,T8,Rory McIlroy,68.92,827,12
9,10,T14,Dustin Johnson,69.0,759,11
10,11,T14,Brooks Koepka,69.09,760,11
11,12,T8,Ian Poulter,69.18,761,11
12,13,11,Patrick Cantlay,69.25,831,12
13,14,12,Louis Oosthuizen,69.3,693,10
14,15,16,Sungjae Im,69.36,1734,25
15,16,13,Paul Casey,69.38,902,13
16,17,29,Henrik Stenson,69.4,694,10
17,18,18,Sam Ryder,69.53,1043,15
18,19,T19,Wyndham Clark,69.56,1252,18
19,20,17,Daniel Berger,69.57,974,14
20,T21,31,Adam Hadwin,69.59,1183,17
21,T21,T19,Michael Thompson,69.59,1183,17
22,23,T26,Peter Malnati,69.61,1253,18
23,24,21,Lucas Glover,69.63,1114,16
24,25,22,Hideki Matsuyama,69.64,975,14
25,T26,T23,Charles Howell III,69.65,1184,17
26,T26,T23,Kyoung-Hoon Lee,69.65,1393,20
27,28,32,Jonas Blixt,69.68,1324,19
28,29,T26,Cameron Champ,69.71,1185,17
29,30,28,Talor Gooch,69.75,837,12
30,T31,30,Tony Finau,69.8,1047,15
31,T31,T38,Brian Gay,69.8,1396,20
32,T33,33,Martin Laird,69.82,1187,17
33,T33,T60,Ben Silverman,69.82,1187,17
34,35,T38,Aaron Wise,69.87,1048,15
35,T36,34,Denny McCarthy,69.89,1328,19
36,T36,T49,Nick Taylor,69.89,1328,19
37,38,48,Jim Furyk,69.93,979,14
38,T39,T35,Jason Kokrak,69.94,1119,16
39,T39,T35,Keith Mitchell,69.94,1259,18
40,T39,T80,Brandt Snedeker,69.94,1189,17
41,42,37,Beau Hossler,69.95,1399,20
42,T43,T38,Martin Kaymer,70.0,770,11
43,T43,51,Graeme McDowell,70.0,1050,15
44,T43,T38,Francesco Molinari,70.0,630,9
45,T43,T38,Xander Schauffele,70.0,980,14
46,T43,25,Johnson Wagner,70.0,910,13
47,48,44,Vaughn Taylor,70.05,1401,20
48,49,45,Rory Sabbatini,70.06,1261,18
49,50,46,Kevin Kisner,70.07,1051,15
50,51,T38,Sebastián Muñoz,70.12,1192,17
51,52,47,Tiger Woods,70.14,491,7
52,53,T77,Scott Brown,70.15,1403,20
53,T54,T49,Abraham Ancer,70.17,1263,18
54,T54,89,Justin Thomas,70.17,842,12
55,T56,T52,Marc Leishman,70.23,913,13
56,T56,T52,Patrick Reed,70.23,913,13
57,58,54,Joel Dahmen,70.24,1475,21
58,59,T58,Nick Watney,70.26,1335,19
59,60,55,Jason Day,70.27,773,11
60,61,56,J.T. Poston,70.29,1476,21
61,62,T111,Webb Simpson,70.31,914,13
62,T63,T58,Brian Stuard,70.33,1477,21
63,T63,88,D.J. Trahan,70.33,633,9
64,65,57,Cameron Davis,70.35,1196,17
65,66,T60,Chris Kirk,70.38,1126,16
66,T67,62,Max Homa,70.39,1267,18
67,T67,63,J.J. Spaun,70.39,1267,18
68,T69,T77,Brice Garnett,70.4,1408,20
69,T69,T70,Ryan Palmer,70.4,1056,15
70,T71,T64,Bryson DeChambeau,70.42,845,12
71,T71,T64,Sung Kang,70.42,1338,19
72,T73,T70,Sergio Garcia,70.44,634,9
73,T73,T68,Kevin Tway,70.44,1268,18
74,75,67,Troy Merritt,70.45,775,11
75,T76,T68,Aaron Baddeley,70.47,1057,15
76,T76,T70,Adam Svensson,70.47,1198,17
77,T78,T70,Ernie Els,70.5,846,12
78,T78,T83,Harris English,70.5,1410,20
79,T78,79,Fabián Gómez,70.5,987,14
80,T78,T70,James Hahn,70.5,705,10
81,T78,T83,Brandon Harkins,70.5,1410,20
82,T78,76,Kelly Kraft,70.5,1551,22
83,T78,T70,Cameron Smith,70.5,987,14
84,85,87,Ryan Armour,70.52,1481,21
85,86,T95,Dylan Frittelli,70.53,1058,15
86,T87,T80,Emiliano Grillo,70.56,1129,16
87,T87,T101,Curtis Luck,70.56,1129,16
88,T87,T101,Josh Teater,70.56,1129,16
89,90,82,Pat Perez,70.57,988,14
90,T91,T83,Jon Rahm,70.58,847,12
91,T91,T83,Kevin Streelman,70.58,1341,19
92,93,T111,Wes Roach,70.62,918,13
93,T94,T101,Dominic Bozzelli,70.63,1130,16
94,T94,T90,Bud Cauley,70.63,1342,19
95,T96,66,Russell Henley,70.65,1201,17
96,T96,T120,José de Jesús Rodríguez,70.65,1201,17
97,T96,106,Adam Schenk,70.65,1625,23
98,T96,T92,Roger Sloan,70.65,1413,20
99,T100,T90,Stewart Cink,70.67,848,12
100,T100,119,Zach Johnson,70.67,1060,15
101,T102,94,Matthew Fitzpatrick,70.7,707,10
102,T102,T92,Carlos Ortiz,70.7,1414,20
103,T104,T95,Kiradech Aphibarnrat,70.71,990,14
104,T104,T95,Justin Harding,70.71,495,7
105,T104,T95,Andrew Landry,70.71,1202,17
106,107,T99,Matt Jones,70.72,1273,18
107,108,T127,Hank Lebioda,70.73,1061,15
108,109,T99,Trey Mullinax,70.74,1344,19
109,110,T101,Jonathan Byrd,70.75,849,12
110,111,105,Alex Noren,70.77,920,13
111,112,107,Jason Dufner,70.78,1274,18
