,Front_9_Par_3_Scoring_Average_RANK THIS WEEK,Front_9_Par_3_Scoring_Average_RANK LAST WEEK,Front_9_Par_3_Scoring_Average_PLAYER NAME,Front_9_Par_3_Scoring_Average_ROUNDS,Front_9_Par_3_Scoring_Average_AVG,Front_9_Par_3_Scoring_Average_TOTAL STROKES,Front_9_Par_3_Scoring_Average_TOTAL HOLES
0,T1,2,Danny Lee,66,2.91,373,128
1,T1,3,Aaron Wise,52,2.91,285,98
2,3,T4,Jason Kokrak,68,2.92,374,128
3,4,T6,Patton Kizzire,58,2.93,328,112
4,T5,8,John Huh,35,2.94,209,71
5,T5,T4,Scott Langley,60,2.94,344,117
6,T7,T6,Alex Cejka,41,2.95,221,75
7,T7,T10,Stephan Jaeger,59,2.95,328,111
8,T7,9,Ian Poulter,49,2.95,248,84
9,T10,T10,Tony Finau,61,2.96,334,113
10,T10,T29,Martin Laird,60,2.96,335,113
11,T10,T16,Sebastián Muñoz,58,2.96,334,113
12,T10,T10,Andrew Putnam,57,2.96,311,105
13,T10,T10,Nick Watney,67,2.96,376,127
14,T10,T10,Tiger Woods,31,2.96,154,52
15,T16,T16,Matt Every,38,2.97,205,69
16,T16,T16,Lucas Glover,62,2.97,348,117
17,T16,T16,Emiliano Grillo,65,2.97,368,124
18,T16,T16,Chez Reavie,67,2.97,359,121
19,T16,T16,Justin Rose,42,2.97,226,76
20,T16,T16,Vaughn Taylor,69,2.97,401,135
21,T16,T16,Kevin Tway,62,2.97,344,116
22,T23,T24,Trey Mullinax,67,2.98,379,127
23,T23,T24,Ollie Schniederjans,63,2.98,363,122
24,T23,T24,Chase Wright,53,2.98,307,103
25,T26,T37,Roberto Castro,54,2.99,302,101
26,T26,T24,Bud Cauley,61,2.99,365,122
27,T26,T29,Sung Kang,67,2.99,392,131
28,T26,T37,Matt Kuchar,65,2.99,350,117
29,T26,T29,Marc Leishman,52,2.99,287,96
30,T26,T29,Ryan Moore,54,2.99,323,108
31,T26,T29,Jordan Spieth,57,2.99,326,109
32,T26,T10,Josh Teater,47,2.99,272,91
33,T34,T24,Austin Cook,50,3.0,279,93
34,T34,T54,Rory McIlroy,50,3.0,276,92
35,T34,T37,Troy Merritt,42,3.0,228,76
36,T34,T29,Scott Piercy,70,3.0,399,133
37,T34,T37,Rory Sabbatini,71,3.0,405,135
38,T34,T37,Brian Stuard,76,3.0,435,145
39,T40,T37,Anders Albertson,48,3.01,280,93
40,T40,T48,James Hahn,34,3.01,208,69
41,T40,T48,Charley Hoffman,58,3.01,328,109
42,T40,T37,Sungjae Im,88,3.01,509,169
43,T40,T37,Wes Roach,45,3.01,262,87
44,T40,T64,Henrik Stenson,46,3.01,229,76
45,T40,T37,Robert Streb,60,3.01,337,112
46,T47,T29,Dominic Bozzelli,53,3.02,311,103
47,T47,T64,Scott Brown,66,3.02,378,125
48,T47,T54,Paul Casey,51,3.02,287,95
49,T47,T48,Corey Conners,62,3.02,353,117
50,T47,T48,Ben Crane,41,3.02,251,83
51,T47,T54,Tyrrell Hatton,46,3.02,254,84
52,T47,T48,Russell Henley,56,3.02,317,105
53,T47,T37,J.B. Holmes,54,3.02,287,95
54,T47,T54,Michael Kim,51,3.02,299,99
55,T47,T29,Kelly Kraft,67,3.02,384,127
56,T47,T54,Peter Malnati,64,3.02,366,121
57,T47,T54,Hideki Matsuyama,59,3.02,338,112
58,T47,T37,Denny McCarthy,63,3.02,356,118
59,T47,T54,C.T. Pan,64,3.02,375,124
60,T47,T48,Justin Thomas,49,3.02,278,92
61,T47,T54,Michael Thompson,56,3.02,341,113
62,T47,T75,Cameron Tringale,52,3.02,293,97
63,T47,T64,Richy Werenski,63,3.02,372,123
64,T65,T54,Jonas Blixt,66,3.03,391,129
65,T65,T93,Keegan Bradley,65,3.03,352,116
66,T65,T64,Si Woo Kim,65,3.03,367,121
67,T65,T64,Anirban Lahiri,54,3.03,303,100
68,T65,T64,J.T. Poston,76,3.03,437,144
69,T65,T75,Seth Reeves,52,3.03,306,101
70,T65,T64,Sam Ryder,52,3.03,315,104
71,T65,T64,Xander Schauffele,55,3.03,315,104
72,T65,T75,Harold Varner III,62,3.03,364,120
73,T65,T75,Johnson Wagner,45,3.03,264,87
74,T75,T75,Ryan Armour,66,3.04,404,133
75,T75,T75,Cameron Champ,58,3.04,343,113
