,Back_9_Round_1_Scoring_Average_RANK THIS WEEK,Back_9_Round_1_Scoring_Average_RANK LAST WEEK,Back_9_Round_1_Scoring_Average_PLAYER NAME,Back_9_Round_1_Scoring_Average_AVG,Back_9_Round_1_Scoring_Average_TOTAL STROKES,Back_9_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,2,Keegan Bradley,34.06,545,16
1,2,1,Phil Mickelson,34.17,410,12
2,3,3,Hank Lebioda,34.2,513,15
3,4,5,Matt Kuchar,34.27,514,15
4,T5,7,Ryan Palmer,34.33,515,15
5,T5,4,Jon Rahm,34.33,412,12
6,7,10,Sepp Straka,34.53,518,15
7,8,6,Brooks Koepka,34.55,380,11
8,9,T25,D.J. Trahan,34.56,311,9
9,10,8,Rickie Fowler,34.57,484,14
10,11,T12,Dominic Bozzelli,34.63,554,16
11,12,17,Daniel Berger,34.64,485,14
12,13,11,Jhonattan Vegas,34.65,589,17
13,T14,T12,Abraham Ancer,34.67,624,18
14,T14,16,Sam Saunders,34.67,624,18
15,16,14,Russell Knox,34.69,555,16
16,T17,15,Jason Day,34.73,382,11
17,T17,33,Graeme McDowell,34.73,521,15
18,19,T18,Matt Jones,34.78,626,18
19,20,T27,Nick Taylor,34.79,661,19
20,T21,T21,Billy Horschel,34.82,592,17
21,T21,T21,Michael Thompson,34.82,592,17
22,23,T18,Bud Cauley,34.84,662,19
23,24,23,John Huh,34.85,453,13
24,T25,20,Roberto Díaz,34.87,523,15
25,T25,24,Jordan Spieth,34.87,523,15
26,T27,T27,Si Woo Kim,34.89,628,18
27,T27,T27,Rory Sabbatini,34.89,628,18
28,29,30,Vaughn Taylor,34.9,698,20
29,T30,9,Dustin Johnson,34.91,384,11
30,T30,31,Ian Poulter,34.91,384,11
31,T32,T44,Talor Gooch,34.92,419,12
32,T32,32,Patrick Reed,34.92,454,13
33,34,T38,Jonas Blixt,34.95,664,19
34,T35,T61,Roberto Castro,35.0,525,15
35,T35,T34,Tony Finau,35.0,525,15
36,T35,T25,Sergio Garcia,35.0,315,9
37,T35,T34,Denny McCarthy,35.0,665,19
38,T35,T56,Rory McIlroy,35.0,420,12
39,T35,63,Webb Simpson,35.0,455,13
40,T35,T34,Cameron Smith,35.0,490,14
41,42,37,Adam Schenk,35.04,806,23
42,T43,T38,Lucas Glover,35.06,561,16
43,T43,T38,Emiliano Grillo,35.06,561,16
44,T43,T38,Anirban Lahiri,35.06,561,16
45,T43,T38,Ryan Moore,35.06,561,16
46,T47,43,Patrick Cantlay,35.08,421,12
47,T47,T44,Nate Lashley,35.08,421,12
48,T47,T44,Justin Thomas,35.08,421,12
49,T50,T59,Matt Every,35.09,386,11
50,T50,T47,Bubba Watson,35.09,386,11
51,52,T47,Kyoung-Hoon Lee,35.1,737,21
52,53,49,Hudson Swafford,35.11,667,19
53,T54,T51,John Chin,35.14,492,14
54,T54,50,Joel Dahmen,35.14,738,21
55,T54,T51,Fabián Gómez,35.14,492,14
56,T57,53,Sung Kang,35.16,668,19
57,T57,T54,Scott Langley,35.16,668,19
58,T57,T66,Danny Lee,35.16,668,19
59,T57,T66,J.J. Spaun,35.16,668,19
60,61,T54,Charles Howell III,35.17,633,18
61,T62,T56,Martin Kaymer,35.18,387,11
62,T62,T56,Troy Merritt,35.18,387,11
63,T62,T82,Jimmy Walker,35.18,598,17
64,T65,T61,Zach Johnson,35.2,528,15
65,T65,T59,Justin Rose,35.2,352,10
66,T65,T73,Roger Sloan,35.2,704,20
67,68,T71,Cameron Tringale,35.21,493,14
68,69,T75,Ben Crane,35.23,458,13
69,70,64,Adam Long,35.26,670,19
70,71,T103,Dylan Frittelli,35.27,529,15
71,T72,T68,Kevin Na,35.29,494,14
72,T72,T68,Patrick Rodgers,35.29,494,14
73,74,70,James Hahn,35.3,353,10
74,75,65,Curtis Luck,35.31,565,16
75,76,87,Joaquin Niemann,35.32,671,19
76,T77,T94,Ryan Armour,35.33,742,21
77,T77,T75,Cameron Champ,35.33,636,18
78,T77,T75,Luke List,35.33,530,15
79,T80,T71,Martin Laird,35.35,601,17
80,T80,T103,Alex Prugh,35.35,601,17
81,T80,80,Chez Reavie,35.35,601,17
82,T83,T82,Jim Furyk,35.36,495,14
83,T83,81,Adam Scott,35.36,389,11
84,T85,T75,Kramer Hickok,35.37,672,19
85,T85,T92,Scott Stallings,35.37,672,19
86,T87,999,Shane Lowry,35.38,283,8
87,T87,T82,Grayson Murray,35.38,460,13
88,T87,T82,Kyle Stanley,35.38,566,16
89,T87,T82,Gary Woodland,35.38,566,16
90,91,T73,Tom Hoge,35.39,814,23
91,92,T75,Richy Werenski,35.42,673,19
92,93,T89,Scott Piercy,35.44,638,18
93,T94,T94,Ryan Blaum,35.45,709,20
94,T94,T97,Brandon Harkins,35.45,709,20
95,T96,96,Marc Leishman,35.46,461,13
96,T96,91,Wes Roach,35.46,461,13
97,T98,T92,Corey Conners,35.47,674,19
98,T98,T97,Kevin Kisner,35.47,532,15
99,T98,T97,Kevin Streelman,35.47,674,19
100,T98,T103,Harold Varner III,35.47,674,19
101,102,102,J.T. Poston,35.48,745,21
102,T103,T103,Bronson Burgoon,35.5,497,14
103,T103,T97,Harris English,35.5,710,20
104,T103,88,Julián Etulain,35.5,568,16
105,T103,T103,Beau Hossler,35.5,710,20
106,T103,T97,Stephan Jaeger,35.5,639,18
107,T103,T89,Shawn Stefani,35.5,639,18
108,T103,T115,Josh Teater,35.5,568,16
109,110,T115,Tyler Duncan,35.52,746,21
110,T111,109,Sam Ryder,35.53,533,15
111,T111,T103,Brandt Snedeker,35.53,604,17
112,T113,T110,Tommy Fleetwood,35.56,320,9
113,T113,T135,Sungjae Im,35.56,889,25
114,T113,T133,Jim Knous,35.56,569,16
115,T113,T110,Francesco Molinari,35.56,320,9
116,117,112,Tiger Woods,35.57,249,7
117,T118,113,Tyrrell Hatton,35.58,427,12
118,T118,117,Nick Watney,35.58,676,19
119,120,T124,Bill Haas,35.59,605,17
120,T121,118,Ernie Els,35.62,463,13
121,T121,T135,Alex Noren,35.62,463,13
122,123,T131,Trey Mullinax,35.63,677,19
123,124,119,Xander Schauffele,35.64,499,14
124,125,123,Carlos Ortiz,35.65,713,20
125,T126,T120,Aaron Baddeley,35.67,535,15
126,T126,T143,Jonathan Byrd,35.67,428,12
127,T126,T126,Wyndham Clark,35.67,642,18
128,T126,T143,Peter Malnati,35.67,642,18
129,T126,T120,Andrew Putnam,35.67,535,15
130,T126,T120,Brian Stuard,35.67,749,21
131,T132,T124,Branden Grace,35.69,571,16
132,T132,152,Johnson Wagner,35.69,464,13
133,134,999,Martin Piller,35.7,357,10
134,T135,T126,Rafa Cabrera Bello,35.71,500,14
135,T135,T148,Russell Henley,35.71,607,17
136,T135,T126,Patton Kizzire,35.71,607,17
137,T135,T126,Andrew Landry,35.71,607,17
138,T135,139,Brady Schnell,35.71,500,14
139,T140,T143,Mackenzie Hughes,35.72,643,18
140,T140,T131,C.T. Pan,35.72,643,18
141,142,T133,Pat Perez,35.73,536,15
142,T143,151,Scott Brown,35.75,715,20
143,T143,140,Austin Cook,35.75,572,16
144,T143,T135,Bryson DeChambeau,35.75,429,12
145,T143,147,Jim Herman,35.75,572,16
146,T147,138,Sam Burns,35.76,751,21
147,T147,T157,Adam Hadwin,35.76,608,17
148,T147,T148,Sebastián Muñoz,35.76,608,17
149,T147,T141,Ben Silverman,35.76,608,17
150,151,T174,David Hearn,35.77,465,13
151,T152,114,Chris Stroud,35.78,644,18
152,T152,T126,Chase Wright,35.78,644,18
153,154,T141,Seth Reeves,35.82,609,17
154,155,146,Freddie Jacobson,35.85,466,13
155,T156,165,Brian Harman,35.86,753,21
156,T156,T157,J.J. Henry,35.86,502,14
157,T158,153,J.B. Holmes,35.88,574,16
158,T158,T166,José de Jesús Rodríguez,35.88,610,17
159,T158,T148,Matt Wallace,35.88,287,8
160,161,T157,Alex Cejka,35.93,503,14
161,T162,T154,Cody Gribble,35.94,611,17
162,T162,T154,Max Homa,35.94,647,18
163,T164,156,Michael Kim,35.95,719,20
164,T164,183,Robert Streb,35.95,719,20
165,T166,T157,Lucas Bjerregaard,36.0,324,9
166,T166,T157,Keith Mitchell,36.0,648,18
167,T166,T157,Ollie Schniederjans,36.0,756,21
168,T166,T157,John Senden,36.0,432,12
169,T166,T179,Adam Svensson,36.0,612,17
170,T166,178,Kevin Tway,36.0,648,18
171,T172,T157,Brian Gay,36.05,757,21
172,T172,182,Peter Uihlein,36.05,757,21
173,T174,T166,Chris Kirk,36.06,577,16
174,T174,T166,Brendan Steele,36.06,577,16
175,T176,T170,Byeong Hun An,36.07,505,14
176,T176,T170,Paul Casey,36.07,505,14
177,T176,T174,Joey Garber,36.07,505,14
178,T176,T170,Hunter Mahan,36.07,541,15
179,T176,T170,Hideki Matsuyama,36.07,505,14
180,T176,T185,Danny Willett,36.07,541,15
181,182,176,Matthew Fitzpatrick,36.1,361,10
182,183,T166,Cameron Davis,36.12,614,17
183,184,T179,Jason Kokrak,36.13,578,16
184,185,177,Martin Trainer,36.16,687,19
185,186,184,Charley Hoffman,36.18,615,17
186,187,T185,Sangmoon Bae,36.2,543,15
187,188,187,Jason Dufner,36.22,652,18
188,189,188,Justin Harding,36.29,254,7
189,190,189,Chesson Hadley,36.32,690,19
190,191,T193,Rod Pampling,36.33,545,15
191,192,190,"Ted Potter, Jr.",36.35,618,17
192,193,191,Kiradech Aphibarnrat,36.36,509,14
193,194,T195,Seamus Power,36.45,729,20
194,195,192,Anders Albertson,36.47,620,17
195,T196,201,Kelly Kraft,36.5,803,22
196,T196,T193,Louis Oosthuizen,36.5,365,10
197,T198,T195,Satoshi Kodaira,36.53,548,15
198,T198,197,Aaron Wise,36.53,548,15
199,200,200,Kyle Jones,36.56,658,18
200,201,198,Stewart Cink,36.58,439,12
201,202,206,Henrik Stenson,36.6,366,10
202,203,199,Haotong Li,36.63,293,8
203,204,202,Brice Garnett,36.65,733,20
204,205,999,Tyrone Van Aswegen,36.73,404,11
205,206,203,Whee Kim,36.75,735,20
206,207,205,Chris Thompson,36.83,442,12
207,208,204,D.A. Points,36.85,479,13
208,209,207,Charl Schwartzel,37.08,445,12
