,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
178,T168,T164,Peter Malnati,64,2
179,T168,T164,Hideki Matsuyama,59,2
180,T168,T164,Francesco Molinari,41,2
181,T168,T164,Ryan Palmer,56,2
182,T168,T164,José de Jesús Rodríguez,51,2
183,T168,T164,Sam Saunders,53,2
184,T168,T164,Josh Teater,47,2
185,T168,T189,Chris Thompson,34,2
186,T168,T164,Cameron Tringale,52,2
187,T168,T164,Kevin Tway,62,2
188,T168,T164,Aaron Wise,52,2
189,T168,T164,Chase Wright,53,2
190,T191,T189,Ryan Armour,66,1
191,T191,T189,Daniel Berger,48,1
192,T191,T189,Ben Crane,41,1
193,T191,T189,Jim Furyk,53,1
194,T191,T206,Jim Herman,37,1
195,T191,T189,Martin Kaymer,38,1
196,T191,T189,Whee Kim,57,1
197,T191,T189,Anirban Lahiri,54,1
198,T191,T189,Andrew Landry,56,1
199,T191,999,Shane Lowry,30,1
200,T191,T189,Curtis Luck,51,1
201,T191,T206,Rod Pampling,40,1
202,T191,999,Martin Piller,30,1
203,T191,T189,D.A. Points,33,1
204,T191,T189,"Ted Potter, Jr.",56,1
205,T191,T189,Andrew Putnam,57,1
206,T191,T189,J.J. Spaun,68,1
207,T191,T189,Henrik Stenson,46,1
208,T191,T189,Danny Willett,47,1
