,Tenth_Tee_Late_Round_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_4_Scoring_Average_AVG,Tenth_Tee_Late_Round_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Carlos Ortiz,64.0,64,1
1,T2,T2,Aaron Baddeley,65.0,65,1
2,T2,T2,Brice Garnett,65.0,130,2
3,T2,T2,Denny McCarthy,65.0,65,1
4,T2,T2,Sam Ryder,65.0,65,1
5,T2,T2,Gary Woodland,65.0,65,1
6,7,7,Trey Mullinax,65.5,131,2
7,T8,T8,Sam Burns,66.0,66,1
8,T8,T8,Tyler Duncan,66.0,132,2
9,T8,T8,Nate Lashley,66.0,66,1
10,T8,T8,Roger Sloan,66.0,66,1
11,T12,T12,Adam Hadwin,67.0,67,1
12,T12,T12,Ryan Palmer,67.0,67,1
13,T12,T12,Xander Schauffele,67.0,134,2
14,T12,T12,Kevin Streelman,67.0,67,1
15,T12,T12,D.J. Trahan,67.0,67,1
16,17,17,Rafa Cabrera Bello,67.67,203,3
17,T18,T18,Abraham Ancer,68.0,68,1
18,T18,T18,Cameron Champ,68.0,68,1
19,T18,T18,Wyndham Clark,68.0,136,2
20,T18,T18,Kramer Hickok,68.0,68,1
21,T18,T18,J.B. Holmes,68.0,68,1
22,T18,T18,Si Woo Kim,68.0,68,1
23,T18,T18,Anirban Lahiri,68.0,136,2
24,T18,T18,Haotong Li,68.0,68,1
25,T18,T18,Troy Merritt,68.0,136,2
26,T18,T18,Sepp Straka,68.0,136,2
27,28,29,Brandon Harkins,68.33,205,3
28,T29,T30,Jim Herman,68.5,137,2
29,T29,T30,Andrew Landry,68.5,137,2
30,T29,T30,Joaquin Niemann,68.5,137,2
31,T32,T33,Bryson DeChambeau,69.0,69,1
32,T32,T33,Charles Howell III,69.0,69,1
33,T32,T33,Sung Kang,69.0,69,1
34,T32,T33,Jim Knous,69.0,69,1
35,T32,T33,Curtis Luck,69.0,69,1
36,T32,T33,Hunter Mahan,69.0,69,1
37,T32,T33,Francesco Molinari,69.0,69,1
38,T32,T33,Alex Prugh,69.0,69,1
39,T32,T33,Sam Saunders,69.0,69,1
40,T32,T33,Brady Schnell,69.0,69,1
41,T32,T33,Jordan Spieth,69.0,69,1
42,T32,T33,Adam Svensson,69.0,138,2
43,T32,T33,Johnson Wagner,69.0,207,3
44,T32,T33,Chase Wright,69.0,69,1
45,46,47,Brian Gay,69.25,277,4
46,T47,T48,Billy Horschel,69.67,209,3
47,T47,T48,Ryan Moore,69.67,209,3
48,T47,T48,Jimmy Walker,69.67,209,3
49,T50,T51,Anders Albertson,70.0,70,1
50,T50,T51,Ernie Els,70.0,280,4
51,T50,T51,Dylan Frittelli,70.0,140,2
52,T50,T51,Cody Gribble,70.0,70,1
53,T50,T51,Bill Haas,70.0,70,1
54,T50,T51,Tom Hoge,70.0,70,1
55,T50,T51,Whee Kim,70.0,140,2
56,T50,T51,Jason Kokrak,70.0,140,2
57,T50,T51,Kyoung-Hoon Lee,70.0,140,2
58,T50,T51,Scott Piercy,70.0,70,1
59,T50,T51,D.A. Points,70.0,70,1
60,T50,T51,José de Jesús Rodríguez,70.0,140,2
61,T50,T51,Rory Sabbatini,70.0,140,2
62,T50,T51,Adam Schenk,70.0,140,2
63,T50,T51,Kyle Stanley,70.0,70,1
64,T50,T51,Brian Stuard,70.0,350,5
65,T50,T51,Chris Thompson,70.0,70,1
66,T50,T51,Kevin Tway,70.0,70,1
67,T50,T51,Danny Willett,70.0,70,1
68,T69,T70,Ryan Armour,70.5,141,2
69,T69,T70,Jonas Blixt,70.5,141,2
70,T69,T70,Martin Kaymer,70.5,141,2
71,T69,T70,Ollie Schniederjans,70.5,282,4
72,T73,T74,Roberto Díaz,71.0,71,1
73,T73,T74,Joel Dahmen,71.0,71,1
74,T73,T74,Harris English,71.0,355,5
75,T73,T74,Sergio Garcia,71.0,71,1
76,T73,T74,Fabián Gómez,71.0,142,2
77,T73,T74,Branden Grace,71.0,142,2
78,T73,T74,Kyle Jones,71.0,142,2
79,T73,T74,Chris Kirk,71.0,71,1
80,T73,T74,Kevin Na,71.0,142,2
81,T73,T74,Rod Pampling,71.0,71,1
82,T73,999,Martin Piller,71.0,71,1
83,T73,T74,Chez Reavie,71.0,71,1
84,T73,T74,Charl Schwartzel,71.0,71,1
85,T86,T86,C.T. Pan,71.5,143,2
86,T86,T86,J.J. Spaun,71.5,143,2
87,T86,T86,Hudson Swafford,71.5,286,4
88,T89,T89,Satoshi Kodaira,71.67,215,3
89,T89,T89,Sebastián Muñoz,71.67,215,3
90,T89,T89,John Senden,71.67,215,3
91,T92,T92,Russell Henley,72.0,144,2
92,T92,T92,Charley Hoffman,72.0,72,1
93,T92,T92,Sungjae Im,72.0,72,1
94,T92,T92,Hank Lebioda,72.0,72,1
95,T92,T92,Marc Leishman,72.0,144,2
96,T92,T92,Seamus Power,72.0,72,1
97,T92,T92,Brandt Snedeker,72.0,216,3
98,T92,T92,Robert Streb,72.0,72,1
99,T92,T92,Cameron Tringale,72.0,72,1
100,T92,999,Tyrone Van Aswegen,72.0,144,2
101,102,101,Nick Taylor,72.5,145,2
102,T103,T102,Keegan Bradley,73.0,73,1
103,T103,T102,Stewart Cink,73.0,73,1
104,T103,T102,Tony Finau,73.0,73,1
105,T103,T102,Max Homa,73.0,73,1
106,T103,T102,Zach Johnson,73.0,73,1
107,T103,T102,Matt Jones,73.0,146,2
108,T103,T102,Kevin Kisner,73.0,73,1
109,T103,T102,Jhonattan Vegas,73.0,73,1
110,T103,T102,Richy Werenski,73.0,146,2
111,T112,T111,Lucas Bjerregaard,73.5,147,2
112,T112,T111,Keith Mitchell,73.5,147,2
113,T112,T111,Martin Trainer,73.5,147,2
114,T112,T111,Peter Uihlein,73.5,147,2
115,116,115,Ryan Blaum,73.67,221,3
116,T117,T116,Rickie Fowler,74.0,74,1
117,T117,T116,Chesson Hadley,74.0,74,1
118,T117,T116,Tyrrell Hatton,74.0,74,1
119,T117,T116,John Huh,74.0,74,1
120,T117,T116,Freddie Jacobson,74.0,74,1
121,T117,T116,Danny Lee,74.0,74,1
