,Front_9_Par_5_Scoring_Average_RANK THIS WEEK,Front_9_Par_5_Scoring_Average_RANK LAST WEEK,Front_9_Par_5_Scoring_Average_PLAYER NAME,Front_9_Par_5_Scoring_Average_ROUNDS,Front_9_Par_5_Scoring_Average_AVG,Front_9_Par_5_Scoring_Average_TOTAL STROKES,Front_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Adam Scott,41,4.35,283,65
1,2,2,Troy Merritt,42,4.37,284,65
2,3,3,Adam Hadwin,66,4.41,437,99
3,4,4,Matt Jones,67,4.42,469,106
4,T5,T5,Bryson DeChambeau,45,4.44,284,64
5,T5,T5,Hideki Matsuyama,59,4.44,391,88
6,T7,T7,Sam Burns,66,4.46,468,105
7,T7,T7,Paul Casey,51,4.46,330,74
8,T7,T18,Wyndham Clark,61,4.46,437,98
9,T7,T7,Tommy Fleetwood,43,4.46,263,59
10,T7,T12,Sungjae Im,88,4.46,598,134
11,T7,T12,Matt Kuchar,65,4.46,388,87
12,T7,T7,Marc Leishman,52,4.46,366,82
13,T7,T7,Nick Watney,67,4.46,446,100
14,T15,T12,Tony Finau,61,4.47,380,85
15,T15,T26,Justin Thomas,49,4.47,304,68
16,T15,T12,Aaron Wise,52,4.47,349,78
17,T18,T18,Roberto Díaz,51,4.48,354,79
18,T18,T18,Xander Schauffele,55,4.48,385,86
19,T18,T18,Tiger Woods,31,4.48,188,42
20,T21,T18,Dylan Frittelli,55,4.49,382,85
21,T21,T23,Emiliano Grillo,65,4.49,458,102
22,T21,T31,Kramer Hickok,59,4.49,422,94
23,24,T26,C.T. Pan,64,4.5,481,107
24,T25,T23,Cody Gribble,52,4.51,334,74
25,T25,T28,James Hahn,34,4.51,257,57
26,T25,T31,Dustin Johnson,47,4.51,320,71
27,T25,T23,Denny McCarthy,63,4.51,437,97
28,T25,T28,Brady Schnell,38,4.51,293,65
29,T30,T31,Stephan Jaeger,59,4.52,393,87
30,T30,T31,Scott Piercy,70,4.52,484,107
31,T30,T31,Rory Sabbatini,71,4.52,511,113
32,T30,T31,Gary Woodland,63,4.52,425,94
33,T34,T40,Kiradech Aphibarnrat,49,4.53,335,74
34,T34,T40,Patrick Cantlay,49,4.53,326,72
35,T34,T31,Bud Cauley,61,4.53,448,99
36,T34,T40,Cameron Champ,58,4.53,385,85
37,T34,T40,Joel Dahmen,78,4.53,548,121
38,T34,T40,Luke List,52,4.53,358,79
39,T34,T40,Trey Mullinax,67,4.53,444,98
40,T34,T31,Carlos Ortiz,60,4.53,421,93
41,T34,T40,Justin Rose,42,4.53,290,64
42,T34,T12,D.J. Trahan,33,4.53,240,53
43,T44,T55,Cameron Davis,54,4.54,395,87
44,T44,T49,Bill Haas,58,4.54,395,87
45,T44,T64,Hank Lebioda,55,4.54,372,82
46,T44,999,Shane Lowry,30,4.54,168,37
47,T44,T55,Sebastián Muñoz,58,4.54,409,90
48,T44,T49,J.T. Poston,76,4.54,531,117
49,T44,T79,Wes Roach,45,4.54,309,68
50,T44,T49,Sam Ryder,52,4.54,404,89
51,T44,T31,Kevin Tway,62,4.54,418,92
52,T44,T49,Jhonattan Vegas,60,4.54,418,92
53,T54,T49,Harris English,72,4.55,514,113
54,T54,T64,Julián Etulain,55,4.55,382,84
55,T54,T40,Jim Furyk,53,4.55,337,74
56,T54,T55,Max Homa,61,4.55,400,88
57,T54,T55,Martin Kaymer,38,4.55,273,60
58,T54,T28,Kelly Kraft,67,4.55,446,98
59,T54,T55,Martin Laird,60,4.55,405,89
60,T54,T55,Kyle Stanley,53,4.55,346,76
61,T54,T49,Sepp Straka,48,4.55,364,80
62,T63,T55,Dominic Bozzelli,53,4.56,365,80
63,T63,T64,Austin Cook,50,4.56,342,75
64,T63,T64,Tyler Duncan,66,4.56,479,105
65,T63,T64,Charles Howell III,64,4.56,461,101
66,T63,T55,Zach Johnson,50,4.56,342,75
67,T63,T64,Sung Kang,67,4.56,483,106
68,T63,T64,Brooks Koepka,49,4.56,310,68
69,T63,T40,Seth Reeves,52,4.56,374,82
70,T63,T64,John Senden,39,4.56,287,63
71,T63,T64,Brandt Snedeker,68,4.56,497,109
72,T63,T64,Peter Uihlein,65,4.56,470,103
73,T74,T75,Keith Mitchell,64,4.57,457,100
74,T74,T64,Seamus Power,58,4.57,398,87
75,T74,T75,Jon Rahm,51,4.57,329,72
76,T74,T126,Bubba Watson,47,4.57,274,60
77,T78,T79,Rafa Cabrera Bello,57,4.58,435,95
78,T78,T55,Sergio Garcia,39,4.58,183,40
79,T78,T79,Si Woo Kim,65,4.58,472,103
80,T78,T84,José de Jesús Rodríguez,51,4.58,385,84
81,T78,T75,Ollie Schniederjans,63,4.58,444,97
82,T78,T75,Johnson Wagner,45,4.58,330,72
83,T84,T79,Ben Crane,41,4.59,303,66
84,T84,T84,Ian Poulter,49,4.59,321,70
85,T84,T84,Andrew Putnam,57,4.59,399,87
86,T87,T93,Jason Dufner,56,4.6,400,87
