,Front_9_Round_4_Scoring_Average_RANK THIS WEEK,Front_9_Round_4_Scoring_Average_RANK LAST WEEK,Front_9_Round_4_Scoring_Average_PLAYER NAME,Front_9_Round_4_Scoring_Average_AVG,Front_9_Round_4_Scoring_Average_TOTAL STROKES,Front_9_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Sergio Garcia,33.0,198,6
1,2,2,Talor Gooch,33.5,201,6
2,3,3,Bryson DeChambeau,33.56,302,9
3,4,5,Tiger Woods,33.67,202,6
4,5,6,Charles Howell III,33.69,438,13
5,6,8,Ryan Armour,33.82,372,11
6,7,9,Austin Cook,33.83,203,6
7,8,10,Kyle Stanley,33.88,271,8
8,T9,T12,Stewart Cink,34.0,136,4
9,T9,T12,Cameron Davis,34.0,306,9
10,T9,19,Stephan Jaeger,34.0,272,8
11,T9,T12,Brooks Koepka,34.0,340,10
12,T9,T12,Ryan Moore,34.0,374,11
13,T9,T12,Trey Mullinax,34.0,408,12
14,T9,11,Ryan Palmer,34.0,340,10
15,T9,T12,Brady Schnell,34.0,136,4
16,17,18,Marc Leishman,34.09,375,11
17,T18,7,Ben Crane,34.17,205,6
18,T18,T20,Matt Every,34.17,205,6
19,T18,T20,Si Woo Kim,34.17,410,12
20,21,22,Dominic Bozzelli,34.22,308,9
21,22,999,Shane Lowry,34.25,137,4
22,23,23,Patrick Rodgers,34.29,240,7
23,24,24,Patrick Cantlay,34.3,343,10
24,25,25,Brian Stuard,34.33,515,15
25,26,26,Sung Kang,34.38,447,13
26,T27,27,Anders Albertson,34.4,172,5
27,T27,T41,Sebastián Muñoz,34.4,344,10
28,29,34,Sungjae Im,34.44,551,16
29,T30,T29,Sam Burns,34.45,379,11
30,T30,T29,Max Homa,34.45,379,11
31,T32,T120,Sangmoon Bae,34.5,138,4
32,T32,T31,Cameron Champ,34.5,345,10
33,T32,T31,Brice Garnett,34.5,345,10
34,T32,T31,Jim Herman,34.5,69,2
35,T32,T50,Hank Lebioda,34.5,345,10
36,T32,35,Cameron Tringale,34.5,345,10
37,38,T73,Rory McIlroy,34.55,380,11
38,39,37,Xander Schauffele,34.58,415,12
39,40,36,Brandt Snedeker,34.6,519,15
40,41,38,Chesson Hadley,34.63,277,8
41,42,T39,Andrew Putnam,34.64,381,11
42,T43,T41,Hunter Mahan,34.67,208,6
43,T43,T41,Scott Piercy,34.67,520,15
44,T43,T39,Webb Simpson,34.67,416,12
45,46,44,Jon Rahm,34.7,347,10
46,47,T45,Phil Mickelson,34.71,243,7
47,T48,T47,Russell Henley,34.75,278,8
48,T48,T47,Troy Merritt,34.75,278,8
49,T48,T47,Nick Watney,34.75,417,12
50,T51,T50,Corey Conners,34.78,313,9
51,T51,T50,Jason Day,34.78,313,9
52,T53,T50,Scott Brown,34.8,348,10
53,T53,T54,Patton Kizzire,34.8,348,10
54,T53,28,Scott Langley,34.8,348,10
55,T53,T54,Denny McCarthy,34.8,348,10
56,T57,T54,Justin Thomas,34.82,383,11
57,T57,64,Harold Varner III,34.82,383,11
58,59,T57,Seamus Power,34.83,209,6
59,T60,T57,Jonas Blixt,34.85,453,13
60,T60,59,Gary Woodland,34.85,453,13
61,T62,T45,Jim Knous,34.88,279,8
62,T62,60,Danny Willett,34.88,279,8
63,T64,T61,Andrew Landry,34.89,314,9
64,T64,T61,Hudson Swafford,34.89,314,9
65,T66,T65,Byeong Hun An,34.91,384,11
66,T66,T65,Bud Cauley,34.91,384,11
67,T66,T73,Dustin Johnson,34.91,384,11
68,T66,T65,Kevin Streelman,34.91,384,11
69,T66,T101,Kevin Tway,34.91,384,11
70,T71,T68,Rafa Cabrera Bello,34.92,454,13
71,T71,T68,Tony Finau,34.92,454,13
72,T71,T68,Lucas Glover,34.92,454,13
73,T71,T99,Jimmy Walker,34.92,454,13
74,75,T88,Matt Kuchar,34.93,489,14
75,76,72,Jason Kokrak,34.94,559,16
76,T77,T73,Bronson Burgoon,35.0,140,4
77,T77,T73,Ernie Els,35.0,280,8
78,T77,T73,J.J. Henry,35.0,140,4
79,T77,T73,Haotong Li,35.0,210,6
80,T77,T73,Adam Long,35.0,210,6
81,T77,T73,Carlos Ortiz,35.0,315,9
82,T77,71,Adam Schenk,35.0,560,16
83,T77,T73,Johnson Wagner,35.0,280,8
84,85,86,Billy Horschel,35.06,561,16
85,86,87,Hideki Matsuyama,35.07,491,14
86,T87,T88,Russell Knox,35.08,456,13
87,T87,T88,C.T. Pan,35.08,456,13
88,T87,T88,Jhonattan Vegas,35.08,421,12
89,T90,T92,Sam Ryder,35.09,386,11
90,T90,T92,Michael Thompson,35.09,386,11
91,92,T61,Roger Sloan,35.1,351,10
92,93,95,Aaron Wise,35.11,316,9
93,T94,96,J.T. Poston,35.13,527,15
94,T94,T73,Robert Streb,35.13,281,8
95,96,98,Rickie Fowler,35.15,457,13
96,T97,T99,Keith Mitchell,35.17,422,12
97,T97,T73,D.J. Trahan,35.17,211,6
98,T99,T73,Brian Harman,35.18,387,11
99,T99,94,Peter Malnati,35.18,387,11
100,T101,T101,Paul Casey,35.2,352,10
101,T101,97,Harris English,35.2,528,15
102,T101,T73,Jim Furyk,35.2,352,10
103,T101,T101,Rory Sabbatini,35.2,528,15
104,105,105,Abraham Ancer,35.21,493,14
105,T106,T106,Kiradech Aphibarnrat,35.22,317,9
106,T106,T106,Nate Lashley,35.22,317,9
107,T106,T106,"Ted Potter, Jr.",35.22,317,9
108,109,T110,Graeme McDowell,35.23,458,13
109,T110,T110,Roberto Díaz,35.25,282,8
110,T110,T110,Kyle Jones,35.25,141,4
111,T110,T110,Francesco Molinari,35.25,282,8
112,T110,T110,Vaughn Taylor,35.25,423,12
113,114,T126,Dylan Frittelli,35.27,388,11
114,T115,T116,Jason Dufner,35.29,247,7
115,T115,T116,Fabián Gómez,35.29,247,7
116,117,118,Richy Werenski,35.3,353,10
117,T118,T110,Keegan Bradley,35.31,459,13
118,T118,T126,Brian Gay,35.31,565,16
119,T118,119,Matt Jones,35.31,459,13
120,T121,T120,James Hahn,35.33,212,6
121,T121,T120,Chris Kirk,35.33,212,6
122,T121,T176,Rod Pampling,35.33,106,3
123,T121,T120,Chase Wright,35.33,212,6
124,T125,109,Nick Taylor,35.36,495,14
125,T125,T101,Peter Uihlein,35.36,389,11
126,127,125,Anirban Lahiri,35.38,283,8
127,T128,T145,Roberto Castro,35.4,354,10
128,T128,T126,Kramer Hickok,35.4,354,10
129,T128,T133,Zach Johnson,35.4,354,10
130,131,T129,Kevin Kisner,35.42,425,12
