,Front_9_Round_2_Scoring_Average_RANK THIS WEEK,Front_9_Round_2_Scoring_Average_RANK LAST WEEK,Front_9_Round_2_Scoring_Average_PLAYER NAME,Front_9_Round_2_Scoring_Average_AVG,Front_9_Round_2_Scoring_Average_TOTAL STROKES,Front_9_Round_2_Scoring_Average_TOTAL ROUNDS
134,T134,T123,Billy Horschel,35.47,603,17
135,T134,T119,Whee Kim,35.47,674,19
136,T134,T123,"Ted Potter, Jr.",35.47,603,17
137,T134,T123,Kevin Streelman,35.47,674,19
138,T139,T127,Branden Grace,35.5,568,16
139,T139,T127,Max Homa,35.5,639,18
140,T139,T136,Kyle Jones,35.5,639,18
141,T139,T123,J.J. Spaun,35.5,639,18
142,T139,146,Robert Streb,35.5,710,20
143,144,T142,Ryan Armour,35.52,746,21
144,T145,T136,Sam Burns,35.53,675,19
145,T145,T136,Patton Kizzire,35.53,604,17
146,T145,T136,Chez Reavie,35.53,604,17
147,T145,T150,Danny Willett,35.53,533,15
148,T149,T142,Jason Day,35.55,391,11
149,T149,T148,Brice Garnett,35.55,711,20
150,T149,T148,Brandon Harkins,35.55,711,20
151,152,145,Bronson Burgoon,35.57,498,14
152,T153,T150,Roberto Castro,35.6,534,15
153,T153,T150,Roberto Díaz,35.6,534,15
154,T153,T136,Roger Sloan,35.6,712,20
155,156,T136,Chase Wright,35.61,641,18
156,T157,T170,Brian Harman,35.62,748,21
157,T157,T156,Alex Noren,35.62,463,13
158,T159,T177,Jim Herman,35.63,570,16
159,T159,T127,Scott Stallings,35.63,677,19
160,161,T150,Pat Perez,35.64,499,14
161,T162,T156,Jason Dufner,35.67,642,18
162,T162,T170,Tyler Duncan,35.67,749,21
163,T162,T156,Si Woo Kim,35.67,642,18
164,T162,T175,Sepp Straka,35.67,535,15
165,166,160,Ryan Moore,35.69,571,16
166,T167,184,Stephan Jaeger,35.72,643,18
167,T167,147,Shawn Stefani,35.72,643,18
168,169,999,Tyrone Van Aswegen,35.73,393,11
169,T170,T162,Stewart Cink,35.75,429,12
170,T170,T162,Chris Kirk,35.75,572,16
171,T170,T177,Jim Knous,35.75,572,16
172,T170,T162,Anirban Lahiri,35.75,572,16
173,T170,T162,Haotong Li,35.75,286,8
174,T170,T162,Phil Mickelson,35.75,429,12
175,T176,T127,Anders Albertson,35.76,608,17
176,T176,169,Jhonattan Vegas,35.76,608,17
177,T178,192,Cameron Tringale,35.79,501,14
178,T178,174,Peter Uihlein,35.79,680,19
179,180,173,Charley Hoffman,35.82,609,17
180,T181,T175,Byeong Hun An,35.86,502,14
181,T181,T185,Joey Garber,35.86,502,14
182,183,191,Mackenzie Hughes,35.89,646,18
183,184,182,John Huh,35.92,467,13
184,T185,T195,John Chin,35.93,503,14
185,T185,183,Luke List,35.93,539,15
186,187,179,Jimmy Walker,35.94,611,17
187,T188,T180,Scott Langley,35.95,683,19
188,T188,T180,Ollie Schniederjans,35.95,719,20
189,T190,T193,Lucas Bjerregaard,36.0,324,9
190,T190,T185,Tyrrell Hatton,36.0,432,12
191,T190,T185,Adam Long,36.0,684,19
192,193,T185,Seamus Power,36.05,721,20
193,194,T185,Seth Reeves,36.06,613,17
194,195,T197,Nate Lashley,36.08,433,12
195,196,T193,Satoshi Kodaira,36.13,542,15
196,T197,T195,Ryan Blaum,36.15,723,20
197,T197,T185,David Hearn,36.15,470,13
198,T199,202,Cody Gribble,36.18,615,17
199,T199,T197,Charl Schwartzel,36.18,398,11
200,201,999,Martin Piller,36.2,362,10
201,202,199,Hudson Swafford,36.21,688,19
202,203,201,D.A. Points,36.25,435,12
203,204,200,J.J. Henry,36.43,510,14
204,205,999,Shane Lowry,36.75,294,8
205,T206,204,Michael Kim,36.8,736,20
206,T206,206,Rod Pampling,36.8,552,15
207,208,205,Chris Stroud,36.94,628,17
208,209,207,Grayson Murray,37.18,409,11
