,Par_4_Eagle_Leaders_RANK THIS WEEK,Par_4_Eagle_Leaders_RANK LAST WEEK,Par_4_Eagle_Leaders_PLAYER NAME,Par_4_Eagle_Leaders_ROUNDS,Par_4_Eagle_Leaders_TOTAL,Par_4_Eagle_Leaders_TOTAL PAR 4 HOLES,Par_4_Eagle_Leaders_TOTAL HOLE OUTS
0,T1,T2,Jonas Blixt,66,4,685,3.0
1,T1,1,Rickie Fowler,54,4,580,2.0
2,T3,T2,Paul Casey,51,3,495,2.0
3,T3,T2,Roberto Díaz,51,3,491,3.0
4,T3,T2,Jason Day,45,3,413,2.0
5,T3,T2,Tyler Duncan,66,3,683,2.0
6,T3,T2,Danny Lee,66,3,696,2.0
7,T3,T2,Chez Reavie,67,3,639,3.0
8,T9,T9,Sam Burns,66,2,684,1.0
9,T9,T9,Rafa Cabrera Bello,57,2,559,1.0
10,T9,T9,Patrick Cantlay,49,2,464,1.0
11,T9,T9,Tommy Fleetwood,43,2,379,1.0
12,T9,T9,Dylan Frittelli,55,2,561,2.0
13,T9,T9,Chesson Hadley,58,2,589,1.0
14,T9,T9,Charles Howell III,64,2,651,1.0
15,T9,,Sungjae Im,88,2,894,1.0
16,T9,T9,Patton Kizzire,58,2,600,2.0
17,T9,T9,Rory McIlroy,50,2,492,1.0
18,T9,T9,Keith Mitchell,64,2,651,
19,T9,T9,Ollie Schniederjans,63,2,651,1.0
20,T9,T9,Adam Scott,41,2,409,1.0
21,T9,T9,Webb Simpson,53,2,552,1.0
22,T9,T9,Roger Sloan,62,2,664,1.0
23,T9,T9,Shawn Stefani,57,2,560,2.0
24,T9,T9,Kevin Streelman,63,2,643,2.0
25,T9,T27,D.J. Trahan,33,2,323,2.0
26,T9,T27,Peter Uihlein,65,2,667,1.0
27,T9,T9,Jhonattan Vegas,60,2,618,1.0
28,T9,T9,Nick Watney,67,2,667,1.0
29,T30,T27,Byeong Hun An,54,1,543,
30,T30,T27,Abraham Ancer,69,1,688,
31,T30,T27,Aaron Baddeley,51,1,531,1.0
32,T30,,Dominic Bozzelli,53,1,551,
33,T30,T27,Scott Brown,66,1,669,1.0
34,T30,T27,Austin Cook,50,1,487,
35,T30,T27,Ernie Els,43,1,437,
36,T30,T27,Harris English,72,1,750,
37,T30,T27,Julián Etulain,55,1,535,1.0
38,T30,T27,Matthew Fitzpatrick,42,1,413,
39,T30,,Joey Garber,44,1,423,
40,T30,T27,Brice Garnett,63,1,655,1.0
41,T30,T27,Lucas Glover,62,1,609,
42,T30,T27,Bill Haas,58,1,577,
43,T30,,Adam Hadwin,66,1,661,1.0
44,T30,T27,James Hahn,34,1,355,
45,T30,T27,David Hearn,41,1,389,1.0
46,T30,T27,Russell Henley,56,1,559,1.0
47,T30,T27,J.J. Henry,42,1,407,
48,T30,T27,Max Homa,61,1,633,1.0
49,T30,T27,Beau Hossler,66,1,697,1.0
50,T30,T27,Freddie Jacobson,37,1,373,
51,T30,T27,Dustin Johnson,47,1,467,
52,T30,T27,Matt Jones,67,1,663,
53,T30,T27,Kyle Jones,49,1,499,1.0
54,T30,T27,Si Woo Kim,65,1,627,1.0
55,T30,T27,Michael Kim,51,1,515,
56,T30,T27,Kevin Kisner,65,1,571,1.0
57,T30,T27,Brooks Koepka,49,1,456,
58,T30,T27,Hank Lebioda,55,1,541,1.0
59,T30,T27,Kyoung-Hoon Lee,72,1,721,1.0
60,T30,T27,Haotong Li,32,1,292,1.0
61,T30,T27,Adam Long,52,1,555,1.0
62,T30,T27,Peter Malnati,64,1,644,1.0
63,T30,T27,Phil Mickelson,41,1,399,
64,T30,T27,Francesco Molinari,41,1,366,
65,T30,T27,Ryan Moore,54,1,562,1.0
66,T30,T27,Grayson Murray,36,1,374,
67,T30,T27,Kevin Na,54,1,524,1.0
68,T30,T27,Alex Noren,49,1,496,
69,T30,T27,Louis Oosthuizen,43,1,370,1.0
70,T30,T27,Ryan Palmer,56,1,563,
71,T30,,Rod Pampling,40,1,405,1.0
72,T30,T27,C.T. Pan,64,1,654,1.0
73,T30,T27,J.T. Poston,76,1,770,
74,T30,T27,Patrick Reed,53,1,505,1.0
75,T30,T27,Seth Reeves,52,1,531,1.0
76,T30,T27,Patrick Rodgers,44,1,467,1.0
77,T30,T27,Justin Rose,42,1,400,1.0
78,T30,T27,Sam Ryder,52,1,540,1.0
79,T30,T27,Rory Sabbatini,71,1,709,
80,T30,T27,Xander Schauffele,55,1,552,1.0
81,T30,T27,Adam Schenk,80,1,827,1.0
82,T30,T27,Charl Schwartzel,34,1,331,1.0
83,T30,T27,J.J. Spaun,68,1,683,1.0
84,T30,T27,Kyle Stanley,53,1,508,
85,T30,T27,Sepp Straka,48,1,479,1.0
86,T30,T27,Robert Streb,60,1,594,1.0
87,T30,T27,Brian Stuard,76,1,761,1.0
88,T30,T27,Adam Svensson,51,1,517,1.0
89,T30,T27,Nick Taylor,70,1,701,
90,T30,,Chris Thompson,34,1,357,1.0
91,T30,T27,Martin Trainer,51,1,534,
92,T30,T27,Harold Varner III,62,1,644,1.0
93,T30,T27,Matt Wallace,31,1,302,
94,T30,T27,Richy Werenski,63,1,651,1.0
95,T30,T27,Gary Woodland,63,1,643,
