,Par_3_Scoring_Average_RANK THIS WEEK,Par_3_Scoring_Average_RANK LAST WEEK,Par_3_Scoring_Average_PLAYER NAME,Par_3_Scoring_Average_ROUNDS,Par_3_Scoring_Average_AVG,Par_3_Scoring_Average_TOTAL STROKES,Par_3_Scoring_Average_TOTAL HOLES
0,1,2,Tiger Woods,31,2.95,307,104
1,2,T3,Rory McIlroy,50,2.96,532,180
2,T3,T5,Danny Lee,66,2.97,773,260
3,T3,T5,Marc Leishman,52,2.97,558,188
4,T5,T5,Anders Albertson,48,2.98,552,185
5,T5,T9,Jason Kokrak,68,2.98,776,260
6,T5,T3,Scott Piercy,70,2.98,777,261
7,T5,T9,Andrew Putnam,57,2.98,611,205
8,T5,T5,Aaron Wise,52,2.98,572,192
9,T10,T12,Jason Day,45,2.99,476,159
10,T10,T12,Lucas Glover,62,2.99,709,237
11,T10,T12,Billy Horschel,73,2.99,778,260
12,T10,T12,Stephan Jaeger,59,2.99,666,223
13,T10,T9,Denny McCarthy,63,2.99,718,240
14,T10,T12,Wes Roach,45,2.99,518,173
15,T10,T12,Justin Rose,42,2.99,454,152
16,T10,T12,Jordan Spieth,57,2.99,648,217
17,T18,T20,Rickie Fowler,54,3.0,649,216
18,T18,T20,Scott Langley,60,3.0,704,235
19,T18,T20,Hideki Matsuyama,59,3.0,672,224
20,T18,T20,Jon Rahm,51,3.0,528,176
21,T22,T26,Aaron Baddeley,51,3.01,618,205
22,T22,T12,Alex Cejka,41,3.01,460,153
23,T22,T41,Matt Every,38,3.01,412,137
24,T22,T26,Tony Finau,61,3.01,678,225
25,T22,T26,Emiliano Grillo,65,3.01,746,248
26,T22,T26,James Hahn,34,3.01,413,137
27,T22,T26,Justin Harding,31,3.01,289,96
28,T22,T26,John Huh,35,3.01,425,141
29,T22,T26,Peter Malnati,64,3.01,738,245
30,T22,T26,Rory Sabbatini,71,3.01,821,273
31,T22,T20,Shawn Stefani,57,3.01,650,216
32,T22,T26,Vaughn Taylor,69,3.01,822,273
33,T22,T26,Michael Thompson,56,3.01,684,227
34,T35,T26,Ryan Armour,66,3.02,813,269
35,T35,T41,Jonas Blixt,66,3.02,789,261
36,T35,T41,Patrick Cantlay,49,3.02,531,176
37,T35,T26,Bud Cauley,61,3.02,743,246
38,T35,T26,Corey Conners,62,3.02,703,233
39,T35,T41,Joel Dahmen,78,3.02,907,300
40,T35,T41,Charles Howell III,64,3.02,725,240
41,T35,T41,Patton Kizzire,58,3.02,677,224
42,T35,T20,Kelly Kraft,67,3.02,776,257
43,T35,T51,Matt Kuchar,65,3.02,691,229
44,T35,T41,Troy Merritt,42,3.02,447,148
45,T35,T41,Ryan Moore,54,3.02,658,218
46,T35,T41,Xander Schauffele,55,3.02,616,204
47,T35,T41,Brian Stuard,76,3.02,884,293
48,T35,T26,Nick Watney,67,3.02,775,257
49,T50,T64,Keegan Bradley,65,3.03,696,230
50,T50,T51,Cameron Champ,58,3.03,669,221
51,T50,T51,Bryson DeChambeau,45,3.03,497,164
52,T50,T51,Freddie Jacobson,37,3.03,433,143
53,T50,T64,Dustin Johnson,47,3.03,537,177
54,T50,T51,Sung Kang,67,3.03,802,265
55,T50,T51,Martin Laird,60,3.03,681,225
56,T50,T51,Kevin Na,54,3.03,594,196
57,T50,T51,Pat Perez,52,3.03,610,201
58,T50,T64,Webb Simpson,53,3.03,600,198
59,T50,T26,Josh Teater,47,3.03,548,181
60,T50,T64,D.J. Trahan,33,3.03,379,125
61,T62,T64,Ryan Blaum,67,3.04,777,256
62,T62,T51,Ben Crane,41,3.04,501,165
63,T62,T64,Francesco Molinari,41,3.04,401,132
64,T62,T51,Adam Schenk,80,3.04,958,315
65,T62,T64,Ollie Schniederjans,63,3.04,748,246
66,T62,T64,Ben Silverman,54,3.04,666,219
67,T62,T51,Chris Stroud,54,3.04,624,205
68,T62,T51,Hudson Swafford,59,3.04,699,230
69,T62,T79,Kevin Tway,62,3.04,700,230
70,T62,T64,Johnson Wagner,45,3.04,526,173
71,T62,T64,Jimmy Walker,61,3.04,744,245
72,T62,T64,Richy Werenski,63,3.04,752,247
73,T74,T79,Abraham Ancer,69,3.05,781,256
74,T74,T51,Dominic Bozzelli,53,3.05,625,205
75,T74,T100,Roberto Castro,54,3.05,625,205
76,T74,T79,Stewart Cink,33,3.05,409,134
77,T74,T100,Jim Furyk,53,3.05,601,197
78,T74,T79,Talor Gooch,37,3.05,455,149
79,T74,T79,Tyrrell Hatton,46,3.05,518,170
80,T74,T64,Jim Herman,37,3.05,458,150
81,T74,T79,Charley Hoffman,58,3.05,673,221
82,T74,T79,Tom Hoge,70,3.05,814,267
83,T74,T79,Sungjae Im,88,3.05,1039,341
84,T74,T79,Martin Kaymer,38,3.05,463,152
85,T74,T79,Si Woo Kim,65,3.05,736,241
86,T74,T79,Kevin Kisner,65,3.05,675,221
87,T74,T79,Andrew Landry,56,3.05,635,208
88,T74,T100,Graeme McDowell,61,3.05,710,233
89,T74,T121,Sebastián Muñoz,58,3.05,692,227
90,T74,T79,D.A. Points,33,3.05,412,135
91,T74,T79,Patrick Rodgers,44,3.05,546,179
92,T74,T100,José de Jesús Rodríguez,51,3.05,632,207
93,T74,T79,Justin Thomas,49,3.05,549,180
94,T74,T79,Harold Varner III,62,3.05,743,244
95,T74,T79,Gary Woodland,63,3.05,725,238
96,T74,T64,Chase Wright,53,3.05,631,207
97,T98,T64,Austin Cook,50,3.06,578,189
98,T98,T79,Cameron Davis,54,3.06,646,211
99,T98,T100,Julián Etulain,55,3.06,639,209
100,T98,T100,Tommy Fleetwood,43,3.06,444,145
101,T98,T100,Beau Hossler,66,3.06,817,267
102,T98,T121,Mackenzie Hughes,58,3.06,677,221
103,T98,T79,Zach Johnson,50,3.06,624,204
104,T98,T100,Michael Kim,51,3.06,597,195
105,T98,T100,Russell Knox,65,3.06,725,237
106,T98,T100,Anirban Lahiri,54,3.06,624,204
107,T98,T79,Hank Lebioda,55,3.06,639,209
108,T98,T100,Kyoung-Hoon Lee,72,3.06,838,274
109,T98,999,Shane Lowry,30,3.06,309,101
110,T98,T100,Ryan Palmer,56,3.06,640,209
111,T98,T100,Chez Reavie,67,3.06,744,243
112,T98,T100,Sam Saunders,53,3.06,665,217
113,T98,T100,Cameron Smith,55,3.06,612,200
114,T98,T64,Adam Svensson,51,3.06,608,199
115,T116,T121,Bronson Burgoon,37,3.07,454,148
116,T116,T100,Jonathan Byrd,43,3.07,506,165
117,T116,T100,Roberto Díaz,51,3.07,592,193
118,T116,T121,Jason Dufner,56,3.07,670,218
119,T116,T79,Tyler Duncan,66,3.07,795,259
120,T116,T121,Ernie Els,43,3.07,506,165
121,T116,T100,Brice Garnett,63,3.07,745,243
122,T116,T121,Fabián Gómez,44,3.07,544,177
123,T116,T139,Adam Hadwin,66,3.07,770,251
124,T116,T100,Russell Henley,56,3.07,653,213
125,T116,T100,J.B. Holmes,54,3.07,580,189
126,T116,T121,Max Homa,61,3.07,734,239
127,T116,T121,Whee Kim,57,3.07,654,213
128,T116,T121,Phil Mickelson,41,3.07,469,153
129,T116,T121,Patrick Reed,53,3.07,586,191
