,Par_4_Performance_RANK THIS WEEK,Par_4_Performance_RANK LAST WEEK,Par_4_Performance_PLAYER NAME,Par_4_Performance_ROUNDS,Par_4_Performance_STATUS,Par_4_Performance_PAR 4 AVG,Par_4_Performance_TOTAL PAR
0,1,1,Patrick Cantlay,49,-35,3.92,1856
1,2,T3,Matt Kuchar,65,-29,3.95,2524
2,3,T7,Webb Simpson,53,-26,3.95,2208
3,4,T3,Dustin Johnson,47,-25,3.95,1868
4,5,2,Scott Piercy,70,-24,3.97,2860
5,T6,5,Brooks Koepka,49,-21,3.95,1824
6,T6,6,Justin Thomas,49,-21,3.96,2000
7,8,T10,Ryan Palmer,56,-20,3.96,2252
8,9,T23,Rory McIlroy,50,-19,3.96,1968
9,T10,T7,Rickie Fowler,54,-18,3.97,2320
10,T10,14,Jim Furyk,53,-18,3.97,2068
11,T10,T7,Charles Howell III,64,-18,3.97,2604
12,T13,T10,Aaron Baddeley,51,-17,3.97,2124
13,T13,T10,Rafa Cabrera Bello,57,-17,3.97,2236
14,T13,T10,Lucas Glover,62,-17,3.97,2436
15,16,15,Nate Lashley,44,-13,3.97,1780
16,T17,T16,Xander Schauffele,55,-10,3.98,2208
17,T17,T16,Brian Stuard,76,-10,3.99,3044
18,T17,T16,Gary Woodland,63,-10,3.98,2572
19,20,T28,Jonathan Byrd,43,-9,3.98,1724
20,21,T19,Jason Day,45,-8,3.98,1652
21,T22,T21,Chez Reavie,67,-7,3.99,2556
22,T22,T21,Justin Rose,42,-7,3.98,1600
23,T24,T23,Abraham Ancer,69,-6,3.99,2752
24,T24,T23,Phil Mickelson,41,-6,3.98,1596
25,T24,T23,Jon Rahm,51,-6,3.99,1840
26,T27,T28,Si Woo Kim,65,-4,3.99,2508
27,T27,T33,Cameron Tringale,52,-4,3.99,2004
28,T29,27,Dominic Bozzelli,53,-3,3.99,2204
29,T29,30,Talor Gooch,37,-3,3.99,1604
30,T29,T19,D.J. Trahan,33,-3,3.99,1292
31,T32,T37,Jonas Blixt,66,-1,4.0,2740
32,T32,T31,Jason Kokrak,68,-1,4.0,2688
33,T34,T49,Harris English,72,E,4.0,3000
34,T34,T33,Hideki Matsuyama,59,E,4.0,2384
35,T34,T55,Graeme McDowell,61,E,4.0,2444
36,T34,T33,Tiger Woods,31,E,4.0,1088
37,38,36,Paul Casey,51,+1,4.0,1980
38,T39,T37,Tommy Fleetwood,43,+2,4.01,1516
39,T39,T37,Troy Merritt,42,+2,4.0,1640
40,T39,T37,Louis Oosthuizen,43,+2,4.01,1480
41,T42,T41,Kevin Kisner,65,+3,4.01,2284
42,T42,T41,Adam Scott,41,+3,4.01,1636
43,T44,T55,Ryan Armour,66,+4,4.01,2812
44,T44,T49,Russell Henley,56,+4,4.01,2236
45,T44,T60,Sungjae Im,88,+4,4.0,3576
46,T44,T44,C.T. Pan,64,+4,4.01,2616
47,T44,T44,Kevin Streelman,63,+4,4.01,2572
48,T49,T49,Alex Prugh,54,+5,4.01,2112
49,T49,T46,Sam Ryder,52,+5,4.01,2160
50,T49,T46,Harold Varner III,62,+5,4.01,2576
51,T52,T41,David Hearn,41,+6,4.02,1556
52,T52,T49,Marc Leishman,52,+6,4.01,2032
