,First_Tee_Early_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_2_Scoring_Average_AVG,First_Tee_Early_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,T1,1,Sergio Garcia,66.0,66,1
1,T1,,Henrik Stenson,66.0,66,1
2,3,2,Jim Furyk,66.5,133,2
3,T4,T3,Tony Finau,67.0,67,1
4,T4,T3,J.B. Holmes,67.0,67,1
5,T4,T3,Sam Ryder,67.0,67,1
6,T7,T7,Tommy Fleetwood,67.5,135,2
7,T7,T7,Lucas Glover,67.5,135,2
8,T9,T9,Aaron Baddeley,67.67,203,3
9,T9,T9,Johnson Wagner,67.67,203,3
10,T11,T11,Byeong Hun An,68.0,68,1
11,T11,T11,Ryan Blaum,68.0,204,3
12,T11,T11,Matt Every,68.0,136,2
13,T11,T11,Luke List,68.0,136,2
14,T11,T11,Troy Merritt,68.0,340,5
15,T11,T11,Justin Thomas,68.0,68,1
16,T17,T17,Michael Thompson,68.25,273,4
17,T17,T17,Martin Trainer,68.25,273,4
18,19,19,Ernie Els,68.33,205,3
19,20,20,Graeme McDowell,68.4,342,5
20,T21,T21,Jason Day,68.5,137,2
21,T21,6,Julián Etulain,68.5,274,4
22,T21,T21,Charles Howell III,68.5,274,4
23,24,23,Stewart Cink,68.6,343,5
24,25,24,Sungjae Im,68.63,549,8
25,26,25,Whee Kim,68.67,412,6
26,27,26,Nick Watney,68.75,275,4
27,28,27,Jonas Blixt,68.83,413,6
28,T29,T28,Jason Dufner,69.0,276,4
29,T29,T28,Jason Kokrak,69.0,207,3
30,T29,T28,Martin Laird,69.0,207,3
31,T29,T47,Scott Langley,69.0,207,3
32,T29,999,Martin Piller,69.0,138,2
33,T29,T28,Webb Simpson,69.0,69,1
34,T29,T28,Jordan Spieth,69.0,138,2
35,T29,T28,Bubba Watson,69.0,138,2
36,37,36,Denny McCarthy,69.13,553,8
37,T38,46,Tyler Duncan,69.17,415,6
38,T38,T37,Beau Hossler,69.17,415,6
39,T38,T37,Sung Kang,69.17,415,6
40,41,39,Kyoung-Hoon Lee,69.2,346,5
41,42,40,Xander Schauffele,69.25,277,4
42,T43,T41,Brian Gay,69.29,485,7
43,T43,T41,Roger Sloan,69.29,485,7
44,T43,T41,Brian Stuard,69.29,485,7
45,T46,T44,Brandon Harkins,69.33,416,6
46,T46,T44,Curtis Luck,69.33,208,3
47,T46,T28,Alex Prugh,69.33,416,6
48,T49,T47,Patrick Cantlay,69.5,278,4
49,T49,T51,Harris English,69.5,417,6
50,T51,T51,Wyndham Clark,69.6,348,5
51,T51,T51,Kelly Kraft,69.6,348,5
52,T51,T47,Richy Werenski,69.6,348,5
53,54,54,Nick Taylor,69.63,557,8
54,T55,T55,Dustin Johnson,69.67,209,3
55,T55,T55,Jim Knous,69.67,209,3
56,57,57,Vaughn Taylor,69.8,349,5
