,Round_3_Scoring_Average_RANK THIS WEEK,Round_3_Scoring_Average_RANK LAST WEEK,Round_3_Scoring_Average_PLAYER NAME,Round_3_Scoring_Average_AVG,Round_3_Scoring_Average_TOTAL STROKES,Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Patrick Cantlay,67.6,676,10
1,2,T2,Matt Every,67.67,406,6
2,3,4,Webb Simpson,68.25,819,12
3,4,5,Chris Kirk,68.43,479,7
4,5,T2,Dominic Bozzelli,68.6,686,10
5,6,6,Lucas Glover,68.69,893,13
6,7,7,Hideki Matsuyama,68.71,962,14
7,8,999,Shane Lowry,68.8,344,5
8,9,T26,Rory McIlroy,68.82,757,11
9,10,8,Xander Schauffele,68.83,826,12
10,11,17,Jim Furyk,68.9,689,10
11,12,10,Aaron Baddeley,68.91,758,11
12,T13,T11,Anders Albertson,69.0,483,7
13,T13,T11,John Huh,69.0,345,5
14,T15,T14,Justin Thomas,69.09,760,11
15,T15,9,Harold Varner III,69.09,760,11
16,T17,T14,Paul Casey,69.1,691,10
17,T17,T14,Aaron Wise,69.1,691,10
18,19,18,Rickie Fowler,69.15,899,13
19,T20,T19,Jhonattan Vegas,69.17,830,12
20,T20,T19,Tiger Woods,69.17,415,6
21,T22,T26,Dustin Johnson,69.18,761,11
22,T22,21,Andrew Putnam,69.18,761,11
23,24,22,Jon Rahm,69.2,692,10
24,25,23,Tony Finau,69.23,900,13
25,T26,T24,Denny McCarthy,69.27,762,11
26,T26,T24,Scott Piercy,69.27,1039,15
27,28,T28,Roberto Castro,69.3,693,10
28,T29,T28,Nate Lashley,69.33,624,9
29,T29,T40,Peter Uihlein,69.33,832,12
30,31,T30,Jason Kokrak,69.38,1110,16
31,32,32,Emiliano Grillo,69.4,1041,15
32,T33,T36,Matt Kuchar,69.43,972,14
33,T33,T36,J.J. Spaun,69.43,972,14
34,T35,88,Jonathan Byrd,69.44,625,9
35,T35,33,Shawn Stefani,69.44,625,9
36,37,T34,Bill Haas,69.45,764,11
37,T38,44,Robert Streb,69.5,556,8
38,T38,38,Chris Stroud,69.5,556,8
39,40,39,Chez Reavie,69.54,904,13
40,T41,T40,Charley Hoffman,69.55,765,11
41,T41,T40,Marc Leishman,69.55,765,11
42,43,43,Adam Scott,69.56,626,9
43,44,45,Si Woo Kim,69.58,835,12
44,45,T47,Harris English,69.6,1044,15
45,46,T47,Corey Conners,69.64,766,11
46,T47,T34,Martin Laird,69.67,836,12
47,T47,T50,Carlos Ortiz,69.67,627,9
48,T47,T50,Alex Prugh,69.67,627,9
49,50,T67,Danny Lee,69.69,906,13
50,T51,T53,Troy Merritt,69.75,558,8
51,T51,T53,Louis Oosthuizen,69.75,558,8
52,T53,55,Cameron Davis,69.78,628,9
53,T53,T30,Bubba Watson,69.78,628,9
54,T55,T56,Stewart Cink,69.8,349,5
55,T55,T56,Ollie Schniederjans,69.8,698,10
56,T55,T61,Cameron Tringale,69.8,698,10
57,58,59,Sergio Garcia,69.83,419,6
58,59,60,Nick Watney,69.85,908,13
59,T60,46,Nick Taylor,69.86,978,14
60,T60,T11,D.J. Trahan,69.86,489,7
61,62,T50,Adam Schenk,69.88,1118,16
62,T63,T61,Kiradech Aphibarnrat,69.89,629,9
63,T63,T61,Bryson DeChambeau,69.89,629,9
64,T65,T64,Chesson Hadley,69.9,699,10
65,T65,T64,Luke List,69.9,699,10
66,67,66,Cameron Smith,69.91,769,11
67,T68,T67,Sam Burns,69.92,909,13
68,T68,T67,Bud Cauley,69.92,839,12
69,70,70,Kyoung-Hoon Lee,69.93,1049,15
70,T71,T72,Cameron Champ,70.0,770,11
71,T71,T72,Austin Cook,70.0,560,8
72,T71,T72,Julián Etulain,70.0,700,10
73,T71,93,Adam Hadwin,70.0,980,14
74,T71,T72,James Hahn,70.0,560,8
75,T71,T72,Grayson Murray,70.0,490,7
76,T71,94,Henrik Stenson,70.0,630,9
77,T71,T72,Michael Thompson,70.0,770,11
78,79,80,J.T. Poston,70.07,1051,15
79,T80,T47,Dylan Frittelli,70.08,841,12
80,T80,T81,Russell Knox,70.08,911,13
81,T80,T81,C.T. Pan,70.08,911,13
82,T80,T81,Kevin Streelman,70.08,841,12
83,T80,T81,Richy Werenski,70.08,911,13
84,85,85,Brice Garnett,70.09,771,11
85,T86,T72,Ben Crane,70.11,631,9
86,T86,71,Sungjae Im,70.11,1262,18
87,T86,87,Johnson Wagner,70.11,631,9
88,89,89,Matt Jones,70.14,982,14
89,90,999,Martin Piller,70.17,421,6
90,91,86,Stephan Jaeger,70.18,772,11
91,T92,T72,Brooks Koepka,70.2,702,10
92,T92,92,Scott Langley,70.2,702,10
93,94,91,Abraham Ancer,70.21,983,14
94,T95,58,Scott Brown,70.25,843,12
95,T95,T100,Brandt Snedeker,70.25,1124,16
96,T97,T95,Kramer Hickok,70.27,773,11
97,T97,T95,Patrick Reed,70.27,773,11
98,99,T100,Joey Garber,70.29,492,7
99,100,T100,Zach Johnson,70.3,703,10
100,T101,T98,Joel Dahmen,70.31,1125,16
101,T101,T98,Charles Howell III,70.31,914,13
102,T103,T100,Kevin Kisner,70.33,844,12
103,T103,T100,Seth Reeves,70.33,633,9
104,T103,122,Roger Sloan,70.33,844,12
105,106,97,Hank Lebioda,70.36,774,11
106,T107,T107,Rafa Cabrera Bello,70.38,915,13
107,T107,T117,Peter Malnati,70.38,915,13
108,T107,T107,Keith Mitchell,70.38,915,13
109,T107,T107,Rory Sabbatini,70.38,1126,16
110,T111,T123,Daniel Berger,70.4,704,10
111,T111,T110,Justin Harding,70.4,352,5
112,T111,T110,Russell Henley,70.4,704,10
