,First_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_1_Scoring_Average_AVG,First_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Phil Mickelson,62.5,125,2
1,T2,T2,Dustin Johnson,66.0,66,1
2,T2,T2,Whee Kim,66.0,66,1
3,T2,T2,Justin Thomas,66.0,66,1
4,5,T21,Keegan Bradley,67.25,269,4
5,6,5,Chase Wright,67.33,202,3
6,7,T6,Jonathan Byrd,67.5,135,2
7,T8,T6,Tony Finau,68.0,204,3
8,T8,T6,Martin Laird,68.0,68,1
9,T8,T6,Jon Rahm,68.0,136,2
10,T8,,Wes Roach,68.0,68,1
11,T8,T6,Justin Rose,68.0,68,1
12,13,11,Kramer Hickok,68.2,341,5
13,14,12,Matt Jones,68.25,273,4
14,15,26,Scott Brown,68.29,478,7
15,16,13,Adam Scott,68.33,205,3
16,T17,T14,Bud Cauley,68.4,342,5
17,T17,T14,Gary Woodland,68.4,342,5
18,T19,T14,Roberto Díaz,68.5,411,6
19,T19,T18,Kevin Kisner,68.5,137,2
20,T19,T18,Scott Stallings,68.5,137,2
21,T19,T21,Cameron Tringale,68.5,274,4
22,23,20,Andrew Putnam,68.6,343,5
23,T24,T21,Russell Henley,68.67,206,3
24,T24,T21,Ryan Moore,68.67,206,3
25,T24,T21,Rory Sabbatini,68.67,412,6
26,T24,T14,Sam Saunders,68.67,412,6
27,T28,T27,Paul Casey,69.0,69,1
28,T28,T27,Jim Furyk,69.0,207,3
29,T28,T27,Stephan Jaeger,69.0,69,1
30,T28,T27,Francesco Molinari,69.0,69,1
31,T28,T27,John Senden,69.0,69,1
32,33,32,Denny McCarthy,69.17,415,6
33,34,T33,Ben Crane,69.2,346,5
34,35,T42,Jonas Blixt,69.22,623,9
35,T36,T33,Joey Garber,69.25,277,4
36,T36,T33,Jimmy Walker,69.25,277,4
37,T38,T36,Alex Cejka,69.33,208,3
38,T38,T36,Graeme McDowell,69.33,208,3
39,T38,T36,Ian Poulter,69.33,208,3
40,41,39,Russell Knox,69.38,555,8
41,T42,T40,Wyndham Clark,69.4,347,5
42,T42,T40,Harold Varner III,69.4,347,5
43,T44,T42,Dylan Frittelli,69.5,139,2
44,T44,T42,Martin Kaymer,69.5,139,2
45,T44,T42,Nate Lashley,69.5,278,4
46,T44,T42,Luke List,69.5,417,6
47,48,47,Andrew Landry,69.57,487,7
48,T49,T48,Ryan Blaum,69.67,209,3
49,T49,T48,Branden Grace,69.67,209,3
50,T49,T48,John Huh,69.67,209,3
51,T49,T48,Jim Knous,69.67,209,3
52,T49,T48,Brian Stuard,69.67,209,3
53,T49,T48,D.J. Trahan,69.67,209,3
