,Tenth_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_2_Scoring_Average_AVG,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Rory McIlroy,63.0,63,1
1,2,2,Paul Casey,64.0,64,1
2,T3,T3,Whee Kim,65.0,65,1
3,T3,T3,Ryan Palmer,65.0,65,1
4,T3,T3,Adam Scott,65.0,65,1
5,T3,T3,Justin Thomas,65.0,65,1
6,7,7,Stephan Jaeger,66.0,66,1
7,T8,T8,Sungjae Im,67.0,134,2
8,T8,T8,Ian Poulter,67.0,134,2
9,T10,T13,Brian Gay,67.5,270,4
10,T10,10,Kyle Jones,67.5,135,2
11,12,11,Cameron Smith,67.75,271,4
12,13,12,Scott Piercy,67.89,611,9
13,T14,T13,Joel Dahmen,68.0,68,1
14,T14,T13,Bryson DeChambeau,68.0,68,1
15,T14,T13,Bill Haas,68.0,68,1
16,T14,T13,Jon Rahm,68.0,136,2
17,T14,,Wes Roach,68.0,68,1
18,T14,T13,Justin Rose,68.0,68,1
19,20,T20,Abraham Ancer,68.25,273,4
20,T21,38,Scott Brown,68.33,410,6
21,T21,22,James Hahn,68.33,205,3
22,T23,T23,Jordan Spieth,68.5,137,2
23,T23,T23,Nick Taylor,68.5,137,2
24,25,25,Seamus Power,68.67,206,3
25,T26,26,Wyndham Clark,68.8,344,5
26,T26,T20,Alex Noren,68.8,344,5
27,T28,T27,Lucas Bjerregaard,69.0,69,1
28,T28,T27,Adam Hadwin,69.0,345,5
29,T28,T27,Peter Malnati,69.0,69,1
30,T28,T27,Sebastián Muñoz,69.0,138,2
31,T28,T27,Harold Varner III,69.0,276,4
32,33,44,Brian Harman,69.13,553,8
33,34,T32,Dominic Bozzelli,69.17,415,6
34,T35,T32,Talor Gooch,69.2,346,5
35,T35,T32,Vaughn Taylor,69.2,346,5
36,37,35,Brandon Harkins,69.25,277,4
37,38,36,Carlos Ortiz,69.29,485,7
38,39,37,Matt Wallace,69.33,208,3
39,T40,T13,Jonathan Byrd,69.5,139,2
40,T40,T39,Martin Kaymer,69.5,139,2
41,T42,T41,Beau Hossler,69.57,487,7
42,T42,T41,Kyoung-Hoon Lee,69.57,487,7
43,T44,T39,Fabián Gómez,69.67,209,3
44,T44,43,Rory Sabbatini,69.67,418,6
45,T46,T45,Andrew Landry,69.75,279,4
46,T46,T45,Andrew Putnam,69.75,279,4
47,T48,T47,Kramer Hickok,69.8,349,5
48,T48,T47,Adam Schenk,69.8,349,5
49,T48,T47,Ben Silverman,69.8,349,5
50,51,T65,Jonas Blixt,69.89,629,9
51,T52,T50,Ernie Els,70.0,210,3
52,T52,T50,Emiliano Grillo,70.0,70,1
53,T52,T89,J.B. Holmes,70.0,350,5
54,T52,T50,Hideki Matsuyama,70.0,70,1
55,T52,T50,Francesco Molinari,70.0,70,1
56,T52,T50,Louis Oosthuizen,70.0,70,1
57,T52,T50,C.T. Pan,70.0,280,4
58,T52,T50,Xander Schauffele,70.0,70,1
59,T52,T50,Brendan Steele,70.0,350,5
60,T52,T50,Henrik Stenson,70.0,70,1
61,T52,T50,Michael Thompson,70.0,280,4
62,T52,T95,Aaron Wise,70.0,210,3
63,64,61,Kelly Kraft,70.13,561,8
64,T65,T62,Lucas Glover,70.2,351,5
65,T65,T62,Chris Kirk,70.2,351,5
66,T67,T65,Julián Etulain,70.25,281,4
67,T67,T50,Trey Mullinax,70.25,281,4
68,69,67,Brice Garnett,70.29,492,7
69,T70,T68,Sam Burns,70.33,422,6
70,T70,T62,Roberto Díaz,70.33,422,6
71,T70,T68,Billy Horschel,70.33,211,3
72,T70,T68,J.T. Poston,70.33,211,3
73,T70,112,José de Jesús Rodríguez,70.33,422,6
74,T70,T68,Sam Ryder,70.33,422,6
75,76,72,David Hearn,70.4,352,5
76,T77,T73,Cameron Davis,70.5,282,4
77,T77,T73,Tony Finau,70.5,141,2
78,T77,T73,Justin Harding,70.5,141,2
79,T77,T73,Matt Jones,70.5,282,4
80,T77,T73,Si Woo Kim,70.5,282,4
81,T77,T73,Haotong Li,70.5,141,2
82,83,80,Aaron Baddeley,70.57,494,7
83,T84,81,Mackenzie Hughes,70.6,353,5
