,First_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_2_Scoring_Average_AVG,First_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Russell Knox,66.0,66,1
1,2,2,Justin Rose,66.5,399,6
2,T3,7,Matt Kuchar,66.67,400,6
3,T3,3,Scott Piercy,66.67,200,3
4,T5,T4,Ryan Armour,67.0,134,2
5,T5,T4,Jim Herman,67.0,67,1
6,T5,T4,Louis Oosthuizen,67.0,268,4
7,8,8,Cameron Champ,67.5,405,6
8,T9,T9,Roberto Díaz,68.0,68,1
9,T9,T9,Curtis Luck,68.0,68,1
10,T9,T9,D.J. Trahan,68.0,68,1
11,12,12,Brooks Koepka,68.17,409,6
12,T13,T13,Patrick Cantlay,68.2,341,5
13,T13,T13,Kevin Tway,68.2,341,5
14,15,15,Tommy Fleetwood,68.29,478,7
15,16,T43,Adam Hadwin,68.33,205,3
16,T17,T51,Dustin Johnson,68.5,274,4
17,T17,T23,Rory McIlroy,68.5,411,6
18,T17,16,Gary Woodland,68.5,411,6
19,T20,T17,Bryson DeChambeau,68.67,412,6
20,T20,T17,Jordan Spieth,68.67,412,6
21,22,19,Rickie Fowler,68.71,481,7
22,23,T20,Rory Sabbatini,68.75,275,4
23,24,22,Wyndham Clark,68.8,344,5
24,T25,T23,Jonas Blixt,69.0,207,3
25,T25,T23,Martin Kaymer,69.0,69,1
26,T25,T23,Anirban Lahiri,69.0,207,3
27,T25,T23,Danny Lee,69.0,276,4
28,T25,T23,Francesco Molinari,69.0,207,3
29,T25,T23,Pat Perez,69.0,345,5
30,T25,T23,Sam Ryder,69.0,276,4
31,32,35,Nick Watney,69.17,415,6
32,T33,T36,Tyler Duncan,69.2,346,5
33,T33,T36,Russell Henley,69.2,346,5
34,T35,T23,Bud Cauley,69.33,208,3
35,T35,T38,Jason Kokrak,69.33,208,3
36,T35,T23,Denny McCarthy,69.33,208,3
37,T35,T38,Trey Mullinax,69.33,416,6
38,T35,T38,Ian Poulter,69.33,208,3
39,T35,T38,Aaron Wise,69.33,416,6
40,T41,T20,Brady Schnell,69.4,347,5
41,T41,42,J.J. Spaun,69.4,347,5
42,T43,T23,Anders Albertson,69.5,417,6
43,T43,T43,Daniel Berger,69.5,139,2
44,T43,T43,Sung Kang,69.5,139,2
45,T43,T43,Kevin Kisner,69.5,278,4
46,T43,T43,Hideki Matsuyama,69.5,278,4
47,T43,T43,Michael Thompson,69.5,139,2
48,T43,T43,Peter Uihlein,69.5,278,4
49,50,T67,Jim Furyk,69.6,348,5
50,T51,T51,Cameron Davis,69.67,209,3
51,T51,T51,Justin Harding,69.67,209,3
52,T53,T56,Corey Conners,69.83,419,6
53,T53,54,Jim Knous,69.83,419,6
54,55,T43,Sebastián Muñoz,69.86,489,7
55,56,55,Peter Malnati,69.88,559,8
56,T57,T56,Talor Gooch,70.0,70,1
