,Par_4_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_4_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_4_Birdie_or_Better_Leaders_PLAYER NAME,Par_4_Birdie_or_Better_Leaders_ROUNDS,Par_4_Birdie_or_Better_Leaders_%,Par_4_Birdie_or_Better_Leaders_PAR 4 BIRDIES OR BETTER,Par_4_Birdie_or_Better_Leaders_PAR 4 HOLES
0,1,1,Phil Mickelson,41,23.06,92,399
1,2,2,Justin Thomas,49,21.6,108,500
2,3,3,Rafa Cabrera Bello,57,21.47,120,559
3,4,4,Brooks Koepka,49,21.05,96,456
4,5,7,Gary Woodland,63,20.68,133,643
5,6,6,Ryan Palmer,56,20.6,116,563
6,7,8,Patrick Cantlay,49,20.47,95,464
7,8,5,Matt Every,38,20.39,74,363
8,9,40,Rory McIlroy,50,20.12,99,492
9,10,9,Jason Day,45,19.85,82,413
10,11,12,Xander Schauffele,55,19.75,109,552
11,T12,T13,Stewart Cink,33,19.71,69,350
12,T12,T13,Andrew Putnam,57,19.71,109,553
13,14,15,Rickie Fowler,54,19.66,114,580
14,15,17,Justin Rose,42,19.5,78,400
15,16,T18,Abraham Ancer,69,19.48,134,688
16,17,20,Jordan Spieth,57,19.45,113,581
17,18,10,Aaron Wise,52,19.32,102,528
18,T19,21,Si Woo Kim,65,19.3,121,627
19,T19,11,Scott Piercy,70,19.3,138,715
20,21,T18,Dominic Bozzelli,53,19.24,106,551
21,T22,16,Talor Gooch,37,19.2,77,401
22,T22,22,Keith Mitchell,64,19.2,125,651
23,24,23,Byeong Hun An,54,19.15,104,543
24,25,24,Tiger Woods,31,19.12,52,272
25,26,26,Dustin Johnson,47,19.06,89,467
26,27,27,Charles Howell III,64,19.05,124,651
27,28,28,Jason Kokrak,68,18.9,127,672
28,29,38,Jonathan Byrd,43,18.79,81,431
29,30,25,J.B. Holmes,54,18.78,92,490
30,31,29,Wyndham Clark,61,18.72,117,625
31,32,32,Brandon Harkins,67,18.68,125,669
32,33,30,Aaron Baddeley,51,18.64,99,531
33,34,33,Troy Merritt,42,18.54,76,410
34,35,35,Bryson DeChambeau,45,18.5,84,454
35,36,39,Webb Simpson,53,18.48,102,552
36,37,34,Nate Lashley,44,18.43,82,445
37,38,47,Matt Kuchar,65,18.38,116,631
38,T39,50,Jonas Blixt,66,18.25,125,685
39,T39,37,David Hearn,41,18.25,71,389
40,41,31,Chase Wright,53,18.18,100,550
41,42,41,Cameron Smith,55,18.16,97,534
42,43,42,Chez Reavie,67,18.15,116,639
43,44,43,Sungjae Im,88,18.12,162,894
44,45,44,Cameron Champ,58,18.06,110,609
45,T46,T45,Kevin Kisner,65,18.04,103,571
46,T46,T45,Jon Rahm,51,18.04,83,460
47,48,48,Hideki Matsuyama,59,17.95,107,596
48,49,36,Johnson Wagner,45,17.94,82,457
49,T50,49,Beau Hossler,66,17.93,125,697
50,T50,T54,Hank Lebioda,55,17.93,97,541
51,52,51,Matt Wallace,31,17.88,54,302
52,53,52,Brian Stuard,76,17.87,136,761
53,54,53,Vaughn Taylor,69,17.86,127,711
54,55,T54,Adam Scott,41,17.85,73,409
55,56,59,Danny Lee,66,17.82,124,696
56,57,T56,Tyrrell Hatton,46,17.79,79,444
57,58,58,Sam Ryder,52,17.78,96,540
58,59,64,Roger Sloan,62,17.77,118,664
59,60,78,Cameron Tringale,52,17.76,89,501
60,61,60,"Ted Potter, Jr.",56,17.74,102,575
61,62,62,Justin Harding,31,17.72,45,254
62,63,63,Curtis Luck,51,17.66,86,487
63,64,67,Jhonattan Vegas,60,17.64,109,618
64,65,68,Rory Sabbatini,71,17.63,125,709
65,66,T71,Jim Furyk,53,17.6,91,517
66,67,T56,Harold Varner III,62,17.55,113,644
67,68,69,Sam Burns,66,17.54,120,684
68,69,70,Marc Leishman,52,17.52,89,508
69,70,T71,Ian Poulter,49,17.48,79,452
70,T71,73,Bud Cauley,61,17.33,113,652
71,T71,81,Sepp Straka,48,17.33,83,479
72,73,82,Corey Conners,62,17.29,107,619
73,74,65,Sergio Garcia,39,17.28,56,324
74,75,T110,Brandt Snedeker,68,17.27,119,689
75,T76,66,Keegan Bradley,65,17.26,107,620
76,T76,85,Nick Taylor,70,17.26,121,701
77,78,75,Tony Finau,61,17.25,103,597
78,79,76,Lucas Glover,62,17.24,105,609
79,T80,61,Joaquin Niemann,68,17.23,122,708
80,T80,77,Patrick Reed,53,17.23,87,505
81,82,T79,Kyoung-Hoon Lee,72,17.2,124,721
82,83,83,Hunter Mahan,45,17.13,80,467
83,84,88,Peter Uihlein,65,17.09,114,667
84,85,84,Jason Dufner,56,17.07,99,580
85,86,T96,Scott Brown,66,17.04,114,669
86,87,T120,Graeme McDowell,61,17.02,104,611
87,88,104,Russell Henley,56,16.99,95,559
88,89,86,Luke List,52,16.98,89,524
89,90,87,C.T. Pan,64,16.97,111,654
90,91,74,Cameron Davis,54,16.94,93,549
91,92,90,Adam Schenk,80,16.93,140,827
92,93,89,Tommy Fleetwood,43,16.89,64,379
93,94,T91,Kevin Streelman,63,16.8,108,643
94,95,T91,Nick Watney,67,16.79,112,667
95,96,93,Haotong Li,32,16.78,49,292
96,97,115,Peter Malnati,64,16.77,108,644
97,98,T94,Louis Oosthuizen,43,16.76,62,370
98,99,T96,J.T. Poston,76,16.75,129,770
99,100,123,Daniel Berger,48,16.73,88,526
100,T101,T79,Jim Herman,37,16.67,66,396
101,T101,T102,Whee Kim,57,16.67,94,564
102,T101,T102,Anirban Lahiri,54,16.67,89,534
103,104,124,Adam Hadwin,66,16.64,110,661
104,105,T105,Austin Cook,50,16.63,81,487
105,106,T120,Anders Albertson,48,16.56,81,489
106,107,109,Ryan Moore,54,16.55,93,562
107,108,T110,Joel Dahmen,78,16.54,130,786
108,109,113,Chesson Hadley,58,16.47,97,589
109,T110,T116,Roberto Castro,54,16.45,87,529
110,T110,114,Pat Perez,52,16.45,87,529
111,T110,T105,José de Jesús Rodríguez,51,16.45,89,541
112,113,T96,Ollie Schniederjans,63,16.44,107,651
113,T114,T94,Martin Laird,60,16.42,98,597
114,T114,118,Josh Teater,47,16.42,79,481
115,T116,119,Andrew Landry,56,16.36,90,550
116,T116,T137,Sebastián Muñoz,58,16.36,98,599
117,T118,129,Brice Garnett,63,16.34,107,655
118,T118,T120,Charley Hoffman,58,16.34,92,563
119,T118,112,Carlos Ortiz,60,16.34,101,618
120,121,108,Trey Mullinax,67,16.3,110,675
121,T122,125,Matt Jones,67,16.29,108,663
122,T122,999,Martin Piller,30,16.29,51,313
123,124,T133,J.J. Spaun,68,16.25,111,683
124,125,T133,Denny McCarthy,63,16.24,102,628
125,126,126,Russell Knox,65,16.21,100,617
126,127,101,Brian Gay,79,16.19,131,809
127,128,128,Patton Kizzire,58,16.17,97,600
128,T129,130,Kiradech Aphibarnrat,49,16.12,79,490
