,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
145,T145,147,Tom Hoge,70,35.41,2337,66
146,T147,139,Scott Stallings,63,35.42,2090,59
147,T147,T142,Brendan Steele,50,35.42,1700,48
148,T149,T145,Bronson Burgoon,37,35.43,1311,37
149,T149,T115,Kelly Kraft,67,35.43,2232,63
150,T149,159,Danny Willett,47,35.43,1665,47
151,T152,T148,Ollie Schniederjans,63,35.46,2163,61
152,T152,T155,Robert Streb,60,35.46,1986,56
153,T154,154,J.B. Holmes,54,35.47,1667,47
154,T154,T150,Kyoung-Hoon Lee,72,35.47,2412,68
155,T154,T150,Curtis Luck,51,35.47,1667,47
156,T157,T152,Jason Dufner,56,35.48,1916,54
157,T157,T152,Branden Grace,62,35.48,1916,54
158,T157,T165,Bubba Watson,47,35.48,1419,40
159,T160,T155,Cameron Smith,55,35.5,1775,50
160,T160,T155,Sepp Straka,48,35.5,1633,46
161,162,T136,Anders Albertson,48,35.52,1634,46
162,163,160,Beau Hossler,66,35.53,2345,66
163,164,T161,Kyle Stanley,53,35.54,1706,48
164,165,164,Haotong Li,32,35.57,996,28
165,T166,T175,Daniel Berger,48,35.58,1708,48
166,T166,T165,Andrew Landry,56,35.58,1850,52
167,T166,T165,Hunter Mahan,45,35.58,1601,45
168,T169,169,Matthew Fitzpatrick,42,35.59,1388,39
169,T169,170,Fabián Gómez,44,35.59,1566,44
170,T169,T178,Jim Herman,37,35.59,1317,37
171,T169,T165,Seamus Power,58,35.59,1922,54
172,T169,195,Chris Thompson,34,35.59,1210,34
173,T174,T175,Brandon Harkins,67,35.6,2243,63
174,T174,T171,Brian Harman,67,35.6,2314,65
175,T174,T181,Kyle Jones,49,35.6,1673,47
176,T174,T171,Whee Kim,57,35.6,1887,53
177,178,174,Tyler Duncan,66,35.61,2279,64
178,T179,173,Tyrrell Hatton,46,35.62,1496,42
179,T179,177,Chris Stroud,54,35.62,1781,50
180,T181,T178,Jim Knous,55,35.63,1817,51
181,T181,T187,Ben Silverman,54,35.63,1924,54
182,T183,T178,John Huh,35,35.66,1248,35
183,T183,189,Jimmy Walker,61,35.66,2175,61
184,T185,T181,Justin Harding,31,35.67,856,24
185,T185,999,Tyrone Van Aswegen,30,35.67,1070,30
186,T187,T184,Ryan Blaum,67,35.7,2249,63
187,T187,T184,"Ted Potter, Jr.",56,35.7,1928,54
188,189,183,Roger Sloan,62,35.73,2215,62
189,190,186,Freddie Jacobson,37,35.74,1251,35
190,191,190,Anirban Lahiri,54,35.78,1789,50
191,T192,191,Francesco Molinari,41,35.79,1217,34
192,T192,T187,Sam Saunders,53,35.79,1897,53
193,194,192,Charl Schwartzel,34,35.81,1146,32
194,195,193,Adam Long,52,35.83,1863,52
195,196,194,Chris Kirk,47,35.84,1613,45
196,197,201,Cody Gribble,52,35.85,1721,48
197,198,999,Martin Piller,30,35.87,1076,30
198,199,T197,Martin Trainer,51,35.88,1830,51
199,200,196,Martin Kaymer,38,35.89,1364,38
200,201,T199,Satoshi Kodaira,51,35.96,1726,48
201,T202,T199,Lucas Bjerregaard,37,35.97,1079,30
202,T202,T197,J.J. Henry,42,35.97,1367,38
203,204,203,John Chin,38,36.0,1368,38
204,205,205,Rod Pampling,40,36.03,1369,38
205,206,202,Alex Noren,49,36.04,1658,46
206,207,204,D.A. Points,33,36.12,1192,33
207,208,206,Grayson Murray,36,36.39,1310,36
208,209,207,Michael Kim,51,36.53,1790,49
