,Back_9_Par_3_Scoring_Average_RANK THIS WEEK,Back_9_Par_3_Scoring_Average_RANK LAST WEEK,Back_9_Par_3_Scoring_Average_PLAYER NAME,Back_9_Par_3_Scoring_Average_ROUNDS,Back_9_Par_3_Scoring_Average_AVG,Back_9_Par_3_Scoring_Average_TOTAL STROKES,Back_9_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Rory McIlroy,50,2.91,256,88
1,2,2,Freddie Jacobson,37,2.92,210,72
2,T3,T3,Jon Rahm,51,2.94,259,88
3,T3,T3,Tiger Woods,31,2.94,153,52
4,T5,T7,Jason Day,45,2.95,230,78
5,T5,T7,Rickie Fowler,54,2.95,319,108
6,T5,T7,Billy Horschel,73,2.95,377,128
7,T5,T7,Marc Leishman,52,2.95,271,92
8,T5,T7,Kevin Na,54,2.95,289,98
9,T5,T3,Scott Piercy,70,2.95,378,128
10,T11,T3,Anders Albertson,48,2.96,272,92
11,T11,T12,Justin Harding,31,2.96,142,48
12,T13,T15,Aaron Baddeley,51,2.97,303,102
13,T13,T15,Charles Howell III,64,2.97,351,118
14,T13,T15,Andrew Landry,56,2.97,309,104
15,T13,T12,Denny McCarthy,63,2.97,362,122
16,T13,T15,Shawn Stefani,57,2.97,327,110
17,T13,T12,D.J. Trahan,33,2.97,184,62
18,T19,T19,Patrick Cantlay,49,2.98,262,88
19,T19,T27,Dustin Johnson,47,2.98,262,88
20,T19,T19,Hideki Matsuyama,59,2.98,334,112
21,T19,T23,Wes Roach,45,2.98,256,86
22,T19,T19,Jordan Spieth,57,2.98,322,108
23,T24,T23,Joel Dahmen,78,2.99,455,152
24,T24,T27,Talor Gooch,37,2.99,221,74
25,T24,T23,Martin Kaymer,38,2.99,227,76
26,T24,T23,Phil Mickelson,41,2.99,227,76
27,T24,T35,Webb Simpson,53,2.99,293,98
28,T29,T27,Chris Kirk,47,3.0,276,92
29,T29,T27,Peter Malnati,64,3.0,372,124
30,T29,T27,Andrew Putnam,57,3.0,300,100
31,T29,T27,Justin Rose,42,3.0,228,76
32,T33,T19,Ryan Armour,66,3.01,409,136
33,T33,T35,Lucas Glover,62,3.01,361,120
34,T33,T35,James Hahn,34,3.01,205,68
35,T33,T27,Zach Johnson,50,3.01,313,104
36,T33,T58,Ryan Palmer,56,3.01,313,104
37,T33,T35,Rory Sabbatini,71,3.01,416,138
38,T33,T35,Xander Schauffele,55,3.01,301,100
39,T33,T35,Michael Thompson,56,3.01,343,114
40,T33,T47,Jimmy Walker,61,3.01,367,122
41,T42,T47,Ryan Blaum,67,3.02,392,130
42,T42,T58,Jonas Blixt,66,3.02,398,132
43,T42,T67,Keegan Bradley,65,3.02,344,114
44,T42,T47,Cameron Champ,58,3.02,326,108
45,T42,T47,Corey Conners,62,3.02,350,116
46,T42,T35,Cameron Davis,54,3.02,320,106
47,T42,T47,Jim Furyk,53,3.02,302,100
48,T42,T47,Fabián Gómez,44,3.02,266,88
49,T42,T35,Stephan Jaeger,59,3.02,338,112
50,T42,T35,Kelly Kraft,67,3.02,392,130
51,T42,999,Shane Lowry,30,3.02,151,50
52,T42,T47,Francesco Molinari,41,3.02,193,64
53,T42,T47,Patrick Rodgers,44,3.02,272,90
54,T42,T35,Sam Saunders,53,3.02,332,110
55,T42,T27,Chris Stroud,54,3.02,314,104
56,T57,T58,Abraham Ancer,69,3.03,388,128
57,T57,T81,Daniel Berger,48,3.03,291,96
58,T57,T58,Bryson DeChambeau,45,3.03,242,80
59,T57,T67,Julián Etulain,55,3.03,321,106
60,T57,T35,Brooks Koepka,49,3.03,242,80
61,T57,T67,Danny Lee,66,3.03,400,132
62,T57,T67,Graeme McDowell,61,3.03,357,118
63,T57,T58,Pat Perez,52,3.03,303,100
64,T57,T35,Adam Schenk,80,3.03,478,158
65,T57,T58,Brian Stuard,76,3.03,449,148
66,T57,T47,Hudson Swafford,59,3.03,351,116
67,T68,T67,Stewart Cink,33,3.04,207,68
68,T68,T98,Matt Every,38,3.04,207,68
69,T68,T67,Dylan Frittelli,55,3.04,334,110
70,T68,T67,Beau Hossler,66,3.04,408,134
71,T68,T81,Whee Kim,57,3.04,322,106
72,T68,T67,Kevin Kisner,65,3.04,341,112
73,T68,T98,Matt Kuchar,65,3.04,341,112
74,T68,T67,Troy Merritt,42,3.04,219,72
75,T68,T47,Joaquin Niemann,68,3.04,413,136
76,T68,T98,José de Jesús Rodríguez,51,3.04,316,104
77,T68,T67,Adam Scott,41,3.04,237,78
78,T68,T67,Cameron Smith,55,3.04,304,100
79,T68,T58,Sepp Straka,48,3.04,292,96
80,T68,T111,Danny Willett,47,3.04,298,98
81,T82,T67,Bud Cauley,61,3.05,378,124
82,T82,T81,Ben Crane,41,3.05,250,82
83,T82,T58,Tyler Duncan,66,3.05,396,130
84,T82,T81,Emiliano Grillo,65,3.05,378,124
85,T82,T67,Jim Herman,37,3.05,232,76
86,T82,T81,Matt Jones,67,3.05,396,130
87,T82,T81,Jason Kokrak,68,3.05,402,132
88,T82,T111,Scott Langley,60,3.05,360,118
89,T82,T81,Ryan Moore,54,3.05,335,110
90,T82,T81,Patrick Reed,53,3.05,287,94
91,T82,T98,Ben Silverman,54,3.05,335,110
92,T82,T58,Adam Svensson,51,3.05,305,100
93,T82,T81,Vaughn Taylor,69,3.05,421,138
94,T82,T81,Johnson Wagner,45,3.05,262,86
95,T82,T67,Aaron Wise,52,3.05,287,94
96,T82,T81,Gary Woodland,63,3.05,360,118
97,T98,T81,Alex Cejka,41,3.06,239,78
98,T98,T81,Roberto Díaz,51,3.06,300,98
99,T98,T98,Tommy Fleetwood,43,3.06,220,72
100,T98,T81,Sergio Garcia,39,3.06,196,64
101,T98,T81,Brice Garnett,63,3.06,367,120
102,T98,T81,Tom Hoge,70,3.06,410,134
103,T98,T98,Sung Kang,67,3.06,410,134
104,T98,T111,Hank Lebioda,55,3.06,324,106
105,T98,T98,Kyoung-Hoon Lee,72,3.06,419,137
106,T98,T98,D.A. Points,33,3.06,208,68
107,T98,T111,J.J. Spaun,68,3.06,392,128
108,T98,T111,Harold Varner III,62,3.06,379,124
109,T98,T98,Richy Werenski,63,3.06,380,124
110,T111,T111,Bronson Burgoon,37,3.07,227,74
111,T111,T125,Jonathan Byrd,43,3.07,252,82
112,T111,T111,Tony Finau,61,3.07,344,112
113,T111,T111,Tyrrell Hatton,46,3.07,264,86
114,T111,T111,Kramer Hickok,59,3.07,375,122
115,T111,T111,Russell Knox,65,3.07,368,120
116,T111,T111,Haotong Li,32,3.07,172,56
117,T111,T111,John Senden,39,3.07,233,76
118,T111,T125,Scott Stallings,63,3.07,375,122
119,T111,T111,Kevin Streelman,63,3.07,381,124
120,T111,T81,Nick Taylor,70,3.07,417,136
121,T111,T98,Josh Teater,47,3.07,276,90
122,T111,999,Tyrone Van Aswegen,30,3.07,184,60
123,T111,T98,Nick Watney,67,3.07,399,130
124,T125,T125,Kiradech Aphibarnrat,49,3.08,283,92
125,T125,T98,Dominic Bozzelli,53,3.08,314,102
126,T125,T125,J.J. Henry,42,3.08,234,76
127,T125,T125,Charley Hoffman,58,3.08,345,112
128,T125,T133,Mackenzie Hughes,58,3.08,345,112
129,T125,T133,Sungjae Im,88,3.08,530,172
130,T125,T125,Si Woo Kim,65,3.08,369,120
131,T125,T98,Brady Schnell,38,3.08,234,76
132,T125,T133,Justin Thomas,49,3.08,271,88
133,T125,T111,Peter Uihlein,65,3.08,401,130
134,T125,T125,Jhonattan Vegas,60,3.08,357,116
135,T136,T152,Joey Garber,44,3.09,253,82
136,T136,T144,Adam Hadwin,66,3.09,389,126
137,T136,T133,Max Homa,61,3.09,371,120
138,T136,T133,John Huh,35,3.09,216,70
139,T136,T133,Anirban Lahiri,54,3.09,321,104
140,T136,T125,Martin Laird,60,3.09,346,112
141,T136,T133,Keith Mitchell,64,3.09,377,122
142,T136,T133,Roger Sloan,62,3.09,395,128
143,T144,T144,Wyndham Clark,61,3.1,378,122
144,T144,T144,Ernie Els,43,3.1,254,82
145,T144,T133,Brandon Harkins,67,3.1,403,130
146,T144,T144,Michael Kim,51,3.1,298,96
