,Back_9_Round_3_Scoring_Average_RANK THIS WEEK,Back_9_Round_3_Scoring_Average_RANK LAST WEEK,Back_9_Round_3_Scoring_Average_PLAYER NAME,Back_9_Round_3_Scoring_Average_AVG,Back_9_Round_3_Scoring_Average_TOTAL STROKES,Back_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Patrick Cantlay,33.3,333,10
1,2,3,Chris Kirk,33.57,235,7
2,3,4,Webb Simpson,33.67,404,12
3,4,2,Dominic Bozzelli,33.8,338,10
4,5,11,Jim Furyk,34.0,340,10
5,6,6,Jason Kokrak,34.06,545,16
6,7,7,Jhonattan Vegas,34.08,409,12
7,8,8,Anders Albertson,34.14,239,7
8,9,9,Rickie Fowler,34.15,444,13
9,10,10,Xander Schauffele,34.17,410,12
10,11,T19,Rory McIlroy,34.27,377,11
11,T12,999,Martin Piller,34.33,206,6
12,T12,5,Bubba Watson,34.33,309,9
13,14,T14,Robert Streb,34.38,275,8
14,15,T12,Paul Casey,34.4,344,10
15,16,T14,Hideki Matsuyama,34.43,482,14
16,T17,T16,Tyrrell Hatton,34.44,310,9
17,T17,T16,Carlos Ortiz,34.44,310,9
18,19,T12,Harold Varner III,34.45,379,11
19,20,18,Russell Knox,34.46,448,13
20,T21,T19,Si Woo Kim,34.5,414,12
21,T21,T19,Aaron Wise,34.5,345,10
22,T21,T19,Tiger Woods,34.5,207,6
23,24,24,Michael Thompson,34.55,380,11
24,T25,46,Ben Crane,34.56,311,9
25,T25,25,Hunter Mahan,34.56,311,9
26,27,26,Grayson Murray,34.57,242,7
27,T28,T27,Stewart Cink,34.6,173,5
28,T28,42,Harris English,34.6,519,15
29,T28,T27,John Huh,34.6,173,5
30,T28,T33,Brooks Koepka,34.6,346,10
31,T32,T59,Dustin Johnson,34.64,381,11
32,T32,T30,Sam Ryder,34.64,381,11
33,T32,29,J.J. Spaun,34.64,485,14
34,T35,T33,Matt Every,34.67,208,6
35,T35,T33,Emiliano Grillo,34.67,520,15
36,T35,T33,Alex Prugh,34.67,312,9
37,T35,T33,Johnson Wagner,34.67,312,9
38,T39,T38,Joel Dahmen,34.69,555,16
39,T39,T38,Richy Werenski,34.69,451,13
40,T41,T43,Bill Haas,34.73,382,11
41,T41,T43,Scott Piercy,34.73,521,15
42,T41,T43,Andrew Putnam,34.73,382,11
43,T44,T30,Martin Laird,34.75,417,12
44,T44,T66,Roger Sloan,34.75,417,12
45,T46,T47,Lucas Glover,34.77,452,13
46,T46,T47,Chez Reavie,34.77,452,13
47,T48,T49,Bronson Burgoon,34.8,174,5
48,T48,999,Shane Lowry,34.8,174,5
49,T48,T49,Jon Rahm,34.8,348,10
50,51,T52,Haotong Li,34.83,209,6
51,52,55,Chris Stroud,34.88,279,8
52,T53,T56,Jason Day,34.89,314,9
53,T53,T56,Bryson DeChambeau,34.89,314,9
54,T53,51,Sungjae Im,34.89,628,18
55,T53,T56,Nate Lashley,34.89,314,9
56,T57,61,Cameron Champ,34.91,384,11
57,T57,T59,Hank Lebioda,34.91,384,11
58,T57,41,Justin Thomas,34.91,384,11
59,T60,T62,Ryan Armour,34.92,454,13
60,T60,T62,Tony Finau,34.92,454,13
61,T62,T62,Matt Kuchar,34.93,489,14
62,T62,65,Vaughn Taylor,34.93,524,15
63,T62,T38,Nick Taylor,34.93,489,14
64,T65,T85,Roberto Castro,35.0,350,10
65,T65,T66,Cameron Davis,35.0,315,9
66,T65,T30,Dylan Frittelli,35.0,420,12
67,T65,T52,Talor Gooch,35.0,245,7
68,T65,T66,Chesson Hadley,35.0,350,10
69,T65,T66,James Hahn,35.0,280,8
70,T65,T66,Justin Harding,35.0,175,5
71,T65,T66,Mackenzie Hughes,35.0,350,10
72,T65,T66,Martin Kaymer,35.0,280,8
73,T65,T100,Sebastián Muñoz,35.0,420,12
74,T65,T66,Pat Perez,35.0,385,11
75,T65,T66,Ian Poulter,35.0,350,10
76,T65,T66,Jordan Spieth,35.0,420,12
77,T65,T52,D.J. Trahan,35.0,245,7
78,79,T66,Adam Schenk,35.06,561,16
79,80,78,Abraham Ancer,35.07,491,14
80,T81,79,Bud Cauley,35.08,421,12
81,T81,T90,Peter Uihlein,35.08,421,12
82,T83,T80,Aaron Baddeley,35.09,386,11
83,T83,T80,Corey Conners,35.09,386,11
84,T83,T80,Kramer Hickok,35.09,386,11
85,T83,T66,Ben Silverman,35.09,386,11
86,T83,T80,Cameron Smith,35.09,386,11
87,T88,84,Julián Etulain,35.1,351,10
88,T88,T85,Zach Johnson,35.1,351,10
89,T88,96,Cameron Tringale,35.1,351,10
90,91,T85,Seth Reeves,35.11,316,9
91,T92,T88,Francesco Molinari,35.13,281,8
92,T92,T88,Brandt Snedeker,35.13,562,16
93,94,T107,Danny Lee,35.15,457,13
94,T95,T90,Brice Garnett,35.18,387,11
95,T95,T90,Branden Grace,35.18,387,11
96,T97,T93,Alex Cejka,35.2,176,5
97,T97,T107,Scott Langley,35.2,352,10
98,T97,T93,Kyoung-Hoon Lee,35.2,528,15
99,100,98,Brian Gay,35.22,634,18
100,T101,T124,Jonas Blixt,35.23,458,13
101,T101,97,Keith Mitchell,35.23,458,13
102,103,99,Rory Sabbatini,35.25,564,16
103,T104,T100,Jason Dufner,35.27,388,11
104,T104,T100,Charley Hoffman,35.27,388,11
105,T104,T100,Denny McCarthy,35.27,388,11
106,T104,T100,J.T. Poston,35.27,529,15
107,T104,T100,Brian Stuard,35.27,529,15
108,109,106,Kyle Jones,35.29,247,7
109,110,T127,Wes Roach,35.3,353,10
110,T111,T107,Kiradech Aphibarnrat,35.33,318,9
111,T111,T107,Roberto Díaz,35.33,318,9
112,T111,T107,Sergio Garcia,35.33,212,6
113,T111,T107,Kevin Kisner,35.33,424,12
114,T111,T107,Patrick Rodgers,35.33,318,9
115,T111,T107,Adam Scott,35.33,318,9
116,T111,T107,Shawn Stefani,35.33,318,9
117,T111,T129,Henrik Stenson,35.33,318,9
118,T119,T93,Stephan Jaeger,35.36,389,11
119,T119,118,Sung Kang,35.36,495,14
120,T119,123,Jim Knous,35.36,389,11
121,T122,T119,Sam Burns,35.38,460,13
122,T122,T119,Austin Cook,35.38,283,8
123,T122,T119,Louis Oosthuizen,35.38,283,8
124,T122,T119,Seamus Power,35.38,283,8
125,126,136,Daniel Berger,35.4,354,10
126,T127,T124,Byeong Hun An,35.42,425,12
127,T127,T124,Kevin Streelman,35.42,425,12
128,129,T129,Joey Garber,35.43,248,7
129,T130,T166,Jonathan Byrd,35.44,319,9
130,T130,T127,J.B. Holmes,35.44,319,9
131,T130,T146,José de Jesús Rodríguez,35.44,319,9
132,133,T107,Peter Malnati,35.46,461,13
133,T134,T129,Luke List,35.5,355,10
134,T134,T129,Ollie Schniederjans,35.5,355,10
135,T136,T137,Joaquin Niemann,35.53,533,15
136,T136,133,Gary Woodland,35.53,533,15
137,138,T134,Patrick Reed,35.55,391,11
138,T139,T137,Beau Hossler,35.57,498,14
139,T139,T107,Josh Teater,35.57,249,7
140,T141,T139,Ryan Blaum,35.58,427,12
141,T141,T139,Brandon Harkins,35.58,427,12
142,T143,T141,Russell Henley,35.6,356,10
143,T143,T141,D.A. Points,35.6,178,5
144,T143,T141,Sam Saunders,35.6,356,10
145,T146,T144,Rafa Cabrera Bello,35.62,463,13
146,T146,T144,Trey Mullinax,35.62,463,13
147,148,T146,Adam Long,35.63,285,8
148,T149,T148,Tom Hoge,35.64,392,11
149,T149,T148,Matt Jones,35.64,499,14
150,T149,T148,Kevin Na,35.64,392,11
151,T149,T148,Scott Stallings,35.64,392,11
152,T149,155,Kevin Tway,35.64,392,11
153,154,T152,Fabián Gómez,35.67,321,9
154,155,154,Nick Watney,35.69,464,13
155,156,T152,Kelly Kraft,35.7,357,10
156,T157,T175,Adam Hadwin,35.71,500,14
157,T157,156,Phil Mickelson,35.71,250,7
158,159,157,Marc Leishman,35.73,393,11
159,160,T190,Danny Willett,35.78,322,9
160,161,T158,Matthew Fitzpatrick,35.8,358,10
161,T162,T158,Sangmoon Bae,35.83,215,6
162,T162,T134,Scott Brown,35.83,430,12
163,T162,T160,Wyndham Clark,35.83,430,12
164,T165,T162,Charles Howell III,35.85,466,13
165,T165,T162,C.T. Pan,35.85,466,13
166,T167,T160,Cody Gribble,35.86,251,7
167,T167,165,David Hearn,35.86,251,7
168,T169,T166,Ernie Els,35.88,287,8
169,T169,T166,Troy Merritt,35.88,287,8
170,T171,T169,Tommy Fleetwood,35.89,323,9
171,T171,T169,Chase Wright,35.89,323,9
172,T173,T173,Keegan Bradley,35.92,467,13
173,T173,T173,Patton Kizzire,35.92,431,12
174,175,T162,Jimmy Walker,35.93,503,14
175,T176,T175,J.J. Henry,36.0,216,6
176,T176,T175,Jim Herman,36.0,108,3
177,T176,189,Graeme McDowell,36.0,504,14
178,T176,T169,Alex Noren,36.0,360,10
179,T176,T175,John Senden,36.0,288,8
180,T176,T175,Kyle Stanley,36.0,288,8
181,T176,T175,Adam Svensson,36.0,288,8
182,183,181,Max Homa,36.08,433,12
183,184,182,Hudson Swafford,36.1,361,10
184,185,183,Justin Rose,36.11,325,9
185,T186,T184,Billy Horschel,36.13,578,16
186,T186,T184,Martin Trainer,36.13,289,8
187,T188,172,Tyler Duncan,36.17,434,12
188,T188,T186,Brady Schnell,36.17,217,6
189,T188,T186,Matt Wallace,36.17,217,6
190,191,188,Ryan Moore,36.18,398,11
191,192,T190,Whee Kim,36.25,290,8
192,T193,192,Ryan Palmer,36.33,436,12
193,T193,194,Chris Thompson,36.33,218,6
194,195,193,Brendan Steele,36.38,291,8
195,196,T196,Brian Harman,36.42,437,12
196,197,195,Satoshi Kodaira,36.44,328,9
197,198,T196,"Ted Potter, Jr.",36.55,402,11
198,199,201,Sepp Straka,36.56,329,9
199,T200,T198,Freddie Jacobson,36.6,183,5
200,T200,T198,Anirban Lahiri,36.6,366,10
201,T200,206,Rod Pampling,36.6,183,5
202,T200,T198,Charl Schwartzel,36.6,183,5
203,T200,999,Tyrone Van Aswegen,36.6,183,5
204,205,202,Andrew Landry,36.67,330,9
205,T206,T203,Lucas Bjerregaard,36.83,221,6
206,T206,T203,John Chin,36.83,221,6
207,208,205,Curtis Luck,37.0,296,8
208,209,207,Michael Kim,37.8,189,5
