,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
144,T144,145,Anirban Lahiri,54,3.52,176,50
145,T146,146,Bronson Burgoon,37,3.51,130,37
146,T146,T139,Martin Trainer,51,3.51,179,51
147,T148,T147,Anders Albertson,48,3.5,161,46
148,T148,T147,Chesson Hadley,58,3.5,196,56
149,150,149,Kevin Na,54,3.49,171,49
150,151,T151,James Hahn,34,3.47,118,34
151,T152,T153,Roberto Castro,54,3.46,173,50
152,T152,T151,Harris English,72,3.46,242,70
153,T152,T153,Matthew Fitzpatrick,42,3.46,135,39
154,T152,143,Jim Herman,37,3.46,128,37
155,T152,T153,Andrew Landry,56,3.46,180,52
156,T157,T160,Ryan Armour,66,3.44,227,66
157,T157,171,Ben Crane,41,3.44,141,41
158,T157,150,Ben Silverman,54,3.44,186,54
159,T160,T157,David Hearn,41,3.43,127,37
160,T160,T157,Scott Langley,60,3.43,199,58
161,T160,T157,Matt Wallace,31,3.43,96,28
162,T163,T160,Tommy Fleetwood,43,3.42,123,36
163,T163,T160,Chris Kirk,47,3.42,154,45
164,T165,T167,Billy Horschel,73,3.41,225,66
165,T165,T160,Mackenzie Hughes,58,3.41,184,54
166,167,T167,Cody Gribble,52,3.4,163,48
167,168,180,Henrik Stenson,46,3.39,129,38
168,T169,T181,Sangmoon Bae,42,3.38,135,40
169,T169,T172,Dylan Frittelli,55,3.38,179,53
170,T169,T160,Tom Hoge,70,3.38,223,66
171,T169,156,Carlos Ortiz,60,3.38,196,58
172,173,174,Russell Henley,56,3.37,175,52
173,T174,T169,Tyler Duncan,66,3.36,215,64
174,T174,T160,Alex Prugh,54,3.36,168,50
175,176,175,Satoshi Kodaira,51,3.35,161,48
176,T177,T176,Max Homa,61,3.34,197,59
177,T177,T172,Sam Saunders,53,3.34,177,53
178,T177,T176,Charl Schwartzel,34,3.34,107,32
179,T177,T178,Robert Streb,60,3.34,187,56
180,T181,T178,Branden Grace,62,3.33,180,54
181,T181,190,Wes Roach,45,3.33,143,43
182,183,T169,Chris Stroud,54,3.32,166,50
183,184,T181,Bill Haas,58,3.3,178,54
184,185,T186,Francesco Molinari,41,3.29,112,34
185,186,T186,Fabián Gómez,44,3.27,144,44
186,T187,T181,Alex Noren,49,3.26,150,46
187,T187,T181,Brady Schnell,38,3.26,124,38
188,T189,189,Zach Johnson,50,3.24,162,50
189,T189,T181,Joaquin Niemann,68,3.24,214,66
190,T191,T191,Ernie Els,43,3.22,132,41
191,T191,T191,John Senden,39,3.22,119,37
192,193,188,Jimmy Walker,61,3.21,196,61
193,194,195,Brian Harman,67,3.2,208,65
194,T195,194,John Huh,35,3.17,111,35
195,T195,T196,Seamus Power,58,3.17,171,54
196,197,193,Alex Cejka,41,3.16,117,37
197,198,T196,Kyle Stanley,53,3.15,151,48
198,199,202,Joey Garber,44,3.13,125,40
199,200,199,Freddie Jacobson,37,3.11,109,35
200,201,198,Lucas Bjerregaard,37,3.1,93,30
201,T202,T200,Michael Kim,51,3.08,151,49
202,T202,T200,Adam Long,52,3.08,160,52
203,204,203,Chris Thompson,34,3.03,103,34
204,205,204,Kyle Jones,49,3.02,142,47
205,206,205,D.A. Points,33,2.94,97,33
206,207,206,Rod Pampling,40,2.76,105,38
207,208,999,Tyrone Van Aswegen,30,2.73,82,30
208,209,207,J.J. Henry,42,2.53,96,38
