,First_Tee_Late_Round_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_4_Scoring_Average_AVG,First_Tee_Late_Round_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_4_Scoring_Average_TOTAL ROUNDS
134,T131,T130,Aaron Wise,71.67,215,3
135,136,133,Harold Varner III,71.71,502,7
136,137,134,Daniel Berger,71.75,287,4
137,T138,T135,Aaron Baddeley,71.8,359,5
138,T138,T135,Kevin Streelman,71.8,359,5
139,140,137,Billy Horschel,71.83,431,6
140,141,138,Rickie Fowler,71.86,503,7
141,T142,T139,Austin Cook,72.0,216,3
142,T142,T139,Roberto Díaz,72.0,144,2
143,T142,T139,Dylan Frittelli,72.0,144,2
144,T142,T139,Justin Harding,72.0,72,1
145,T142,T118,Brian Harman,72.0,216,3
146,T142,T139,Beau Hossler,72.0,144,2
147,T142,T139,Chris Kirk,72.0,72,1
148,T142,T139,Haotong Li,72.0,144,2
149,T142,T139,Curtis Luck,72.0,144,2
150,T142,T139,Ian Poulter,72.0,432,6
151,T142,T139,Sam Saunders,72.0,72,1
152,T142,T139,D.J. Trahan,72.0,144,2
153,T142,T139,Peter Uihlein,72.0,216,3
154,T155,T152,Roger Sloan,72.17,433,6
155,T155,T152,Vaughn Taylor,72.17,433,6
156,157,154,Matt Jones,72.25,289,4
157,T158,T155,Bud Cauley,72.33,217,3
158,T158,T155,Jason Dufner,72.33,217,3
159,T160,T157,Lucas Bjerregaard,72.5,145,2
160,T160,T157,Trey Mullinax,72.5,145,2
161,T160,T172,Joaquin Niemann,72.5,290,4
162,T163,T160,Tommy Fleetwood,72.67,436,6
163,T163,T160,Joey Garber,72.67,218,3
164,T163,T160,Brian Gay,72.67,436,6
165,T163,189,Danny Willett,72.67,218,3
166,T167,176,Roberto Castro,73.0,219,3
167,T167,T163,Alex Cejka,73.0,73,1
168,T167,T163,Wyndham Clark,73.0,219,3
169,T167,T163,Tyrrell Hatton,73.0,219,3
170,T167,T163,Kramer Hickok,73.0,146,2
171,T167,T163,Martin Laird,73.0,292,4
172,T167,T163,Jimmy Walker,73.0,146,2
173,174,171,Louis Oosthuizen,73.2,366,5
174,T175,T172,Tom Hoge,73.33,220,3
175,T175,T172,Nate Lashley,73.33,220,3
176,T175,T172,Alex Noren,73.33,220,3
177,T178,T177,Kyoung-Hoon Lee,73.6,368,5
178,T178,T177,Jordan Spieth,73.6,368,5
179,T180,179,Martin Kaymer,73.75,295,4
180,T180,T163,Sepp Straka,73.75,295,4
181,T182,T180,Keegan Bradley,74.0,222,3
182,T182,T180,Russell Henley,74.0,74,1
183,T182,T180,John Huh,74.0,74,1
184,T182,T180,Carlos Ortiz,74.0,148,2
185,186,184,Patrick Reed,74.4,372,5
186,T187,T185,Sangmoon Bae,75.0,75,1
187,T187,999,Martin Piller,75.0,75,1
188,T187,T185,Alex Prugh,75.0,75,1
189,T187,T185,Scott Stallings,75.0,150,2
190,T187,T185,Adam Svensson,75.0,150,2
191,T192,T190,Kyle Jones,76.0,76,1
192,T192,T190,John Senden,76.0,76,1
