,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
136,137,T154,Ben Crane,41,70.93,2908,41
137,T138,T134,Ryan Blaum,67,70.94,4469,63
138,T138,T140,Roger Sloan,62,70.94,4398,62
139,140,T126,Anders Albertson,48,70.96,3264,46
140,141,138,Beau Hossler,66,70.97,4684,66
141,T142,999,Shane Lowry,30,71.0,1775,25
142,T142,T140,Ollie Schniederjans,63,71.0,4331,61
143,144,T143,Fabián Gómez,44,71.02,3125,44
144,145,T145,David Hearn,41,71.03,2628,37
145,T146,T152,Brandon Harkins,67,71.05,4476,63
146,T146,T143,Patton Kizzire,58,71.05,3979,56
147,T146,T162,Jimmy Walker,61,71.05,4334,61
148,T149,T145,Stewart Cink,33,71.06,2345,33
149,T149,T145,Bill Haas,58,71.06,3837,54
150,T151,T149,Justin Harding,31,71.08,1706,24
151,T151,T162,Jim Knous,55,71.08,3625,51
152,T151,T152,Sam Saunders,53,71.08,3767,53
153,T151,148,Scott Stallings,63,71.08,4194,59
154,155,170,Robert Streb,60,71.09,3981,56
155,T156,T154,Jason Dufner,56,71.11,3840,54
156,T156,T160,J.B. Holmes,54,71.11,3342,47
157,T156,T154,Hunter Mahan,45,71.11,3200,45
158,T156,T162,Sepp Straka,48,71.11,3271,46
159,T160,T160,Tyler Duncan,66,71.13,4552,64
160,T160,T154,Brady Schnell,38,71.13,2703,38
161,162,166,Tom Hoge,70,71.15,4696,66
162,163,T149,Chris Stroud,54,71.16,3558,50
163,164,T158,Charley Hoffman,58,71.17,3843,54
164,T165,180,Sangmoon Bae,42,71.18,2847,40
165,T165,T149,Seth Reeves,52,71.18,3559,50
166,167,T162,Tyrrell Hatton,46,71.19,2990,42
167,168,999,Martin Piller,30,71.2,2136,30
168,T169,T167,Chesson Hadley,58,71.21,3988,56
169,T169,172,Curtis Luck,51,71.21,3347,47
170,T169,T167,Francesco Molinari,41,71.21,2421,34
171,172,169,Anirban Lahiri,54,71.24,3562,50
172,173,T158,Kelly Kraft,67,71.25,4489,63
173,T174,171,Martin Kaymer,38,71.26,2708,38
174,T174,T186,Danny Willett,47,71.26,3349,47
175,176,T189,Joey Garber,44,71.33,2853,40
176,T177,T173,Bronson Burgoon,37,71.35,2640,37
177,T177,T173,Andrew Landry,56,71.35,3710,52
178,179,175,Matt Wallace,31,71.39,1999,28
179,T180,T176,John Huh,35,71.4,2499,35
180,T180,T176,Kyle Stanley,53,71.4,3427,48
181,182,T183,Brian Harman,67,71.42,4642,65
182,183,178,Branden Grace,62,71.44,3858,54
183,T184,179,Haotong Li,32,71.46,2001,28
184,T184,185,Alex Noren,49,71.46,3287,46
185,186,181,Adam Long,52,71.48,3717,52
186,187,T186,Jim Herman,37,71.49,2645,37
187,188,182,Matthew Fitzpatrick,42,71.51,2789,39
188,189,T183,John Senden,39,71.54,2647,37
189,190,T189,J.J. Henry,42,71.61,2721,38
190,T191,191,Seamus Power,58,71.63,3868,54
191,T191,188,Brendan Steele,50,71.63,3438,48
192,193,193,John Chin,38,71.68,2724,38
193,T194,194,Whee Kim,57,71.72,3801,53
194,T194,192,Charl Schwartzel,34,71.72,2295,32
195,T196,197,Alex Cejka,41,71.73,2654,37
196,T196,999,Tyrone Van Aswegen,30,71.73,2152,30
197,198,196,Kyle Jones,49,71.74,3372,47
198,199,195,Martin Trainer,51,71.8,3662,51
199,200,T200,Cody Gribble,52,71.85,3449,48
200,201,203,Chris Thompson,34,71.88,2444,34
201,202,198,Grayson Murray,36,71.89,2588,36
202,203,199,Freddie Jacobson,37,72.06,2522,35
203,204,T200,"Ted Potter, Jr.",56,72.07,3892,54
204,205,202,Lucas Bjerregaard,37,72.1,2163,30
205,206,206,Rod Pampling,40,72.24,2745,38
206,207,204,D.A. Points,33,72.36,2388,33
207,208,205,Satoshi Kodaira,51,72.54,3482,48
208,209,207,Michael Kim,51,73.0,3577,49
