,Tenth_Tee_Early_Round_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_4_Scoring_Average_AVG,Tenth_Tee_Early_Round_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Adam Scott,63.0,63,1
1,2,2,Corey Conners,64.0,64,1
2,T3,999,Martin Piller,65.0,65,1
3,T3,T3,Justin Thomas,65.0,130,2
4,T3,T3,Danny Willett,65.0,65,1
5,T6,T5,Si Woo Kim,66.0,66,1
6,T6,T5,Danny Lee,66.0,66,1
7,T8,T7,Ryan Armour,66.33,199,3
8,T8,T7,Gary Woodland,66.33,199,3
9,T10,T9,Anders Albertson,67.0,67,1
10,T10,T9,Bud Cauley,67.0,67,1
11,T10,T9,Sungjae Im,67.0,134,2
12,T10,T9,Martin Laird,67.0,67,1
13,T10,T9,Denny McCarthy,67.0,67,1
14,T10,T9,Matt Wallace,67.0,67,1
15,16,15,Brandon Harkins,67.5,135,2
16,T17,T16,Cameron Davis,67.75,271,4
17,T17,T16,Brian Harman,67.75,271,4
18,T19,T18,Jason Dufner,68.0,136,2
19,T19,T18,Billy Horschel,68.0,136,2
20,T19,T18,Charles Howell III,68.0,136,2
21,T19,T18,Hank Lebioda,68.0,204,3
22,T19,T18,Rory McIlroy,68.0,68,1
23,T19,T18,Troy Merritt,68.0,136,2
24,T19,T18,Trey Mullinax,68.0,68,1
25,T19,T18,Rod Pampling,68.0,68,1
26,T19,T18,Scott Piercy,68.0,68,1
27,T19,T18,Ian Poulter,68.0,68,1
28,T19,T18,Brian Stuard,68.0,136,2
29,T19,T18,Jimmy Walker,68.0,136,2
30,T31,T30,Jonas Blixt,68.33,205,3
31,T31,T30,C.T. Pan,68.33,205,3
32,T31,T30,Nick Watney,68.33,205,3
33,T34,T33,Dominic Bozzelli,68.5,137,2
34,T34,T33,Sung Kang,68.5,137,2
35,36,35,Hideki Matsuyama,68.67,206,3
36,T37,T36,Sam Burns,69.0,138,2
37,T37,T36,Harris English,69.0,138,2
38,T37,T36,Tony Finau,69.0,138,2
39,T37,T36,Bill Haas,69.0,69,1
40,T37,T36,Justin Harding,69.0,69,1
41,T37,T36,Russell Henley,69.0,138,2
42,T37,T36,Max Homa,69.0,207,3
43,T37,T36,Matt Jones,69.0,276,4
44,T37,T36,Chris Kirk,69.0,138,2
45,T37,T36,Satoshi Kodaira,69.0,69,1
46,T37,T36,Jason Kokrak,69.0,138,2
47,T37,T36,Kelly Kraft,69.0,138,2
48,T37,T36,Nate Lashley,69.0,207,3
49,T37,T36,Phil Mickelson,69.0,138,2
50,T37,T36,Sebastián Muñoz,69.0,69,1
51,T37,T36,"Ted Potter, Jr.",69.0,138,2
52,T37,T36,Alex Prugh,69.0,69,1
53,T37,T36,Andrew Putnam,69.0,207,3
54,T37,T36,Jon Rahm,69.0,69,1
55,T37,T36,Chez Reavie,69.0,69,1
56,T37,T36,Patrick Reed,69.0,138,2
57,T37,T36,Patrick Rodgers,69.0,138,2
58,T37,T36,Rory Sabbatini,69.0,69,1
59,T37,T36,Sam Saunders,69.0,207,3
60,T37,T36,Kevin Streelman,69.0,138,2
61,T37,T36,Adam Svensson,69.0,138,2
62,63,62,Byeong Hun An,69.25,277,4
63,64,63,Kevin Kisner,69.33,208,3
64,T65,T64,Julián Etulain,69.5,139,2
65,T65,T64,Dylan Frittelli,69.5,139,2
66,T65,T64,Stephan Jaeger,69.5,139,2
67,T65,T64,Alex Noren,69.5,139,2
68,T65,T64,Seth Reeves,69.5,139,2
69,T65,T64,José de Jesús Rodríguez,69.5,139,2
70,T65,T64,Brandt Snedeker,69.5,139,2
71,T65,T64,Cameron Tringale,69.5,417,6
72,T65,T64,Tiger Woods,69.5,139,2
73,74,73,Abraham Ancer,69.67,209,3
74,T75,T74,Keegan Bradley,70.0,140,2
75,T75,T74,Patrick Cantlay,70.0,70,1
76,T75,T74,Wyndham Clark,70.0,140,2
77,T75,T74,Bryson DeChambeau,70.0,70,1
78,T75,T74,Brice Garnett,70.0,70,1
79,T75,T74,Kyoung-Hoon Lee,70.0,70,1
80,T75,T74,Seamus Power,70.0,70,1
81,T75,T74,Wes Roach,70.0,280,4
82,T75,T74,Brady Schnell,70.0,70,1
83,T75,T74,Roger Sloan,70.0,140,2
84,T75,T74,D.J. Trahan,70.0,70,1
85,T75,T74,Kevin Tway,70.0,70,1
86,87,86,Brian Gay,70.25,281,4
87,88,87,Michael Thompson,70.33,211,3
88,T89,T88,Kiradech Aphibarnrat,70.5,141,2
89,T89,T88,Ben Crane,70.5,141,2
90,T89,T88,Fabián Gómez,70.5,141,2
91,T89,T88,Charley Hoffman,70.5,141,2
92,T89,T88,Mackenzie Hughes,70.5,141,2
93,T89,T88,Russell Knox,70.5,282,4
