,First_Tee_Late_Par_5_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_5_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_5_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_5_Scoring_Average_ROUNDS,First_Tee_Late_Par_5_Scoring_Average_AVG,First_Tee_Late_Par_5_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_5_Scoring_Average_TOTAL HOLES
0,1,T2,Talor Gooch,37,4.27,141,33
1,2,T2,Charl Schwartzel,34,4.31,138,32
2,T3,5,Adam Hadwin,66,4.37,179,41
3,T3,4,Brooks Koepka,49,4.37,297,68
4,T5,6,Lucas Bjerregaard,37,4.41,163,37
5,T5,T7,Cameron Davis,54,4.41,119,27
6,T5,T7,Gary Woodland,63,4.41,366,83
7,8,9,Adam Scott,41,4.42,336,76
8,T9,T10,Cameron Champ,58,4.43,279,63
9,T9,T10,Dustin Johnson,47,4.43,354,80
10,T11,T12,Wyndham Clark,61,4.44,222,50
11,T11,T12,Sergio Garcia,39,4.44,182,41
12,T11,T12,Si Woo Kim,65,4.44,262,59
13,T11,T12,Justin Thomas,49,4.44,311,70
14,T15,T16,Jim Herman,37,4.45,49,11
15,T15,T16,Chez Reavie,67,4.45,227,51
16,17,18,Chris Stroud,54,4.46,183,41
17,T18,T19,Patrick Cantlay,49,4.47,326,73
18,T18,T37,Hank Lebioda,55,4.47,170,38
19,T18,T19,Grayson Murray,36,4.47,76,17
20,T18,T21,Bubba Watson,47,4.47,286,64
21,T22,T21,Sam Burns,66,4.48,206,46
22,T22,T21,Bryson DeChambeau,45,4.48,300,67
23,T22,26,Matt Kuchar,65,4.48,390,87
24,T22,T21,Denny McCarthy,63,4.48,130,29
25,T22,T21,Troy Merritt,42,4.48,148,33
26,T27,T27,Marc Leishman,52,4.5,279,62
27,T27,T27,Patrick Rodgers,44,4.5,207,46
28,T27,T37,Scott Stallings,63,4.5,180,40
29,T30,T30,Martin Kaymer,38,4.51,212,47
30,T30,T37,Jim Knous,55,4.51,248,55
31,T30,T30,Ryan Moore,54,4.51,203,45
32,T30,T30,Kevin Tway,62,4.51,257,57
33,T34,T27,Bill Haas,58,4.52,244,54
34,T34,T33,Sung Kang,67,4.52,226,50
35,T34,T33,Chris Kirk,47,4.52,104,23
36,T34,T46,Scott Langley,60,4.52,271,60
37,T34,999,Shane Lowry,30,4.52,113,25
38,T34,T53,Rory McIlroy,50,4.52,407,90
39,T34,T33,Nick Watney,67,4.52,271,60
40,T41,T37,Tony Finau,61,4.53,390,86
41,T41,T37,Matt Jones,67,4.53,331,73
42,T41,T37,Luke List,52,4.53,240,53
43,T41,T37,Hunter Mahan,45,4.53,145,32
44,T41,T37,Ryan Palmer,56,4.53,154,34
45,T41,T37,Roger Sloan,62,4.53,249,55
46,T47,T46,Paul Casey,51,4.54,372,82
47,T47,T46,Jason Dufner,56,4.54,186,41
48,T47,T46,Emiliano Grillo,65,4.54,345,76
49,T47,T46,Adam Long,52,4.54,186,41
50,T47,T46,Matt Wallace,31,4.54,127,28
51,T52,T53,Hideki Matsuyama,59,4.55,332,73
52,T52,T53,"Ted Potter, Jr.",56,4.55,141,31
53,T52,T71,Wes Roach,45,4.55,173,38
54,T52,T53,Rory Sabbatini,71,4.55,323,71
55,T52,T65,Webb Simpson,53,4.55,323,71
56,T52,T53,Hudson Swafford,59,4.55,132,29
57,T52,T53,Martin Trainer,51,4.55,191,42
58,T59,T60,Sebastián Muñoz,58,4.56,269,59
59,T59,T46,Carlos Ortiz,60,4.56,219,48
60,T59,T60,Ian Poulter,49,4.56,351,77
61,T59,T60,Jon Rahm,51,4.56,415,91
62,T59,T60,Richy Werenski,63,4.56,205,45
63,T64,T65,Byeong Hun An,54,4.57,247,54
64,T64,T65,Daniel Berger,48,4.57,169,37
65,T64,T73,Matt Every,38,4.57,233,51
66,T64,T65,John Huh,35,4.57,137,30
67,T64,T71,Sungjae Im,88,4.57,484,106
68,T64,T65,Kevin Kisner,65,4.57,247,54
69,T64,T65,Xander Schauffele,55,4.57,329,72
70,T64,T73,J.J. Spaun,68,4.57,256,56
71,T72,T33,Anders Albertson,48,4.59,202,44
72,T72,T73,John Chin,38,4.59,147,32
73,T72,T73,Russell Knox,65,4.59,179,39
74,T72,T73,Seth Reeves,52,4.59,202,44
75,T72,T73,Sam Ryder,52,4.59,179,39
76,T72,T73,Tiger Woods,31,4.59,179,39
77,T78,T85,Bud Cauley,61,4.6,244,53
78,T78,T82,James Hahn,34,4.6,69,15
79,T78,T82,Max Homa,61,4.6,207,45
80,T78,T82,Beau Hossler,66,4.6,221,48
81,T78,T73,Stephan Jaeger,59,4.6,253,55
