,First_Tee_Late_Round_3_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_3_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_3_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_3_Scoring_Average_AVG,First_Tee_Late_Round_3_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Chris Stroud,65.5,131,2
1,2,2,Cameron Champ,67.8,339,5
2,T3,T3,Aaron Baddeley,68.0,340,5
3,T3,T3,Matt Every,68.0,272,4
4,T3,T3,Marc Leishman,68.0,272,4
5,T3,T17,Rory McIlroy,68.0,476,7
6,T3,T3,"Ted Potter, Jr.",68.0,68,1
7,T3,T11,Webb Simpson,68.0,272,4
8,T3,T3,Peter Uihlein,68.0,68,1
9,10,T3,Justin Thomas,68.2,341,5
10,11,10,Dustin Johnson,68.29,478,7
11,T12,T11,Dominic Bozzelli,68.33,205,3
12,T12,T11,Hideki Matsuyama,68.33,205,3
13,T14,999,Shane Lowry,68.5,137,2
14,T14,T14,Tiger Woods,68.5,137,2
15,16,16,Rickie Fowler,68.63,549,8
16,17,T17,Kevin Na,68.67,206,3
17,T18,T20,Cameron Smith,68.75,275,4
18,T18,T20,Brian Stuard,68.75,275,4
19,20,23,Abraham Ancer,68.83,413,6
20,T21,T24,Anders Albertson,69.0,69,1
21,T21,,Harris English,69.0,69,1
22,T21,T59,Adam Hadwin,69.0,207,3
23,T21,T24,J.J. Henry,69.0,69,1
24,T21,T24,John Huh,69.0,138,2
25,T21,T24,Chris Kirk,69.0,69,1
26,T21,T24,Seamus Power,69.0,69,1
27,T21,T24,Jon Rahm,69.0,483,7
28,T21,T24,Adam Scott,69.0,483,7
29,T21,T24,Jhonattan Vegas,69.0,414,6
30,31,T24,Graeme McDowell,69.2,346,5
31,T32,T36,Bryson DeChambeau,69.25,277,4
32,T32,T36,Brian Gay,69.25,277,4
33,T32,T36,Sebastián Muñoz,69.25,277,4
34,T32,T36,Chez Reavie,69.25,277,4
35,T32,T36,Harold Varner III,69.25,277,4
36,T37,T41,Bill Haas,69.33,208,3
