,Tenth_Tee_Late_Par_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_3_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_3_Scoring_Average_AVG,Tenth_Tee_Late_Par_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Jason Day,45,2.25,9,4
1,2,2,Justin Thomas,49,2.5,10,4
2,3,3,Jordan Spieth,57,2.56,41,16
3,4,4,Justin Rose,42,2.63,21,8
4,5,5,Patrick Rodgers,44,2.72,68,25
5,T6,T6,Rickie Fowler,54,2.75,11,4
6,T6,T6,Jon Rahm,51,2.75,33,12
7,T6,T6,Adam Scott,41,2.75,11,4
8,T9,9,Alex Cejka,41,2.88,69,24
9,T9,T10,Matt Kuchar,65,2.88,23,8
10,T9,T10,Xander Schauffele,55,2.88,92,32
11,T12,12,Dominic Bozzelli,53,2.9,139,48
12,T12,T13,Lucas Glover,62,2.9,84,29
13,T12,T13,Billy Horschel,73,2.9,116,40
14,T12,T13,Beau Hossler,66,2.9,168,58
15,T12,T13,Rory Sabbatini,71,2.9,139,48
16,17,17,Cameron Smith,55,2.91,93,32
17,18,18,Scott Piercy,70,2.92,155,53
18,19,19,Martin Kaymer,38,2.93,82,28
19,T20,T20,Sam Burns,66,2.94,191,65
20,T20,T20,Matt Jones,67,2.94,144,49
21,T20,T29,Scott Langley,60,2.94,100,34
22,T23,T22,Anders Albertson,48,2.95,130,44
23,T23,T22,Mackenzie Hughes,58,2.95,121,41
24,T23,T22,Troy Merritt,42,2.95,130,44
25,T26,T25,Joel Dahmen,78,2.96,142,48
26,T26,T25,Sungjae Im,88,2.96,136,46
27,T26,T25,Marc Leishman,52,2.96,83,28
28,T26,T25,Ryan Moore,54,2.96,154,52
29,T26,T29,Ollie Schniederjans,63,2.96,213,72
30,T31,T29,Cameron Champ,58,2.97,107,36
31,T31,T29,Julián Etulain,55,2.97,110,37
32,T33,T35,Ernie Els,43,2.98,146,49
33,T33,T35,Stephan Jaeger,59,2.98,119,40
34,T33,T35,Si Woo Kim,65,2.98,131,44
35,T33,T29,Hank Lebioda,55,2.98,119,40
36,T33,T35,Vaughn Taylor,69,2.98,131,44
37,T33,T35,Kevin Tway,62,2.98,134,45
38,T33,T35,Johnson Wagner,45,2.98,131,44
39,T40,42,Denny McCarthy,63,2.99,218,73
40,T40,T35,Peter Uihlein,65,2.99,206,69
41,T42,T43,Aaron Baddeley,51,3.0,144,48
42,T42,T43,Tommy Fleetwood,43,3.0,36,12
43,T42,T43,Bill Haas,58,3.0,75,25
