,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
139,T138,T133,Kevin Streelman,20,45.45
140,T138,T133,Michael Thompson,17,45.45
141,T142,T161,Stephan Jaeger,19,44.44
142,T142,T108,Jim Knous,17,44.44
143,T142,T139,Luke List,16,44.44
144,T142,T108,Robert Streb,21,44.44
145,T142,T139,Hudson Swafford,20,44.44
146,T142,T139,Aaron Wise,16,44.44
147,T148,T130,Keegan Bradley,18,42.86
148,T148,T144,Jason Dufner,19,42.86
149,T148,T144,Whee Kim,21,42.86
150,T148,T144,Seth Reeves,18,42.86
151,T148,T174,Wes Roach,14,42.86
152,T153,T150,Brandon Harkins,21,41.67
153,T153,T133,Peter Malnati,19,41.67
154,T153,T150,Jhonattan Vegas,18,41.67
155,T156,T152,Anders Albertson,18,40.0
156,T156,T152,Aaron Baddeley,15,40.0
157,T156,T174,Daniel Berger,14,40.0
158,T156,T152,Alex Cejka,16,40.0
159,T156,T144,Adam Hadwin,18,40.0
160,T156,T152,David Hearn,14,40.0
161,T156,T139,Roger Sloan,20,40.0
162,163,T159,Kyoung-Hoon Lee,22,38.46
163,T164,T144,Jonathan Byrd,13,37.5
164,T164,T161,J.B. Holmes,18,37.5
165,T164,T161,Curtis Luck,17,37.5
166,T164,T161,Francesco Molinari,10,37.5
167,T164,T161,Louis Oosthuizen,12,37.5
168,T164,T161,J.T. Poston,22,37.5
169,T164,T190,José de Jesús Rodríguez,17,37.5
170,T164,T161,Sam Saunders,18,37.5
171,T164,T161,Brendan Steele,17,37.5
172,T173,T170,Bill Haas,18,36.36
173,T173,T170,Ian Poulter,13,36.36
174,T173,T170,Patrick Reed,15,36.36
175,T173,T170,Cameron Smith,16,36.36
176,T173,T152,Peter Uihlein,22,36.36
177,T173,T187,Harold Varner III,20,36.36
178,179,T159,J.J. Spaun,20,35.71
179,T180,T174,Roberto Díaz,16,33.33
180,T180,T174,Branden Grace,18,33.33
181,T180,T174,James Hahn,10,33.33
182,T180,T174,Justin Harding,9,33.33
183,T180,T174,Beau Hossler,20,33.33
184,T180,T174,Chris Kirk,17,33.33
185,T180,T174,Satoshi Kodaira,16,33.33
186,T180,T174,D.A. Points,13,33.33
187,T180,T161,Ben Silverman,17,33.33
188,T180,T174,Vaughn Taylor,21,33.33
189,T180,T152,D.J. Trahan,11,33.33
190,191,186,Nick Watney,20,30.77
191,192,T187,Tom Hoge,24,30.0
192,193,T190,Austin Cook,17,28.57
193,T194,T187,Roberto Castro,16,27.27
194,T194,T198,Martin Laird,18,27.27
195,T196,T204,Sangmoon Bae,16,25.0
196,T196,T192,Bronson Burgoon,14,25.0
197,T196,T192,John Chin,14,25.0
198,T196,T192,Freddie Jacobson,14,25.0
199,T196,T192,Michael Kim,21,25.0
200,T196,T192,Jordan Spieth,16,25.0
201,202,197,Nate Lashley,13,22.22
202,T203,T198,J.J. Henry,15,20.0
203,T203,T198,Grayson Murray,14,20.0
204,T203,T198,Pat Perez,16,20.0
205,T206,T198,Ben Crane,13,16.67
206,T206,T198,Josh Teater,17,16.67
207,T208,T204,Stewart Cink,12,0.0
208,T208,T204,John Huh,13,0.0
