,Top_10_Final_Round_Performance_RANK THIS WEEK,Top_10_Final_Round_Performance_RANK LAST WEEK,Top_10_Final_Round_Performance_PLAYER NAME,Top_10_Final_Round_Performance_EVENTS,Top_10_Final_Round_Performance_% TIMES IMPROVED,Top_10_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Kiradech Aphibarnrat,15,100.0,2.0
1,T1,T1,Bronson Burgoon,14,100.0,1.0
2,T1,T1,Sam Burns,22,100.0,1.0
3,T1,T1,Paul Casey,15,100.0,3.0
4,T1,T1,Corey Conners,20,100.0,3.0
5,T1,T1,Ben Crane,13,100.0,1.0
6,T1,T1,Jason Dufner,19,100.0,2.0
7,T1,T1,Tyler Duncan,22,100.0,1.0
8,T1,T1,Matthew Fitzpatrick,11,100.0,1.0
9,T1,T1,Brice Garnett,21,100.0,1.0
10,T1,T1,Chesson Hadley,20,100.0,2.0
11,T1,T1,Max Homa,19,100.0,1.0
12,T1,T1,Zach Johnson,15,100.0,1.0
13,T1,T1,Matt Jones,19,100.0,1.0
14,T1,T1,Sung Kang,20,100.0,1.0
15,T1,T1,Martin Kaymer,11,100.0,1.0
16,T1,T1,Si Woo Kim,20,100.0,3.0
17,T1,T1,Patton Kizzire,18,100.0,1.0
18,T1,T1,Brooks Koepka,13,100.0,5.0
19,T1,T1,Jason Kokrak,17,100.0,1.0
20,T1,T1,Kelly Kraft,23,100.0,2.0
21,T1,T1,Scott Langley,20,100.0,1.0
22,T1,T1,Danny Lee,20,100.0,2.0
23,T1,T1,Marc Leishman,14,100.0,5.0
24,T1,T1,Adam Long,19,100.0,1.0
25,T1,999,Shane Lowry,10,100.0,2.0
26,T1,T1,Graeme McDowell,16,100.0,2.0
27,T1,T1,Phil Mickelson,13,100.0,2.0
28,T1,T1,Francesco Molinari,10,100.0,1.0
29,T1,T1,Ryan Moore,16,100.0,2.0
30,T1,T1,Kevin Na,15,100.0,1.0
31,T1,T1,Ryan Palmer,16,100.0,3.0
32,T1,T1,C.T. Pan,19,100.0,2.0
33,T1,T1,J.T. Poston,22,100.0,1.0
34,T1,T1,Andrew Putnam,17,100.0,2.0
35,T1,T1,Seth Reeves,18,100.0,1.0
36,T1,T1,Sam Ryder,16,100.0,1.0
37,T1,T1,Webb Simpson,14,100.0,3.0
38,T1,T1,Brandt Snedeker,18,100.0,3.0
39,T1,T1,J.J. Spaun,20,100.0,1.0
40,T1,T1,Robert Streb,21,100.0,1.0
41,T1,T1,Kevin Streelman,20,100.0,1.0
42,T1,T1,Chris Stroud,19,100.0,1.0
43,T1,T1,Hudson Swafford,20,100.0,1.0
44,T1,T1,Justin Thomas,13,100.0,3.0
45,T1,T1,Martin Trainer,19,100.0,1.0
46,T1,T1,Johnson Wagner,14,100.0,1.0
47,T1,T1,Richy Werenski,20,100.0,1.0
48,T49,49,Matt Kuchar,16,83.3,5.0
49,T49,48,Jon Rahm,14,83.3,5.0
50,T51,T50,Tony Finau,17,75.0,3.0
51,T51,T50,Rickie Fowler,14,75.0,3.0
52,T51,T57,Rory McIlroy,13,75.0,6.0
53,T51,T50,Scott Piercy,19,75.0,3.0
54,T51,T50,Justin Rose,11,75.0,3.0
55,T51,T50,Xander Schauffele,15,75.0,3.0
56,T51,T50,Adam Scott,12,75.0,3.0
57,T51,T50,Gary Woodland,17,75.0,3.0
58,T59,T57,Patrick Cantlay,14,71.4,5.0
59,T59,T57,Dustin Johnson,12,71.4,5.0
60,T61,T60,Rafa Cabrera Bello,15,66.7,2.0
61,T61,T60,Sergio Garcia,11,66.7,2.0
62,T61,T60,Talor Gooch,12,66.7,2.0
63,T61,T60,Rory Sabbatini,19,66.7,2.0
64,65,64,Charles Howell III,19,60.0,3.0
65,T66,T65,Aaron Baddeley,15,50.0,2.0
66,T66,T65,Ryan Blaum,21,50.0,1.0
67,T66,T65,Dominic Bozzelli,17,50.0,1.0
68,T66,T65,Jason Day,14,50.0,2.0
69,T66,T65,Tommy Fleetwood,11,50.0,2.0
70,T66,T65,Jim Furyk,16,50.0,2.0
71,T66,T65,Branden Grace,18,50.0,1.0
72,T66,T65,Emiliano Grillo,17,50.0,2.0
73,T66,T65,Charley Hoffman,18,50.0,1.0
74,T66,T65,J.B. Holmes,18,50.0,1.0
75,T66,T65,Sungjae Im,26,50.0,2.0
76,T66,T65,Hank Lebioda,16,50.0,1.0
77,T66,T65,Curtis Luck,17,50.0,1.0
78,T66,T65,Troy Merritt,12,50.0,1.0
79,T66,T65,Keith Mitchell,19,50.0,1.0
80,T66,T65,Louis Oosthuizen,12,50.0,2.0
81,T66,T65,Chez Reavie,19,50.0,1.0
82,T66,T65,Patrick Rodgers,14,50.0,1.0
83,T66,T65,Kevin Tway,19,50.0,1.0
84,T66,T65,Matt Wallace,9,50.0,1.0
85,T66,T65,Nick Watney,20,50.0,1.0
86,T66,T65,Bubba Watson,13,50.0,1.0
87,T88,T89,Abraham Ancer,20,33.3,1.0
88,T88,T89,Jonas Blixt,20,33.3,1.0
89,T88,T89,Keegan Bradley,18,33.3,1.0
90,T88,T89,Joel Dahmen,22,33.3,1.0
91,T88,T89,Bryson DeChambeau,13,33.3,1.0
92,T88,T89,Matt Every,12,33.3,1.0
93,T88,T89,Brian Gay,22,33.3,1.0
94,T88,T65,Adam Hadwin,18,33.3,1.0
95,T88,T65,Mackenzie Hughes,19,33.3,1.0
96,T88,T89,Luke List,16,33.3,1.0
97,T88,T89,Hideki Matsuyama,15,33.3,1.0
98,T88,T89,Pat Perez,16,33.3,1.0
99,T88,T89,Adam Schenk,24,33.3,1.0
100,T88,T89,Scott Stallings,20,33.3,1.0
101,T88,T89,Brian Stuard,22,33.3,1.0
102,T88,T89,Michael Thompson,17,33.3,1.0
103,T88,T89,Tiger Woods,8,33.3,1.0
104,T105,T89,Jonathan Byrd,13,25.0,1.0
105,T105,T105,Cameron Champ,19,25.0,1.0
106,T105,T105,Ian Poulter,13,25.0,1.0
107,T105,T105,Jordan Spieth,16,25.0,1.0
108,T109,T108,Byeong Hun An,15,0.0,
109,T109,T108,Ryan Armour,21,0.0,
110,T109,T108,Scott Brown,21,0.0,
111,T109,T108,Roberto Castro,16,0.0,
112,T109,T108,Bud Cauley,19,0.0,
113,T109,T108,Stewart Cink,12,0.0,
114,T109,T108,Wyndham Clark,20,0.0,
115,T109,T108,Austin Cook,17,0.0,
116,T109,T108,Roberto Díaz,16,0.0,
117,T109,T108,Joey Garber,15,0.0,
118,T109,T108,Lucas Glover,17,0.0,
119,T109,T108,Bill Haas,18,0.0,
120,T109,T108,Justin Harding,9,0.0,
121,T109,T108,Brandon Harkins,21,0.0,
122,T109,T108,Brian Harman,22,0.0,
123,T109,T108,David Hearn,14,0.0,
124,T109,T108,Russell Henley,18,0.0,
125,T109,T108,Billy Horschel,19,0.0,
126,T109,T108,Kyle Jones,19,0.0,
127,T109,T108,Whee Kim,21,0.0,
128,T109,T108,Chris Kirk,17,0.0,
129,T109,T108,Kevin Kisner,17,0.0,
130,T109,T108,Russell Knox,18,0.0,
131,T109,T108,Anirban Lahiri,17,0.0,
132,T109,T108,Martin Laird,18,0.0,
133,T109,T108,Andrew Landry,18,0.0,
134,T109,T108,Nate Lashley,13,0.0,
135,T109,T108,Kyoung-Hoon Lee,22,0.0,
136,T109,T108,Peter Malnati,19,0.0,
137,T109,T108,Sebastián Muñoz,18,0.0,
138,T109,T108,Trey Mullinax,20,0.0,
139,T109,999,Martin Piller,10,0.0,
140,T109,T108,"Ted Potter, Jr.",18,0.0,
141,T109,T108,Seamus Power,21,0.0,
142,T109,T108,Alex Prugh,18,0.0,
143,T109,T108,Patrick Reed,15,0.0,
144,T109,T108,Ollie Schniederjans,22,0.0,
145,T109,T108,Cameron Smith,16,0.0,
146,T109,T108,Shawn Stefani,19,0.0,
147,T109,,Henrik Stenson,12,0.0,
148,T109,T108,Sepp Straka,16,0.0,
149,T109,T108,Vaughn Taylor,21,0.0,
150,T109,T108,Nick Taylor,20,0.0,
151,T109,T108,D.J. Trahan,11,0.0,
152,T109,T108,Peter Uihlein,22,0.0,
153,T109,T108,Harold Varner III,20,0.0,
154,T109,T108,Jhonattan Vegas,18,0.0,
155,T109,T108,Aaron Wise,16,0.0,
156,T109,T108,Chase Wright,19,0.0,
