,Par_3_Performance_RANK THIS WEEK,Par_3_Performance_RANK LAST WEEK,Par_3_Performance_PLAYER NAME,Par_3_Performance_ROUNDS,Par_3_Performance_STATUS,Par_3_Performance_PAR 3 AVG,Par_3_Performance_TOTAL PAR
0,1,T4,Rory McIlroy,50,-8,2.96,540
1,2,2,Danny Lee,66,-7,2.97,780
2,T3,T4,Marc Leishman,52,-6,2.97,564
3,T3,1,Scott Piercy,70,-6,2.98,783
4,5,T6,Tiger Woods,31,-5,2.95,312
5,T6,T10,Jason Kokrak,68,-4,2.98,780
6,T6,T10,Andrew Putnam,57,-4,2.98,615
7,T6,T6,Aaron Wise,52,-4,2.98,576
8,T9,T6,Anders Albertson,48,-3,2.98,555
9,T9,T12,Stephan Jaeger,59,-3,2.99,669
10,T9,T12,Jordan Spieth,57,-3,2.99,651
11,T12,T14,Lucas Glover,62,-2,2.99,711
12,T12,T14,Billy Horschel,73,-2,2.99,780
13,T12,T6,Denny McCarthy,63,-2,2.99,720
14,T12,T14,Justin Rose,42,-2,2.99,456
15,T16,T17,Jason Day,45,-1,2.99,477
16,T16,T17,Scott Langley,60,-1,3.0,705
17,T16,T17,Wes Roach,45,-1,2.99,519
18,T19,T22,Hideki Matsuyama,59,E,3.0,672
19,T19,T22,Jon Rahm,51,E,3.0,528
20,T21,T17,Alex Cejka,41,+1,3.01,459
21,T21,T27,Matt Every,38,+1,3.01,411
22,T21,T25,Rickie Fowler,54,+1,3.0,648
23,T21,T25,Justin Harding,31,+1,3.01,288
24,T25,T27,Emiliano Grillo,65,+2,3.01,744
25,T25,T27,James Hahn,34,+2,3.01,411
26,T25,T27,John Huh,35,+2,3.01,423
27,T25,T27,Rory Sabbatini,71,+2,3.01,819
28,T25,T17,Shawn Stefani,57,+2,3.01,648
29,T30,T35,Aaron Baddeley,51,+3,3.01,615
30,T30,T35,Patrick Cantlay,49,+3,3.02,528
31,T30,T35,Tony Finau,61,+3,3.01,675
32,T30,T27,Peter Malnati,64,+3,3.01,735
33,T30,T35,Troy Merritt,42,+3,3.02,444
34,T30,T35,Vaughn Taylor,69,+3,3.01,819
35,T30,T35,Michael Thompson,56,+3,3.01,681
36,T37,T35,Corey Conners,62,+4,3.02,699
37,T37,T44,Freddie Jacobson,37,+4,3.03,429
38,T37,T55,Matt Kuchar,65,+4,3.02,687
39,T37,T44,Ryan Moore,54,+4,3.02,654
40,T37,T44,Xander Schauffele,55,+4,3.02,612
41,T37,T44,D.J. Trahan,33,+4,3.03,375
42,T37,T27,Nick Watney,67,+4,3.02,771
43,T44,T35,Bud Cauley,61,+5,3.02,738
44,T44,T48,Bryson DeChambeau,45,+5,3.03,492
45,T44,T48,Charles Howell III,64,+5,3.02,720
46,T44,T48,Patton Kizzire,58,+5,3.02,672
47,T44,T22,Kelly Kraft,67,+5,3.02,771
48,T44,T48,Francesco Molinari,41,+5,3.04,396
49,T44,T48,Brian Stuard,76,+5,3.02,879
50,T44,T27,Josh Teater,47,+5,3.03,543
51,T52,T35,Ryan Armour,66,+6,3.02,807
52,T52,T55,Jonas Blixt,66,+6,3.02,783
53,T52,T79,Keegan Bradley,65,+6,3.03,690
54,T52,T55,Cameron Champ,58,+6,3.03,663
55,T52,T48,Ben Crane,41,+6,3.04,495
56,T52,T61,Dustin Johnson,47,+6,3.03,531
57,T52,T61,Martin Laird,60,+6,3.03,675
58,T52,999,Shane Lowry,30,+6,3.06,303
59,T52,T55,Kevin Na,54,+6,3.03,588
60,T52,T73,Webb Simpson,53,+6,3.03,594
61,T62,T61,Stewart Cink,33,+7,3.05,402
62,T62,T61,Joel Dahmen,78,+7,3.02,900
63,T62,T61,Sung Kang,67,+7,3.03,795
64,T62,T61,Martin Kaymer,38,+7,3.05,456
65,T62,T61,Pat Perez,52,+7,3.03,603
66,T62,T61,D.A. Points,33,+7,3.05,405
67,T62,T61,Johnson Wagner,45,+7,3.04,519
68,T69,T61,Talor Gooch,37,+8,3.05,447
69,T69,T73,Tyrrell Hatton,46,+8,3.05,510
70,T69,T55,Jim Herman,37,+8,3.05,450
71,T72,T79,Ryan Blaum,67,+9,3.04,768
72,T72,T79,Tommy Fleetwood,43,+9,3.06,435
73,T72,T79,Patrick Rodgers,44,+9,3.05,537
74,T72,T79,Ben Silverman,54,+9,3.04,657
75,T72,T55,Chris Stroud,54,+9,3.04,615
76,T72,T61,Hudson Swafford,59,+9,3.04,690
77,T72,T73,Justin Thomas,49,+9,3.05,540
78,T72,T87,Jimmy Walker,61,+9,3.04,735
79,T80,T48,Dominic Bozzelli,53,+10,3.05,615
80,T80,T87,Bronson Burgoon,37,+10,3.07,444
81,T80,T106,Roberto Castro,54,+10,3.05,615
82,T80,T87,Jim Furyk,53,+10,3.05,591
83,T80,T73,Sergio Garcia,39,+10,3.08,372
84,T80,T87,Charley Hoffman,58,+10,3.05,663
85,T80,T87,Phil Mickelson,41,+10,3.07,459
86,T80,T87,Ollie Schniederjans,63,+10,3.04,738
87,T80,T97,Kevin Tway,62,+10,3.04,690
88,T80,999,Tyrone Van Aswegen,30,+10,3.08,363
89,T80,T73,Chase Wright,53,+10,3.05,621
90,T91,T79,Jonathan Byrd,43,+11,3.07,495
91,T91,T73,Austin Cook,50,+11,3.06,567
92,T91,T97,Ernie Els,43,+11,3.07,495
93,T91,T97,Andrew Landry,56,+11,3.05,624
94,T91,T106,Graeme McDowell,61,+11,3.05,699
95,T91,T126,Sebastián Muñoz,58,+11,3.05,681
96,T91,999,Martin Piller,30,+11,3.09,363
97,T91,T97,José de Jesús Rodríguez,51,+11,3.05,621
98,T91,T97,Adam Scott,41,+11,3.07,471
99,T91,T61,Adam Svensson,51,+11,3.06,597
100,T91,T106,Harold Varner III,62,+11,3.05,732
101,T91,T87,Richy Werenski,63,+11,3.04,741
102,T91,T97,Gary Woodland,63,+11,3.05,714
103,T104,T106,Julián Etulain,55,+12,3.06,627
104,T104,T79,Zach Johnson,50,+12,3.06,612
105,T104,T106,Michael Kim,51,+12,3.06,585
106,T104,T106,Kevin Kisner,65,+12,3.05,663
107,T104,T106,Anirban Lahiri,54,+12,3.06,612
108,T104,T87,Hank Lebioda,55,+12,3.06,627
109,T104,T106,Haotong Li,32,+12,3.11,336
110,T104,T87,Brady Schnell,38,+12,3.08,459
111,T104,T106,Cameron Smith,55,+12,3.06,600
112,T113,T120,Abraham Ancer,69,+13,3.05,768
113,T113,T106,Roberto Díaz,51,+13,3.07,579
114,T113,T97,Cameron Davis,54,+13,3.06,633
115,T113,T97,Fabián Gómez,44,+13,3.07,531
116,T113,T106,Tom Hoge,70,+13,3.05,801
117,T113,T87,J.B. Holmes,54,+13,3.07,567
118,T113,T120,Si Woo Kim,65,+13,3.05,723
119,T113,T97,Ryan Palmer,56,+13,3.06,627
120,T113,T120,Ian Poulter,49,+13,3.08,492
121,T113,T120,Patrick Reed,53,+13,3.07,573
122,T113,T79,Adam Schenk,80,+13,3.04,945
123,T113,T120,Henrik Stenson,46,+13,3.08,468
124,T125,T106,Russell Henley,56,+14,3.07,639
125,T125,T126,Mackenzie Hughes,58,+14,3.06,663
126,T125,T126,Chris Kirk,47,+14,3.08,546
127,T125,T126,Russell Knox,65,+14,3.06,711
128,T125,T106,Sam Saunders,53,+14,3.06,651
129,T125,T133,Cameron Tringale,52,+14,3.07,585
130,T131,T133,Whee Kim,57,+15,3.07,639
131,T131,T106,Nate Lashley,44,+15,3.09,507
132,T131,T133,Louis Oosthuizen,43,+15,3.1,444
133,T131,T133,Chez Reavie,67,+15,3.06,729
134,T131,T126,Robert Streb,60,+15,3.07,678
135,T136,T141,Kiradech Aphibarnrat,49,+16,3.09,552
136,T136,T133,Daniel Berger,48,+16,3.08,576
137,T136,T141,Jason Dufner,56,+16,3.07,654
138,T136,T150,Joey Garber,44,+16,3.1,489
139,T136,T133,Brice Garnett,63,+16,3.07,729
140,T136,T141,Beau Hossler,66,+16,3.06,801
141,T136,T133,Sungjae Im,88,+16,3.05,1023
142,T136,T126,Brooks Koepka,49,+16,3.1,492
143,T136,T141,Kyoung-Hoon Lee,72,+16,3.06,822
144,T136,T141,Sam Ryder,52,+16,3.08,630
145,T136,T141,Charl Schwartzel,34,+16,3.12,390
146,T136,T141,Jhonattan Vegas,60,+16,3.07,696
147,T148,T141,Sangmoon Bae,42,+17,3.1,489
148,T148,T150,Paul Casey,51,+17,3.09,567
149,T148,T160,John Chin,38,+17,3.11,459
150,T148,T133,Dylan Frittelli,55,+17,3.08,651
