,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
119,T119,102,Hudson Swafford,59,20.57,211,1026,77
120,121,T105,Brian Gay,79,20.52,277,1350,178
121,122,124,Patton Kizzire,58,20.44,206,1008,174
122,123,T125,Kevin Na,54,20.41,180,882,79
123,T124,T136,Daniel Berger,48,20.37,176,864,164
124,T124,T127,Charley Hoffman,58,20.37,198,972,117
125,126,135,Scott Brown,66,20.34,227,1116,98
126,127,132,Brice Garnett,63,20.31,223,1098,45
127,128,129,Jim Knous,55,20.26,186,918,52
128,129,T130,Brendan Steele,50,20.25,175,864,39
129,130,T133,Tommy Fleetwood,43,20.22,131,648,70
130,131,T130,Roberto Díaz,51,20.21,171,846,151
131,132,T140,"Ted Potter, Jr.",56,20.16,196,972,161
132,133,T125,Julián Etulain,55,20.15,185,918,173
133,134,123,Shawn Stefani,57,20.13,192,954,68
134,135,143,Hunter Mahan,45,20.12,163,810,75
135,136,142,Stephan Jaeger,59,20.1,199,990,175
136,137,144,Matthew Fitzpatrick,42,20.09,141,702,171
137,T138,T138,Kramer Hickok,59,20.06,213,1062,79
138,T138,145,Brian Stuard,76,20.06,260,1296,143
139,T140,T133,John Chin,38,20.03,137,684,32
140,T140,T146,Martin Kaymer,38,20.03,137,684,199
141,T142,T136,Jim Furyk,53,20.02,173,864,7
142,T142,118,Kelly Kraft,67,20.02,227,1134,200
143,T142,T140,Kevin Tway,62,20.02,209,1044,49
144,T145,999,Shane Lowry,30,20.0,90,450,189
145,T145,114,Josh Teater,47,20.0,162,810,51
146,147,T149,Chesson Hadley,58,19.94,201,1008,143
147,148,T138,Martin Trainer,51,19.93,183,918,205
148,149,T146,Harris English,72,19.92,251,1260,106
149,150,T151,Matt Wallace,31,19.84,100,504,208
150,151,T154,Bronson Burgoon,37,19.82,132,666,119
151,T152,T154,Anders Albertson,48,19.81,164,828,96
152,T152,T151,Dylan Frittelli,55,19.81,189,954,68
153,T152,153,Whee Kim,57,19.81,189,954,146
154,155,148,Cody Gribble,52,19.79,171,864,207
155,156,156,Chris Kirk,47,19.75,160,810,91
156,157,172,Danny Willett,47,19.74,167,846,53
157,158,158,Anirban Lahiri,54,19.67,177,900,203
158,159,159,Roberto Castro,54,19.56,176,900,94
159,160,166,Ben Silverman,54,19.55,190,972,111
160,T161,163,Scott Langley,60,19.54,204,1044,194
161,T161,T149,Carlos Ortiz,60,19.54,204,1044,61
162,163,165,Max Homa,61,19.49,207,1062,138
163,T164,177,Sangmoon Bae,42,19.44,140,720,160
164,T164,T160,Mackenzie Hughes,58,19.44,189,972,166
